#{"t_start": 1584307807.3024743, "env_id": null}
r,l,t
4.887951,9,1.203552
341.176711,1043,4.922615
137.168878,525,6.718531
229.845383,908,10.69309
0.280452,1,10.697352
26.429024,212,11.470707
72.364992,193,12.187363
17.932903,82,12.465078
143.343327,767,15.07671
86.295435,294,16.127376
422.799165,974,20.457481
177.435842,943,23.534204
60.187979,184,24.222623
182.814661,342,26.140774
0.450852,1,26.145045
61.276011,286,27.088504
84.80579,197,27.823534
13.966678,48,28.003927
27.273742,205,28.687898
318.451423,1405,33.866033
0.346318,1,33.870516
52.274286,251,34.682904
0.078909,1,34.686191
171.47236,668,36.88427
59.756249,195,37.593761
106.252624,375,38.931997
19.79957,53,39.125251
25.972783,143,40.324346
52.123658,246,41.151618
266.485423,644,43.555573
206.71843,660,45.988768
147.38926,611,48.642917
506.829991,2077,56.307374
242.141795,773,59.18113
187.893115,397,60.655579
8.127604,24,60.742515
0.191387,1,60.746858
201.000513,927,64.422553
126.022173,417,65.95495
11.892025,42,66.113909
0.747057,1,66.118204
0.219404,1,66.122241
141.590634,590,68.157061
155.408558,764,71.392631
0.345867,1,71.39702
0.343622,1,71.401394
149.610943,583,73.410136
0.461694,1,73.414552
43.580629,178,73.980356
367.231205,1298,79.135655
21.34174,55,79.336379
9.915233,32,79.455359
47.041169,227,80.184441
40.737042,159,80.798252
17.696096,104,81.157412
313.311324,1036,84.955508
147.341913,539,87.507364
48.367419,261,88.365694
510.677803,1300,93.304456
43.208454,162,93.885674
169.244081,539,96.498155
121.924619,441,98.016622
110.068587,490,99.598109
11723.582019,37513,246.972404
0.117039,1,246.977119
1079.528358,3079,259.636449
67.884901,199,260.361848
15.12462,104,260.722633
107.184629,311,261.890507
13160.280183,33698,397.646959
144.0506,354,398.971309
559.063127,1602,405.566689
6468.440945,14589,464.875187
660.98962,1398,469.935498
203.385151,370,471.871092
119.931479,284,472.91207
658.754016,1536,479.266028
0.385263,1,479.270406
467.614042,1177,483.545046
0.093108,1,483.549404
829.309835,1727,490.576097
370.792891,962,494.028312
118.503943,440,496.220196
693.476493,1676,502.264972
660.527464,1442,508.226518
169.835996,468,509.923604
0.14234,1,509.928146
0.096916,1,509.932951
153.005399,532,512.446388
193.950421,420,513.945372
0.109295,1,513.949703
148.021711,331,515.11481
211.109068,670,517.469621
0.779364,1,517.4738
1134.940906,2219,526.066892
1.710478,8,526.097774
250.288141,436,528.197322
142.366607,475,529.789594
193.846619,378,531.101708
0.160718,1,531.105309
291.58713,644,533.403999
942.19102,2028,541.306224
762.848732,1575,547.618982
282.177923,634,549.919981
363.312993,927,553.892186
206.619562,510,555.770996
584.847414,1350,561.145687
0.307149,1,561.152727
497.675704,1127,565.117243
129.039876,358,567.076975
777.487521,1880,573.828368
633.372531,1349,579.488921
253.437122,611,581.694266
62.9313,190,583.004739
59.51651,155,583.549155
0.161186,1,583.552401
117.187904,356,584.771486
0.774688,1,584.775858
0.457757,1,584.779935
23.291317,119,585.173199
173.34124,499,586.920217
727.730157,1507,593.007244
112.305636,300,594.074456
83.812261,202,594.812738
26.707325,116,595.20418
209.636065,515,597.028238
118.757609,349,598.895395
313.33324,587,600.955997
34.206908,130,601.364565
98.924553,329,602.48834
402.805234,1016,606.904134
153.821143,335,608.087492
22.940725,90,608.375573
428.267849,768,611.045055
38.918834,158,611.570054
40.081753,117,611.996727
101.959078,295,613.021584
538.957968,1112,617.660511
59.670469,245,618.485857
18.649893,89,618.791581
39.740376,132,619.245271
734.037375,1539,625.598017
20.329853,91,625.894389
307.190979,803,628.747157
0.332932,1,628.75182
56.773574,148,629.26257
55.596426,245,630.777418
772.984713,1500,636.179765
528.484195,1479,641.962507
0.528648,1,641.966923
61.519895,237,642.735471
395.188154,816,646.403217
54.965147,226,647.132181
630.980715,1432,652.246501
411.550847,811,655.786573
24.667952,104,656.1295
23.840347,98,656.442376
12.189568,39,656.592574
25.302593,96,656.875438
23.973438,106,657.212405
14.913647,46,657.386003
289.981191,645,659.722894
16.275865,79,659.975319
50.652578,176,660.569704
104.367257,348,662.411857
148.909028,363,663.74737
609.786136,1244,668.178465
73.515489,254,669.031961
49.388004,141,670.216561
0.134413,1,670.220722
302.278276,622,672.423301
82.667729,209,673.15025
32.048437,138,673.57429
71.005395,259,674.414457
0.122411,1,674.418118
7.123604,27,674.506681
19.475388,43,674.656967
0.396591,1,674.661264
613.223939,1330,680.189882
73.88248,261,681.052692
276.7447,636,683.29036
238.735294,359,684.457154
76.886464,277,686.050528
119.628203,463,687.543543
64.915572,249,688.341916
535.781988,1090,692.164195
19.373569,94,693.12233
0.199018,1,693.126821
120.010786,341,694.337322
605.32401,1227,698.810877
160.517405,386,700.21512
48.823239,147,701.34632
