#{"t_start": 1566409524.3288224, "env_id": null}
r,l,t
415.440625,2058,9.879267
898.492578,4087,28.742623
865.204492,4096,48.549146
65.117578,390,51.849708
99.168164,618,55.793981
92.363281,597,59.910369
180.455078,1012,65.866767
61.954492,355,69.163021
79.762695,431,72.855172
50.799805,306,75.823401
213.361328,1135,82.23194
1319.067773,5840,108.870193
150.889063,972,115.378036
113.60957,632,119.740509
67.707812,371,122.606538
283.18418,1420,130.151134
813.991602,4353,151.173693
386.742383,1802,160.629258
49.819922,257,165.021546
328.636328,1702,173.882062
441.730078,2383,186.733268
1269.795117,6144,213.971324
1883.404883,8197,250.551828
1487.382617,6139,277.850775
1041.793555,4099,296.780818
2317.850195,8189,332.849008
568.218555,2052,344.034662
1464.958984,4127,363.223369
673.326367,2052,373.783766
753.23457,2009,384.544585
777.692383,2134,395.828666
705.311719,1962,405.530104
7125.071875,14336,467.857107
780.391797,2087,479.557368
2422.67793,4599,501.349514
3442.223437,6627,542.607477
1731.424805,3813,561.66022
331.862891,1312,569.952567
667.265625,2052,579.917214
798.40918,2157,591.257488
1754.654883,6038,619.995697
1992.909766,4494,641.160219
725.085352,1667,651.633579
943.6875,2018,662.141728
2309.544922,4160,682.906256
1162.488086,2386,696.720023
3191.45625,5760,723.849934
2223.783203,4081,743.357704
5860.324414,10237,788.418829
962.513672,2116,800.528322
4890.792187,8665,839.142999
596.533984,1551,848.392039
1329.193945,2816,863.403826
1430.865234,2783,878.052766
122.688086,501,883.597626
498.703906,1265,890.377206
284.512109,785,897.069569
658.174805,1452,905.442115
208.514062,594,910.874067
961.478516,1921,920.362967
61.952734,287,924.97111
540.311328,1209,932.159647
470.783594,1086,940.067982
305.864062,800,945.916357
231.395508,630,951.09255
121.18125,464,956.64488
323.091797,803,961.757244
853.122461,1757,972.309895
207.121875,595,977.914212
196.992773,587,982.090321
100.694141,392,986.450602
299.446094,811,992.294948
218.64707,625,997.655356
249.670117,735,1004.111811
849.430859,1675,1013.612312
228.296094,636,1017.920461
226.557031,615,1023.500777
234.007031,631,1029.289088
30.858789,131,1032.393387
103.645508,374,1036.405508
99.201758,346,1039.56975
230.816406,625,1044.162017
294.203516,755,1050.386353
245.961914,653,1055.218565
93.560352,338,1059.826815
466.565625,1042,1066.747406
1020.382617,1883,1077.431993
1136.251367,2170,1100.509099
884.177148,1695,1110.289975
188.402734,591,1115.994724
901.039258,1719,1125.166894
99.503516,387,1130.291009
781.054297,1516,1138.467611
61.592773,236,1142.581151
589.977344,1187,1148.63625
369.984766,872,1156.184688
625.771094,1229,1164.341109
373.238086,895,1171.265527
972.305078,1829,1180.062105
773.360547,1586,1189.674665
222.136719,594,1195.447485
651.052148,1303,1202.743362
556.910156,1191,1210.939925
671.056055,1317,1219.380411
194.473047,559,1224.752616
715.443164,1368,1233.425205
134.125586,425,1238.950111
528.400977,1090,1245.033916
562.79043,1193,1253.650458
103.908008,336,1258.422608
285.330078,673,1263.038931
403.905469,868,1269.620143
707.580078,1385,1276.575883
256.711328,647,1282.652707
458.813867,934,1288.9205
369.541992,826,1295.22893
58.698633,236,1299.65334
472.626367,954,1304.977473
428.154102,899,1310.87785
47.967383,180,1314.290601
506.292383,991,1322.086534
629.892383,1220,1330.559088
441.98457,917,1337.671606
329.045117,746,1343.443881
295.095508,730,1349.928335
322.508008,736,1356.14068
328.961719,763,1361.901111
301.263477,721,1368.99791
309.297461,676,1374.877795
341.245117,773,1381.331104
351.025781,739,1386.878524
327.652734,710,1392.010882
365.207227,772,1398.683356
372.037305,781,1404.875576
303.110937,684,1409.259903
463.311523,896,1416.868338
382.188281,800,1422.644753
256.291406,589,1428.017663
348.71875,778,1434.277516
336.380078,724,1440.009752
352.619141,763,1446.550205
346.879297,735,1452.542691
423.935352,870,1458.574912
110.03125,339,1464.127223
366.248047,765,1469.575629
369.854492,752,1475.616019
201.309375,510,1480.358014
390.235156,812,1487.076878
394.015625,807,1492.573249
134.079492,436,1497.701639
321.540039,705,1502.957741
377.876953,761,1509.022814
243.499023,575,1514.015714
384.092187,774,1520.450773
351.025977,753,1525.239068
226.591016,549,1530.368115
427.925977,871,1537.067791
394.838477,844,1543.432227
91.192188,305,1548.496524
388.103711,767,1554.028884
354.5,727,1560.289309
233.304297,554,1565.88768
389.290625,760,1572.434571
520.78457,958,1578.646436
157.734375,422,1583.763292
1098.385937,1956,1594.719338
231.307227,539,1599.75168
387.689648,775,1606.000114
291.411328,635,1612.208494
24.44043,99,1615.64381
1311.368945,2267,1627.257603
371.0875,770,1633.113765
348.787305,697,1638.218117
161.181641,420,1642.9784
403.975781,796,1647.470716
462.812305,895,1653.259139
104.844531,332,1658.09967
214.927148,517,1661.967621
305.941992,638,1667.795913
453.380859,860,1674.560914
301.09707,638,1679.772798
222.46582,519,1685.493067
242.838477,535,1690.513383
449.56875,876,1697.477807
379.214844,743,1703.534225
241.77832,541,1708.306446
132.97168,349,1712.806717
370.885742,724,1717.799064
245.815234,534,1722.955371
434.62207,896,1730.183926
244.261328,549,1735.352268
268.637305,561,1740.232584
355.629883,743,1747.192985
237.031055,538,1752.553238
295.127734,605,1758.257702
246.225781,535,1762.602129
133.833984,354,1767.466143
295.758398,625,1771.834597
265.457031,566,1776.431448
249.222461,539,1781.783301
118.767969,318,1786.576981
259.609375,544,1791.383739
272.751562,560,1796.632195
275.746289,565,1801.408327
195.034375,469,1806.009302
261.911133,558,1810.808911
254.776953,544,1815.509323
287.769727,577,1820.433586
117.596875,321,1824.498409
287.52168,579,1829.186146
238.737305,542,1833.542461
286.593555,598,1838.998818
99.500781,287,1843.756557
295.793164,604,1849.543412
314.533789,615,1855.231789
263.997266,554,1861.216169
104.61582,299,1865.336413
277.24707,571,1870.752778
260.229492,547,1875.893052
248.768359,546,1880.557468
198.034961,469,1896.258321
264.258594,565,1901.342699
286.135352,584,1907.295091
279.701172,593,1911.927331
98.235547,293,1916.767612
259.631836,553,1921.491991
260.608984,570,1926.312299
255.388867,550,1932.008591
95.017188,279,1936.110376
244.991992,529,1941.177186
2101.035742,3608,1959.06673
288.874609,606,1964.62669
256.024023,550,1969.16701
255.491602,550,1973.863311
109.697266,309,1977.863849
230.362305,530,1982.971851
268.877734,556,1987.884164
276.575781,569,1993.356555
354.996094,675,1999.333
385.687109,719,2005.585397
274.123633,575,2011.173762
401.009766,756,2016.558135
282.402148,596,2022.278378
274.479883,566,2027.906775
358.581055,823,2034.051188
252.929102,547,2037.939407
299.077148,618,2042.855714
367.361719,727,2049.500159
271.31875,561,2054.656424
280.994531,607,2059.140778
297.507031,615,2065.017138
63.783594,192,2068.499977
1183.205469,2085,2080.030334
278.160742,570,2084.842414
956.566016,1700,2095.311123
302.489062,615,2100.795361
279.241211,563,2106.355827
347.785352,694,2111.496178
283.56582,576,2116.228417
288.463672,594,2121.488689
548.742969,972,2129.15722
1075.592188,1879,2139.914338
288.060352,577,2145.810295
334.214258,640,2151.322653
302.372852,628,2157.215037
310.954297,652,2163.603511
300.774609,603,2168.45581
1812.267188,3103,2184.317016
3632.167187,6077,2212.032207
346.144531,688,2217.774934
349.391602,703,2223.939334
311.133398,621,2229.655676
7.444531,36,2233.038343
1314.304687,2375,2244.620895
294.285937,605,2249.712908
284.270898,571,2254.921288
305.72207,630,2260.177634
1370.49707,2354,2272.138619
2185.600195,3741,2292.144844
1353.011133,2332,2305.059928
369.549414,684,2311.551857
320.86875,628,2317.827969
174.805664,416,2323.283763
2411.615039,4106,2344.025062
348.624805,693,2349.332622
3230.286328,5441,2375.647358
582.491797,1080,2383.609446
358.196289,704,2389.933626
93.726953,264,2395.145046
374.542383,727,2401.729895
769.562695,1342,2410.371072
1013.494727,1820,2419.966524
69.980078,207,2424.922911
1305.950977,2326,2438.346988
2283.367773,3858,2457.372642
1165.554492,2063,2469.06
335.574609,661,2475.059851
268.183203,607,2480.644085
367.21875,725,2487.158239
1215.318945,2129,2498.536777
1139.659375,1981,2510.721239
1340.240234,2365,2522.666768
987.761719,1749,2533.750346
327.557813,719,2538.809935
728.798437,1315,2547.118264
321.080078,708,2553.182471
334.904883,716,2559.470637
264.600586,606,2564.779138
321.104883,706,2571.515013
410.340625,813,2578.347281
1290.22793,2421,2602.244323
3849.093555,6535,2633.413834
369.359375,769,2639.253531
582.760547,1089,2647.82585
1146.275391,2022,2659.6474
2402.088672,4109,2679.855805
4878.069336,8194,2717.52728
1183.456445,2031,2729.490083
1180.20332,2080,2740.361762
415.50918,807,2746.701928
4299.621875,7354,2781.168034
1900.871289,3220,2797.508168
444.301562,872,2805.196426
1193.910156,2057,2816.670102
2432.542969,4163,2838.050151
288.032617,601,2844.045986
768.778711,1376,2852.910785
319.591797,673,2859.11069
767.408008,1381,2868.411191
1185.260352,2047,2880.783933
290.769336,606,2886.223983
831.038867,1446,2895.840536
4857.126953,8172,2933.659098
1167.222461,2040,2945.154562
2378.210547,4121,2965.903982
1176.605078,2053,2977.72855
282.556055,593,2984.120625
960.298047,1664,2994.23716
248.199414,533,2999.321303
261.057031,551,3003.897583
373.434961,733,3009.734425
274.702148,567,3014.322041
284.739258,574,3019.122333
254.621289,544,3023.774541
145.17168,355,3027.956425
3791.719531,6303,3056.296596
1232.862891,2113,3068.068917
2609.841016,4131,3088.590048
1048.126172,1789,3099.677086
244.21543,535,3103.986624
906.65332,1539,3112.607102
349.638281,718,3118.711281
779.252539,1341,3126.648055
367.633789,740,3132.071975
278.880078,595,3137.216321
281.84668,576,3142.128484
23.322461,100,3144.831078
282.145312,571,3149.924941
2502.929102,4073,3169.070186
922.77832,1555,3189.191072
1194.931641,1993,3200.208344
241.818164,528,3204.467694
521.632031,965,3210.872133
258.312695,555,3216.58906
620.589258,1159,3224.472816
442.668164,889,3230.493289
916.689648,1661,3239.005685
159.392969,402,3243.533913
1201.0125,2052,3254.567654
692.009766,1316,3263.094936
379.891797,735,3269.679238
1205.097461,2026,3280.566917
282.85957,610,3286.412033
246.558008,538,3291.0804
313.41875,650,3296.788601
88.35625,250,3301.296152
1226.023047,2090,3312.558725
311.879297,644,3318.689818
275.976953,560,3324.298124
210.299805,460,3328.602343
142.889648,342,3333.56599
312.967188,644,3338.358941
913.982422,1512,3348.167573
308.074023,634,3353.711667
318.89668,646,3359.348062
250.373047,552,3364.408287
1284.270117,2156,3376.345733
315.683789,640,3381.633161
406.536914,782,3387.25357
260.014648,555,3392.41776
15.779102,71,3395.700119
255.044727,539,3399.910231
1102.319336,1875,3410.904075
507.125977,989,3417.807247
242.89668,531,3422.935499
48.238672,167,3427.3878
235.974023,529,3431.043863
896.871094,1567,3439.780533
240.774219,534,3445.360645
246.405078,536,3450.477054
517.336328,925,3458.114417
1236.391406,2048,3469.537339
2531.769922,4131,3489.4074
581.387305,1088,3497.663742
3171.162305,5041,3521.813466
2680.770508,4082,3540.542579
1258.244141,2094,3551.534831
1649.868555,2626,3565.843619
981.748437,1676,3576.404081
1091.11582,1805,3586.973028
725.971875,1303,3594.533144
453.937891,924,3601.665456
1162.257031,1983,3612.586112
2534.969727,4029,3632.567542
1161.070508,2004,3644.175991
1187.697852,2030,3654.993886
1226.769727,2048,3666.39472
1210.681055,2065,3677.449927
2459.597656,4079,3696.725742
1423.951172,2331,3709.227723
1164.175,1986,3721.26034
1138.041406,1827,3732.12009
1330.93125,2075,3744.250751
2616.593945,4139,3764.960841
1485.786523,2407,3777.691604
5280.297656,7792,3813.362497
1171.505664,2019,3835.574331
1285.913086,2049,3847.255584
1285.416602,2047,3858.089824
3972.642383,6169,3886.093049
1019.546094,1795,3896.52632
88.512305,258,3901.45851
423.750195,879,3906.478803
603.057617,1167,3914.539492
1340.102344,2248,3926.264093
447.184766,916,3932.996356
671.569531,1262,3941.656946
1694.010352,2733,3955.409789
535.282617,1009,3963.438253
971.000391,1686,3972.57472
144.636719,360,3977.670929
369.306445,772,3984.031358
340.966016,717,3989.943703
330.936328,747,3995.784048
1124.767187,1858,4006.848614
2688.25293,4096,4026.75284
1269.688477,2048,4038.526584
1214.787891,2060,4049.97945
566.157617,1045,4056.347615
1963.610937,3077,4072.372691
523.470312,976,4079.268921
2262.097656,3589,4097.922246
3809.289258,5659,4124.771969
1259.331055,2071,4136.032279
1279.335742,2087,4147.273015
1228.669922,2007,4158.213565
2707.969141,4133,4178.719047
2689.486133,4019,4198.696328
1312.904297,2054,4210.753699
2532.692187,4145,4230.89007
2750.461719,4038,4251.104452
7035.209375,10244,4297.073519
4177.188867,6143,4325.851973
4226.881836,6197,4353.493177
1249.004102,1994,4375.325739
1253.65,2065,4386.990848
1263.501562,2029,4398.300437
2707.816992,4096,4419.20915
1487.638086,2359,4431.872035
1088.158789,1754,4442.204431
1378.987891,2178,4454.492973
440.553711,849,4460.009091
440.613086,847,4466.325337
7085.342383,10448,4513.840357
1349.032812,2045,4525.224713
4265.433789,6144,4555.164726
5795.144922,8192,4593.895986
1342.826367,2074,4606.036859
9966.02207,14310,4668.501418
1335.570117,2054,4679.367412
1321.610547,2098,4691.556977
1488.894922,2382,4704.360446
2505.804492,3731,4722.547233
1290.383398,2023,4732.848355
9012.33418,12739,4788.12142
982.193945,1597,4798.338125
1317.667383,2062,4810.257673
1283.476562,2034,4821.862081
2763.677539,4096,4842.665972
1328.893555,2086,4854.71588
2798.476953,4059,4873.957026
2096.480664,3155,4900.28222
1624.960937,2570,4913.390885
183.070703,428,4918.483175
1362.404492,2169,4930.799754
1201.465234,1917,4941.943549
8412.243164,12299,4996.456371
1344.352734,2063,5007.387784
1269.978125,2027,5018.220518
1129.782031,1827,5028.912799
1288.118359,2124,5040.817573
46.44043,148,5044.81375
7012.844336,10243,5090.181068
2748.016992,4085,5110.379314
2724.542773,4096,5130.89934
2714.713477,4130,5150.955471
2706.67793,4062,5170.249536
1400.028711,2120,5182.478175
2767.401758,4094,5202.630402
7213.113672,10203,5248.44132
4221.227539,6186,5277.19453
5806.99375,8133,5314.349704
4419.091602,6139,5342.538645
5786.312891,8194,5380.092617
1317.407227,2041,5401.669146
2819.532031,4090,5422.465955
1325.154883,2054,5433.967656
1329.462695,2042,5446.205326
1316.925391,2048,5456.052269
2871.311328,4128,5476.257348
1511.327734,2310,5488.325826
4072.192969,5850,5515.935692
7386.180078,10240,5561.918718
4420.925781,6302,5590.319918
4210.198047,6059,5618.42134
1233.866016,1976,5629.469603
1300.575781,2047,5641.227241
4523.939062,6662,5671.880393
2467.812695,3678,5690.413174
1667.680469,2498,5703.085859
560.856836,1023,5709.694085
242.518555,534,5715.258353
510.496484,916,5722.118804
1136.550781,1802,5731.971398
393.786914,765,5737.74765
277.504883,595,5742.719908
1193.707812,1939,5753.408587
71.150781,229,5758.18469
391.26543,767,5764.465129
475.53418,938,5770.525522
883.408789,1642,5780.554165
1263.25625,2182,5792.582807
927.655078,1596,5802.331316
419.860937,801,5807.567596
28.441602,105,5809.898296
1010.803711,1688,5819.888388
178.693945,436,5825.400529
1194.815039,1995,5836.309337
753.291211,1362,5843.733684
341.562695,716,5849.437946
1373.221484,2073,5861.32675
797.891602,1436,5869.931184
404.77207,846,5875.91964
1075.199414,1840,5886.360069
921.585742,1650,5895.784593
2524.822266,3977,5915.449946
238.186523,531,5920.62999
1279.744141,2087,5932.494879
1176.922266,1891,5953.52904
2698.674414,4119,5973.783159
2743.888086,4077,5994.222632
1355.938672,2050,6006.271172
1309.673242,2042,6017.039162
1315.646094,2048,6027.558849
518.644922,925,6034.156426
1527.156445,2402,6047.125266
391.101367,769,6052.904044
1625.530078,2563,6066.350425
2333.759961,3581,6084.578954
517.289453,979,6090.783591
1067.357031,1759,6101.272345
668.598047,1165,6109.032768
111.125391,283,6112.592836
479.254492,865,6118.429148
608.533398,1093,6125.846912
748.480664,1285,6133.214107
397.590234,763,6139.654463
701.18457,1238,6147.046844
424.536914,810,6152.805552
1290.313867,2053,6164.19646
2729.927539,4099,6185.110483
1314.005078,2047,6195.958556
2646.730664,3953,6214.462981
42.207031,136,6218.858772
1351.975,2057,6230.827937
627.342969,1117,6237.748073
565.641602,978,6245.952457
109.947266,277,6249.524616
1146.803516,1795,6260.254453
1320.039258,2067,6271.718017
112.524805,284,6275.262106
654.839258,1133,6283.030696
106.275,278,6287.650752
92.464062,254,6291.603846
1447.142578,2179,6303.2159
1230.30625,1917,6314.391505
112.364062,288,6318.984637
420.197266,860,6325.657081
236.937305,526,6330.553237
1648.553906,2422,6343.962902
460.170703,885,6350.258435
718.701172,1236,6358.778923
1409.122656,2165,6371.543772
108.741406,276,6376.603906
1841.064258,2836,6390.128858
4074.670312,5711,6416.350288
106.482227,273,6420.361931
3559.005469,5067,6444.727841
4292.63418,6127,6473.567745
2792.028516,4099,6494.165848
477.28125,905,6501.00184
101.439453,269,6504.993855
3453.721484,4967,6528.556479
2829.71543,4103,6558.861037
1451.775195,2205,6571.397187
1302.502539,1916,6582.581837
1315.943945,2016,6593.265116
4332.984961,6217,6621.807973
4269.035352,6074,6650.177614
2711.225586,4159,6669.286217
1360.860156,2129,6680.990615
1287.679102,1917,6692.299698
1270.494141,2035,6704.260061
4261.330078,6141,6732.479151
101.076367,272,6736.049083
1093.753711,1790,6746.481898
1371.209961,2034,6758.205728
1335.829297,2082,6769.179608
388.805664,768,6775.223185
105.396289,280,6779.551315
553.026172,1024,6786.127694
1266.308984,2011,6797.757539
1291.480469,2113,6809.745134
1242.547266,1962,6821.372656
991.526953,1656,6830.85812
943.243555,1668,6840.634526
378.08418,786,6847.490958
2418.093945,4130,6866.688164
1133.89082,2005,6877.881291
4031.785352,6184,6906.06638
1275.663672,2003,6917.654931
1385.929102,2065,6929.599266
2803.438672,4121,6950.176471
4136.88457,6117,6978.838254
2617.141992,4131,6997.692693
4015.261523,6100,7025.172784
1333.986133,2059,7035.605872
4130.04707,6127,7063.378742
