serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
2048,-0.6074025630950928,2048,0.0032312875,1.4156816,0.0340332,234,-0.0031620725,1,8.821487426757812e-06,5.2053175,,
4096,-0.5125069618225098,4096,0.0020514918,1.42081,0.017382812,198,-0.003410402,2,8.719981908798218,4.921151,2058.0,415.440625
6144,-0.3086087703704834,6144,0.002584487,1.4138558,0.018017579,239,-0.001218014,3,19.05622696876526,7.467447,2058.0,415.440625
8192,-0.6175016164779663,8192,0.002978302,1.4141258,0.03017578,182,-0.0025695646,4,27.61910319328308,5.1431437,3072.5,656.9666015
10240,-0.9940981864929199,10240,0.003639416,1.4309659,0.0418457,238,-0.002599008,5,38.847145318984985,4.8081293,3072.5,656.9666015
12288,-0.4381145238876343,12288,0.0022749228,1.4421688,0.019824218,136,-0.0010989448,6,47.4254252910614,2.1220438,1974.3333333333333,405.964453
14336,-0.43778300285339355,14336,0.0052772863,1.4443204,0.0609375,130,-0.0046049594,7,62.470632553100586,2.7150145,1395.0,280.87587879999995
16384,-0.14391517639160156,16384,0.0017210718,1.4517415,0.009912109,191,-0.0016370149,8,78.11904644966125,2.0878887,1371.3636363636363,274.7381923636363
18432,-0.7270689010620117,18432,0.0021758408,1.4393687,0.0146484375,238,-0.0005859988,9,88.81000185012817,4.53701,1371.3636363636363,274.7381923636363
20480,-0.47803938388824463,20480,0.0031120882,1.4252313,0.02734375,238,-0.0020605426,10,97.38704943656921,7.4118166,1371.3636363636363,274.7381923636363
22528,-0.5278780460357666,22528,0.0017910386,1.4224173,0.01303711,161,-0.0010624256,11,105.97095084190369,2.6626563,1684.3846153846155,345.54438092307686
24576,-0.1254422664642334,24576,0.0014897838,1.4346766,0.011865234,143,-0.0008089238,12,118.61728000640869,2.2817655,1520.0,309.786157125
26624,-0.11447322368621826,26624,0.0024116659,1.449738,0.022216797,239,-0.00039393237,13,132.89782977104187,1.4996296,1520.0,309.786157125
28672,-0.21249699592590332,28672,0.002997873,1.4402202,0.025927734,238,-0.0034549348,14,141.4662368297577,2.6474023,1520.0,309.786157125
30720,-0.24080491065979004,30720,0.002995807,1.4355023,0.0296875,148,-0.0015706888,15,150.05011916160583,2.544594,1693.0555555555557,342.0729166111111
32768,0.4024311304092407,32768,0.0028119558,1.4435629,0.026806641,155,-0.001678762,16,163.857990026474,1.586408,1621.7,326.78843744999995
34816,-0.013856768608093262,34816,0.0040532057,1.4582018,0.04916992,238,-0.0026847601,17,177.03899788856506,1.2139832,1621.7,326.78843744999995
36864,-0.13176500797271729,36864,0.0021017797,1.4645209,0.012646484,202,-0.00035195393,18,185.60988545417786,1.9958508,1657.952380952381,332.26184890476185
38912,-0.18846487998962402,38912,0.0029180592,1.4607723,0.025878906,238,-0.0019193469,19,195.71140313148499,1.4407135,1657.952380952381,332.26184890476185
40960,0.20824646949768066,40960,0.004795163,1.455057,0.054248046,239,-0.0061229775,20,204.2829132080078,1.0935466,1657.952380952381,332.26184890476185
43008,0.21691793203353882,43008,0.0015568121,1.4315546,0.009375,188,-0.0012751964,21,212.8476321697235,1.2468622,1861.8636363636363,374.8769974545454
45056,0.03570610284805298,45056,0.0025925995,1.4178069,0.020361328,239,-0.0018296179,22,223.6890709400177,1.1416698,1861.8636363636363,374.8769974545454
47104,-0.28336215019226074,47104,0.0031906422,1.4180164,0.03330078,238,-0.0022637737,23,232.25771760940552,1.504898,1861.8636363636363,374.8769974545454
49152,0.36359864473342896,49152,0.0031239898,1.4261024,0.030419922,239,-0.002482869,24,240.84103274345398,1.6926019,1861.8636363636363,374.8769974545454
51200,0.4394265413284302,51200,0.0030323216,1.4370437,0.030419922,201,-0.003983958,25,249.41006064414978,1.6418518,2137.304347826087,440.46516639130425
