#{"t_start": 1566661017.6644182, "env_id": null}
r,l,t
73.849893,76,0.793696
64.646507,67,0.916488
61.773532,65,1.037521
46.941526,51,1.134122
61.783677,67,1.265596
52.343954,57,1.387578
48.751225,51,1.502484
46.288034,51,1.615872
46.891484,50,1.732208
68.781711,73,1.900257
96.149517,101,2.160935
54.47103,57,2.268417
87.18382,93,2.463938
60.884925,66,2.593541
63.016014,68,2.728745
43.629846,48,2.824939
44.265215,50,2.94167
42.991605,48,3.037044
69.831896,78,3.187807
43.934042,49,3.300343
61.402701,66,3.460798
50.765817,54,3.587156
69.116064,72,3.761521
35.828837,38,3.851191
85.07706,91,4.068129
49.502278,55,4.194258
48.640327,54,4.315014
65.945541,72,4.491156
40.850885,45,4.597117
64.246759,70,4.772003
44.777657,49,4.882965
55.253343,57,4.996523
52.496885,54,5.103154
81.017616,83,5.802007
51.317023,56,5.917993
41.877121,47,6.023991
73.384603,79,6.209464
41.448941,45,6.307729
48.927401,53,6.425213
42.153488,46,6.530711
35.165561,39,6.618752
37.342976,42,6.714725
44.27314,49,6.82162
63.624077,69,6.97224
38.197055,41,7.055995
91.878492,101,7.283472
77.043267,85,7.503832
40.896444,46,7.602705
51.22778,57,7.714737
53.433616,59,7.831151
40.542359,45,7.921088
54.235067,58,8.044358
79.800039,84,8.20961
46.256617,49,8.296351
78.059783,82,8.490722
69.060081,77,8.676876
86.889309,92,8.888118
52.843299,56,8.996213
51.198554,54,9.103692
49.352847,54,9.210456
43.614131,49,9.312274
59.67954,66,9.45308
48.228288,54,9.564786
68.560897,71,9.730614
53.108216,56,9.841393
41.681693,45,9.927254
41.495776,43,10.007548
56.429167,61,10.525224
73.499284,80,10.70812
51.866282,57,10.820184
90.463984,97,11.124813
69.431129,75,11.317071
57.44083,63,11.454362
52.000937,57,11.574637
42.146902,46,11.679819
54.70907,58,11.817511
59.458772,62,11.954748
59.517215,62,12.080531
100.471524,105,12.389543
66.757754,72,12.569003
56.356939,61,12.718177
58.333002,63,12.848745
34.585196,38,12.923259
80.136253,85,13.142251
86.267619,92,13.387406
77.365844,82,13.609312
96.272629,101,13.856131
53.492689,57,14.031423
113.402786,123,14.356506
86.965965,93,14.60806
88.771792,95,14.847292
36.596105,41,14.936253
50.079782,54,15.087366
66.236352,69,15.252893
57.952344,60,15.379144
60.367309,65,16.076436
92.625084,97,16.302027
64.002682,67,16.475313
39.878462,43,16.560143
69.726046,76,16.745303
49.966618,54,16.9099
44.100287,47,17.006842
55.575109,60,17.132905
48.177433,52,17.235818
61.026097,67,17.372762
74.448521,82,17.559594
70.090616,77,17.722082
64.900664,70,17.86936
67.357321,73,18.031478
78.916661,84,18.232455
91.023373,96,18.439583
68.26598,73,18.5972
96.648918,104,18.81485
67.819934,74,18.987005
60.324303,66,19.12031
77.024126,83,19.299781
84.828466,91,19.499645
82.942031,88,19.70177
52.520964,56,19.825124
78.559048,84,20.014849
121.750726,130,20.317453
65.284197,70,20.470495
76.144364,83,21.101125
81.779637,86,21.301887
70.784917,77,21.460221
102.711401,110,21.712185
48.141491,52,21.822286
90.534202,96,22.06318
114.386816,118,22.371067
171.476956,175,22.794951
73.133024,75,22.964894
64.208215,66,23.105455
111.122855,114,23.36146
101.231495,110,23.61786
74.748176,83,23.809898
50.315556,56,23.924329
84.956224,93,24.133894
57.223794,62,24.265029
88.519457,93,24.46609
97.514106,107,24.708448
93.434448,100,24.936573
63.916241,68,25.102034
69.876484,77,25.284828
46.005783,52,25.389735
57.65535,63,25.529786
74.953846,81,25.710769
74.026805,80,26.355799
142.778545,155,26.712604
106.502537,119,27.008526
66.319854,75,27.196835
62.120712,70,27.374087
121.883461,136,27.716238
57.894523,63,27.842894
