ep_len_mean,n_updates,fps,ep_reward_mean,serial_timesteps,clipfrac,total_timesteps,time_elapsed,value_loss,approxkl,explained_variance,policy_loss,policy_entropy
57.885714285714286,1,340,53.53117759999999,2048,0.013867187,2048,3.337860107421875e-06,70.82086,0.0018572714,0.0016669631004333496,-0.0009258394,1.4176753
60.44776119402985,2,345,55.52627777611939,4096,0.00546875,4096,6.015493392944336,71.4547,0.0010795054,0.042120516300201416,-0.0013084407,1.402312
60.37,3,346,55.61120433,6144,0.042041015,6144,11.94528603553772,69.50383,0.0034634229,0.03983408212661743,-0.004175548,1.4045188
63.75,4,348,58.915339890000006,8192,0.0063964846,8192,17.853280782699585,72.92059,0.0011407066,0.07919919490814209,-0.00080883224,1.4152095
67.13,5,341,62.796994460000015,10240,0.029296875,10240,23.740211725234985,76.81633,0.0028589456,0.061508238315582275,-0.0022347588,1.4107983
71.61,6,343,67.08248731,12288,0.020361328,12288,29.741422414779663,76.14433,0.0021490366,0.09626197814941406,-0.0022193454,1.4176122
79.02,7,339,73.99593501,14336,0.05366211,14336,35.71335554122925,78.06784,0.0044945218,0.1318088173866272,-0.004950761,1.4363037
86.29,8,333,80.77039357,16384,0.03022461,16384,41.756271839141846,78.5912,0.0030549145,0.17287272214889526,-0.0040738103,1.4496316
95.01,9,334,88.66173244000001,18432,0.031201173,18432,47.890933990478516,79.204056,0.0028880313,0.2382146716117859,-0.0025711826,1.4609317
101.51,10,331,94.60499210999998,20480,0.0484375,20480,54.02252650260925,77.46184,0.004146506,0.3023120164871216,-0.00558609,1.4831793
108.51,11,332,101.06391686999997,22528,0.057910156,22528,60.19919037818909,79.44701,0.004691575,0.35295939445495605,-0.0056364257,1.493407
121.5,12,325,113.23698456999999,24576,0.03334961,24576,66.36648297309875,83.461975,0.0029724818,0.41031068563461304,-0.0022257215,1.4998267
129.81,13,330,121.25135606999999,26624,0.0390625,26624,72.65801739692688,76.2349,0.003059417,0.5359196960926056,-0.0021174485,1.5164542
139.44,14,326,130.49304477000004,28672,0.06293945,28672,78.8587851524353,76.706924,0.004743734,0.5515301525592804,-0.0066576996,1.5490801
147.94,15,327,138.15816311000003,30720,0.039697267,30720,85.14214539527893,73.88806,0.0035590758,0.5443597435951233,-0.0035903365,1.5731852
158.4,16,319,148.43827807000002,32768,0.046533205,32768,91.40220189094543,81.77294,0.004049749,0.47644245624542236,-0.008215843,1.5841422
169.4,17,323,158.74167991000002,34816,0.032177735,34816,97.82261514663696,76.05255,0.0030339758,0.6487818956375122,-0.0018682226,1.5892189
179.86,18,323,168.65360603999997,36864,0.029101562,36864,104.1569082736969,74.65135,0.002717178,0.5883633494377136,-0.0022219853,1.5997856
191.38,19,320,179.48401025999996,38912,0.020458985,38912,110.49696016311646,71.96923,0.0020202864,0.5448358952999115,-0.0023477678,1.6167635
203.01,20,314,190.33395044,40960,0.010791016,40960,116.89615321159363,68.9538,0.0013922337,0.5520693361759186,-0.0014492722,1.6267707
213.17,21,316,200.15543379,43008,0.0234375,43008,123.4152569770813,69.2972,0.0025764895,0.5980498492717743,-0.002470914,1.6282715
220.97,22,316,207.22006490000004,45056,0.031445313,45056,129.89048194885254,66.46514,0.0030291874,0.595178872346878,-0.0038169348,1.6300157
228.19,23,313,213.58734529,47104,0.023828125,47104,136.36828517913818,63.69395,0.0026233662,0.6147551536560059,-0.0035295845,1.6322634
