n_updates,policy_loss,fps,ep_len_mean,approxkl,policy_entropy,explained_variance,value_loss,time_elapsed,clipfrac,total_timesteps,serial_timesteps,ep_reward_mean
1,-0.0034358867,341,56.388888888888886,0.0028830357,1.4256275,0.01430422067642212,70.02132,2.86102294921875e-06,0.029833984,2048,2048,52.45671136111111
2,-0.0013994381,342,59.80882352941177,0.002347995,1.4359001,-0.0076274871826171875,72.75365,6.00350546836853,0.023486327,4096,4096,55.22700110294117
3,-0.008409884,341,61.1,0.006176618,1.4616691,0.05727583169937134,70.362625,11.99064016342163,0.072753906,6144,6144,56.38799759
4,-0.0025557952,342,66.4,0.0021556588,1.4699919,0.0521695613861084,71.32057,17.994572639465332,0.018017579,8192,8192,60.69994785999998
5,-0.0054074074,340,70.64,0.0038507804,1.4712193,0.08770489692687988,78.78148,23.97151279449463,0.04399414,10240,10240,65.10368633
6,-0.004684544,342,78.4,0.0033144746,1.4924775,0.11212515830993652,82.40765,29.994977235794067,0.038720705,12288,12288,72.41293174
7,-0.0016437586,338,86.35,0.001551441,1.5075338,0.15154677629470825,81.507515,35.97837018966675,0.011962891,14336,14336,79.97977894
8,-0.0011291892,329,93.58,0.0015035473,1.5083184,0.18461424112319946,81.99802,42.03964900970459,0.010498047,16384,16384,87.31481544999998
9,-0.0022769708,330,101.93,0.002465993,1.5179019,0.24382489919662476,80.33901,48.26281023025513,0.02631836,18432,18432,95.20349849
10,-0.001867635,327,112.33,0.0014876515,1.5342853,0.24761950969696045,86.09078,54.461066484451294,0.009912109,20480,20480,104.75965893
11,-0.0029756723,327,119.31,0.0028251482,1.5444953,0.3446183204650879,76.358505,60.72536563873291,0.030517578,22528,22528,111.11340675999998
12,-0.0052011847,324,126.39,0.0036601792,1.5661013,0.3771284222602844,83.041916,66.9723572731018,0.043945312,24576,24576,117.95224584000002
13,-0.004118842,320,135.28,0.003364702,1.5794394,0.37850403785705566,82.509995,73.29292607307434,0.03642578,26624,26624,126.19711826999999
14,-0.00023591467,323,146.79,0.0012038529,1.5775023,0.3975088596343994,81.61902,79.6768651008606,0.008154297,28672,28672,136.75052169
15,-0.0050063394,320,159.05,0.0033023083,1.57806,0.49220341444015503,82.04401,86.00566077232361,0.039648436,30720,30720,148.37372706
16,-0.00027521848,319,169.56,0.0010827233,1.5839053,0.4802405834197998,78.503105,92.40040922164917,0.005517578,32768,32768,158.16657677999999
17,-0.0041473415,317,181.32,0.002407394,1.5979497,0.3640066981315613,76.97703,98.80699682235718,0.026513672,34816,34816,168.90417367
18,-0.0036870476,317,194.08,0.0033059898,1.6117029,0.44034343957901,76.36067,105.26867747306824,0.035839844,36864,36864,180.59908523000001
19,-0.0013173835,313,206.48,0.002021437,1.6219431,0.4507023096084595,80.74312,111.71618914604187,0.018554688,38912,38912,192.39157551000005
20,-0.003048338,324,220.43,0.0036460771,1.6391405,0.5668227076530457,72.623474,118.25675845146179,0.041064452,40960,40960,205.45435082
21,-0.0031294622,313,229.16,0.003746255,1.650824,0.4293709397315979,75.49583,124.57762336730957,0.041552734,43008,43008,213.77323212000002
22,-0.00011796951,318,240.34,0.002088847,1.6552948,0.6009873449802399,65.76009,131.11697244644165,0.01845703,45056,45056,223.92793991000002
23,-0.002310298,314,252.91,0.0025496704,1.6686407,0.5349800884723663,67.52293,137.5550057888031,0.026806641,47104,47104,235.69758790000003
24,-0.002372002,311,267.37,0.002319722,1.6862946,0.690335601568222,64.53636,144.07196068763733,0.021679688,49152,49152,248.77492208
25,-0.00044994714,312,281.01,0.0025693297,1.6997948,0.6726140677928925,67.28128,150.64932656288147,0.024365235,51200,51200,261.73983972
26,-0.0010380896,316,288.06,0.0020514908,1.7059971,0.7103090882301331,60.747902,157.22145056724548,0.016113281,53248,53248,268.18459164
27,-0.0023008352,316,296.23,0.0030594605,1.7130705,0.7947757840156555,55.33958,163.70047068595886,0.028076172,55296,55296,276.04543106
28,-0.000933577,317,299.09,0.0020083436,1.7263343,0.7596870362758636,56.78533,170.17411947250366,0.019921875,57344,57344,278.93343988
29,-0.006133453,319,304.34,0.003962307,1.7429316,0.7128750383853912,53.6602,176.6309688091278,0.043359376,59392,59392,283.85949424
30,-0.00598995,314,310.32,0.0031843693,1.762729,0.7835131287574768,54.245483,183.04860758781433,0.03701172,61440,61440,289.28598435000004
31,-0.0015461624,322,314.84,0.0017685987,1.7741684,0.6969910860061646,51.19918,189.56062579154968,0.0108886715,63488,63488,293.19117769
32,-0.0042001293,314,321.22,0.0026483214,1.7825487,0.7375518977642059,49.573067,195.91834259033203,0.025927734,65536,65536,298.95751358000007
33,-0.0013924673,316,323.23,0.0025134631,1.8006045,0.6058298051357269,51.374268,202.4415922164917,0.021289062,67584,67584,301.10887118
34,-0.0022139985,315,327.64,0.0032987017,1.805973,0.717736005783081,50.450935,208.92333221435547,0.03793945,69632,69632,305.39762036
35,0.0004217621,310,325.81,0.0017430058,1.8140237,0.7873749732971191,46.446358,215.41674900054932,0.015283203,71680,71680,303.47008657
36,-0.0064840773,314,326.73,0.0042914385,1.8366129,0.8002364337444305,48.725346,222.02011823654175,0.052099608,73728,73728,304.54295234999995
37,-0.0075617284,318,333.6,0.006091465,1.8674685,0.7240797281265259,47.99653,228.52578568458557,0.078222655,75776,75776,311.15388146000004
38,-0.003530714,314,337.82,0.0029742345,1.880971,0.7234350740909576,44.389423,234.94950342178345,0.031054687,77824,77824,314.77799523
39,-0.005739364,312,339.16,0.0045499196,1.8867983,0.8402346670627594,45.247433,241.458105802536,0.054101564,79872,79872,316.73513159
40,-0.0017766604,309,342.1,0.0031012702,1.9026754,0.8333387821912766,42.830315,248.01695036888123,0.032421876,81920,81920,320.02866587999995
41,-0.0017560025,308,349.17,0.00324099,1.901565,0.8422648906707764,45.459583,254.6305274963379,0.035253905,83968,83968,327.29239535000005
42,-2.1559186e-05,303,355.86,0.001780709,1.892868,0.8609438538551331,44.500946,261.2696113586426,0.014257813,86016,86016,334.08766412
43,-0.00026975333,312,359.93,0.0027941435,1.885854,0.8837579563260078,38.991016,268.0223126411438,0.026708985,88064,88064,337.86796155
44,-0.00072646217,304,370.11,0.0024000448,1.8898191,0.8777661696076393,38.42253,274.572301864624,0.02368164,90112,90112,347.43262062
45,-0.002435252,303,380.92,0.002763365,1.9000969,0.8797527328133583,37.319893,281.2905683517456,0.031591795,92160,92160,357.54739289
46,-0.00066831725,304,386.06,0.0021539996,1.914427,0.903014525771141,33.93127,288.0379590988159,0.020507812,94208,94208,362.33242333999993
47,-0.0011649474,301,399.65,0.0022598985,1.9187877,0.9072870537638664,32.777107,294.7717263698578,0.02060547,96256,96256,374.7019936699999
48,-0.0020824124,306,410.51,0.0026566288,1.9193065,0.9090248271822929,28.523594,301.57768416404724,0.024072265,98304,98304,384.26556066000006
49,-0.002236007,302,418.55,0.004773817,1.9154999,0.9235274866223335,32.584904,308.27169013023376,0.05078125,100352,100352,392.01653934999996
50,-0.0017172244,302,428.53,0.0024439069,1.8972702,0.9265628457069397,30.351284,315.03442215919495,0.020898437,102400,102400,401.3589248100001
51,-0.0023831066,310,438.63,0.0036315757,1.8905474,0.8896315768361092,31.613537,321.81664061546326,0.04086914,104448,104448,411.17343538999995
52,-0.0028951473,303,451.48,0.0026823836,1.8995196,0.9171658754348755,28.410471,328.41323590278625,0.027880859,106496,106496,423.06982428
53,-0.0018224374,302,461.34,0.0023796507,1.9130188,0.9185341969132423,28.426306,335.15239357948303,0.022558594,108544,108544,432.3757736400001
54,-0.0014639226,306,471.93,0.0024149048,1.9240608,0.8964411541819572,25.146547,341.9193150997162,0.02236328,110592,110592,442.21656422000007
55,-0.0006420155,316,480.58,0.0009735317,1.9241604,0.6944272220134735,31.646692,348.6037678718567,0.006152344,112640,112640,450.15635924000003
56,-0.0044956575,314,491.65,0.0032785728,1.9141369,0.7820332050323486,29.799778,355.07999324798584,0.03378906,114688,114688,460.7817783500001
57,-0.003027622,310,501.77,0.001686403,1.9122387,0.8720391243696213,26.504963,361.60093426704407,0.014013672,116736,116736,470.63904178000007
58,-0.0020208661,307,513.39,0.0024253563,1.9251003,0.8636388778686523,27.393711,368.19040298461914,0.025097657,118784,118784,481.63813308
59,-0.0016860513,311,524.26,0.0021379243,1.9350933,0.8431360274553299,25.838907,374.85780811309814,0.020898437,120832,120832,491.25496827
60,-0.0034492142,305,533.9,0.002237949,1.9346764,0.9171434193849564,25.443914,381.4419996738434,0.020117188,122880,122880,500.8320397100001
61,-0.00072347966,306,544.32,0.002316956,1.9380782,0.8026854246854782,26.012272,388.1489505767822,0.022607422,124928,124928,510.80859706999996
62,-0.0026663616,305,557.06,0.0035331063,1.9469198,0.7631604820489883,28.523304,394.84043884277344,0.041308593,126976,126976,522.92743154
63,-0.0063601644,306,569.1,0.006232072,1.9412447,0.9137846678495407,23.370953,401.5526337623596,0.078125,129024,129024,534.3707249900001
64,-0.0018738715,311,577.54,0.0030593614,1.9335272,0.4824458360671997,29.474842,408.2428035736084,0.03310547,131072,131072,542.24048636
65,-0.002808263,307,583.01,0.0030896708,1.9400654,0.21075856685638428,33.381676,414.8104612827301,0.03618164,133120,133120,547.99328363
66,-0.0009347623,304,592.9,0.0023767285,1.9495261,0.7574521452188492,25.872458,421.473596572876,0.023388673,135168,135168,557.5055082
67,-0.0011164414,303,600.06,0.0021467141,1.9519465,0.867743045091629,21.642818,428.2033112049103,0.023339843,137216,137216,564.45057585
68,-0.004022977,310,604.31,0.0035831928,1.9713795,0.8961510136723518,19.53041,434.9487090110779,0.041503906,139264,139264,568.5308854499999
69,-0.0016458897,303,610.37,0.0019481189,1.9758809,0.8722766488790512,19.879887,441.55108094215393,0.016308594,141312,141312,574.1711107000001
70,-0.0014668027,312,612.47,0.0009216429,1.9685526,0.8789936006069183,19.213352,448.2996973991394,0.0065429686,143360,143360,575.9617195800001
71,-0.003104393,307,614.47,0.0025553594,1.9776573,0.735309511423111,25.735285,454.8649306297302,0.026464844,145408,145408,578.15255774
72,-0.002668036,307,616.4,0.0016598061,1.9905453,0.8725671768188477,19.052008,461.51616287231445,0.015136719,147456,147456,579.9067706999999
73,-0.0014604045,306,623.29,0.0024166931,1.9992743,0.783203974366188,21.308285,468.1741888523102,0.023388673,149504,149504,586.17934622
74,-0.0018859636,315,630.25,0.0015679704,1.995923,0.4633740782737732,22.74902,474.850088596344,0.0125,151552,151552,592.73846649
75,-0.0028689122,311,636.35,0.0030663812,1.9929434,0.7413633167743683,23.473413,481.3451545238495,0.029882813,153600,153600,598.9051217100001
76,-0.0016515192,308,638.58,0.0023429864,1.9958277,0.7059888243675232,22.211695,487.9212214946747,0.021533202,155648,155648,600.96629429
77,-0.0045922915,304,648.63,0.0026637353,2.0143347,0.8946268558502197,16.130299,494.55619168281555,0.02998047,157696,157696,610.45498567
78,-0.001274479,307,661.05,0.0024472422,2.041928,0.6344931721687317,18.723322,501.27296137809753,0.025244141,159744,159744,622.3483464300001
79,-0.0014300707,307,663.66,0.0020817404,2.0526795,0.535764753818512,20.652462,507.92717456817627,0.019433593,161792,161792,625.2270574600001
80,-0.0031872229,310,667.75,0.002127384,2.065539,0.4043269157409668,26.42579,514.5819208621979,0.019824218,163840,163840,629.3713719
81,-0.0039668763,310,674.26,0.0028530096,2.0803313,0.40410274267196655,27.859234,521.1791932582855,0.029882813,165888,165888,636.24775371
82,-0.0030375326,310,683.08,0.0022213806,2.0864651,0.09176552295684814,18.657173,527.7823531627655,0.018164063,167936,167936,644.2360807700001
83,-0.00078980287,305,687.64,0.001773119,2.0856476,0.601094126701355,20.381119,534.3800857067108,0.01796875,169984,169984,648.60633702
84,-0.001824018,307,696.25,0.0023897027,2.094993,0.6904198229312897,17.45232,541.0921821594238,0.024414062,172032,172032,656.8557035599999
85,-0.0006038845,307,710.89,0.0019302052,2.1040711,0.8547025173902512,12.667073,547.7598567008972,0.016357422,174080,174080,670.55910219
