fps,value_loss,serial_timesteps,n_updates,policy_loss,clipfrac,total_timesteps,explained_variance,policy_entropy,time_elapsed,ep_reward_mean,approxkl,ep_len_mean
332,76.4936,2048,1,-0.0019156681,0.023388673,2048,-0.0032132863998413086,1.4173093,3.5762786865234375e-06,58.216053875,0.0026245923,62.0625
343,76.15071,4096,2,-0.002417381,0.01953125,4096,0.022070586681365967,1.408244,6.166400194168091,59.56377020634921,0.0022925476,63.58730158730159
339,73.77697,6144,3,-0.00215826,0.024169922,6144,0.03471517562866211,1.3950051,12.140634775161743,60.84508177659574,0.0026764208,64.94680851063829
339,74.319855,8192,4,-0.0017554618,0.014355469,8192,0.0572587251663208,1.3904535,18.1816303730011,63.935680469999994,0.0020424095,68.25
340,73.953384,10240,5,-0.0023187317,0.01850586,10240,0.08559489250183105,1.3913114,24.21267032623291,65.16417621000001,0.001992846,69.62
331,81.24161,12288,6,-0.0015328506,0.02211914,12288,0.11348813772201538,1.3938286,30.226876497268677,69.69350193999999,0.0021433046,74.6
328,79.874146,14336,7,-0.0056188144,0.056591798,14336,0.16925036907196045,1.4014939,36.41015434265137,74.55849481,0.004862911,79.72
331,78.24857,16384,8,-0.0016907327,0.018798828,16384,0.20217937231063843,1.4054229,42.64057755470276,82.60185655000001,0.0021563908,88.18
329,77.86165,18432,9,-0.002993584,0.026123047,18432,0.28374356031417847,1.4119028,48.81184697151184,87.85128406,0.0024587782,93.77
321,77.71397,20480,10,-0.0025915627,0.033154298,20480,0.35714322328567505,1.4155209,55.02417755126953,96.19617182,0.0032089264,102.92
326,74.9973,22528,11,-0.004437718,0.049462892,22528,0.37929433584213257,1.4183494,61.39796257019043,101.56727226000001,0.0042891307,109.05
328,74.14851,24576,12,-0.0032358202,0.043261718,24576,0.46190500259399414,1.4477705,67.67739605903625,107.75871217999999,0.0035265137,115.38
323,73.35575,26624,13,-0.005088426,0.057666015,26624,0.47226738929748535,1.4772825,73.92301869392395,114.60107206000002,0.004427604,123.05
324,71.2779,28672,14,-0.0025329022,0.032666016,28672,0.5565339028835297,1.4944999,80.2491466999054,120.65444915,0.0031067245,129.49
321,74.42254,30720,15,-0.0023465115,0.033447266,30720,0.6607506573200226,1.5141873,86.55799055099487,128.27165034,0.0031391582,137.73
325,66.67785,32768,16,-0.0012379577,0.029589843,32768,0.5992268323898315,1.5379391,92.92624878883362,136.56404067,0.0025212676,146.98
324,66.11752,34816,17,-0.0010696229,0.013769532,34816,0.6342732310295105,1.5550072,99.21948289871216,140.89730965,0.0017721495,151.69
316,64.15044,36864,18,-0.0019641193,0.026708985,36864,0.6479398906230927,1.5655726,105.53440713882446,146.25223103,0.0026416734,157.4
317,67.12758,38912,19,-0.0032342798,0.029541016,38912,0.7013376951217651,1.573498,112.00850629806519,153.70566602,0.0030651446,165.13
319,61.03109,40960,20,-0.0020238818,0.03261719,40960,0.6911124885082245,1.5859809,118.46226334571838,158.74654733999998,0.0028893282,170.92
317,60.289314,43008,21,-0.004275019,0.051220704,43008,0.6283827126026154,1.6079817,124.87986588478088,166.3936054,0.0040453235,179.4
312,61.50094,45056,22,-0.0023196624,0.042822264,45056,0.6359061002731323,1.6242034,131.33835124969482,173.54828346,0.0037807755,187.05
306,71.90655,47104,23,-0.0018008417,0.018945312,47104,0.40372800827026367,1.6331867,137.89423656463623,182.15294809000002,0.002048338,195.89
311,58.22824,49152,24,-0.004887365,0.025,49152,0.6072304248809814,1.6346953,144.58239793777466,192.38595488,0.002681561,206.99
305,60.94921,51200,25,-0.0021124077,0.01928711,51200,0.5591122508049011,1.6337461,151.14998984336853,199.67330137000002,0.0021111167,215.03
309,61.04317,53248,26,-0.0011615785,0.016552735,53248,0.6276111304759979,1.6293166,157.86074542999268,206.17923339,0.0019754046,221.92
309,56.439598,55296,27,-0.0012644453,0.016992187,55296,0.5979380011558533,1.638835,164.47979426383972,218.26886532,0.0020549244,234.85
310,57.82003,57344,28,-0.0032114577,0.032128908,57344,0.5080820620059967,1.6656103,171.10912227630615,226.92275186999998,0.002887829,244.04
308,56.167095,59392,29,-0.002911425,0.028466797,59392,0.6386928260326385,1.6915756,177.69880032539368,235.81141519000002,0.0026858675,253.3
312,52.69419,61440,30,-0.0006008288,0.0125488285,61440,0.5602922439575195,1.7097448,184.3303186893463,244.61713534000003,0.0015886395,262.86
312,53.519646,63488,31,-0.004189468,0.056005858,63488,0.4264932870864868,1.7176924,190.88872027397156,251.52641655000002,0.0044796085,270.06
304,53.86673,65536,32,-0.0020681978,0.022753906,65536,0.7687453031539917,1.7210985,197.44949674606323,258.24035284,0.0023900676,277.11
308,51.136448,67584,33,0.00032806132,0.016503906,67584,0.5613606870174408,1.7275145,204.1879439353943,267.98264600000005,0.002124169,287.56
301,50.30128,69632,34,-0.002383864,0.027832031,69632,0.6040793061256409,1.7297077,210.83822679519653,275.22095059000003,0.0025799896,295.09
304,51.06299,71680,35,-0.0028274572,0.021923829,71680,0.6476031839847565,1.7393234,217.62580394744873,284.20158388999994,0.002462423,304.41
307,45.335335,73728,36,-0.000995522,0.038476564,73728,0.7568175196647644,1.7421639,224.34948086738586,294.34646326000006,0.0035436102,314.94
303,38.73458,75776,37,-0.0033091106,0.035449218,75776,0.7646974474191666,1.7394397,231.01640439033508,297.52974804999997,0.003591669,318.4
302,36.368088,77824,38,-0.0016860075,0.027734375,77824,0.8302434086799622,1.7379684,237.76239800453186,293.1979856,0.0027164982,314.37
309,44.629143,79872,39,-0.0043777097,0.044970702,79872,0.7046697437763214,1.7320347,244.5351538658142,294.21877624,0.003733335,315.3
311,40.222977,81920,40,-0.008180745,0.057958983,81920,0.7389281690120697,1.7513654,251.14573669433594,298.17143331000005,0.0046514785,319.45
