serial_timesteps,ep_reward_mean,ep_len_mean,policy_loss,approxkl,value_loss,policy_entropy,total_timesteps,clipfrac,n_updates,fps,time_elapsed,explained_variance
2048,57.42768684848485,62.0,-0.004798855,0.0036748946,74.620285,1.4242642,2048,0.044384766,1,333,2.86102294921875e-06,-0.016556143760681152
4096,62.62838565,67.51666666666667,-0.0061900797,0.005386219,80.02205,1.4426259,4096,0.06757812,2,337,6.139410018920898,0.052647173404693604
6144,64.67985478409092,69.73863636363636,-0.0013752008,0.0011213283,78.60021,1.4634469,6144,0.008007812,3,337,12.206040859222412,0.0528409481048584
8192,67.32736708000002,72.66,-0.00212534,0.0021764694,76.92324,1.4717511,8192,0.019189453,4,337,18.2761652469635,0.06965470314025879
10240,72.72393664999998,78.4,-0.002820483,0.0030615253,79.6917,1.4800373,10240,0.030859375,5,334,24.352864980697632,0.08658313751220703
12288,78.02173082,83.79,-0.0032829314,0.0035171784,82.742935,1.5021055,12288,0.039892577,6,329,30.48787021636963,0.08786976337432861
14336,84.72872934000002,90.32,-0.0008612006,0.0018115772,88.32587,1.512572,14336,0.0105957035,7,331,36.70919704437256,0.14271646738052368
16384,91.27261594000001,97.38,-0.0018277107,0.0011208557,82.43526,1.5107049,16384,0.009033203,8,324,42.893781661987305,0.19415873289108276
18432,101.17036698000001,107.83,-0.0018129686,0.0016979277,89.38866,1.5254058,18432,0.0171875,9,322,49.208332538604736,0.22272706031799316
20480,111.94149862999998,119.14,-0.0037238852,0.0033889432,92.44108,1.542906,20480,0.039453126,10,311,55.55903124809265,0.27917397022247314
22528,123.19012603999998,130.6,-0.005278973,0.0028792985,89.40392,1.5723282,22528,0.030419922,11,316,62.131378173828125,0.28062325716018677
24576,134.22086185,142.26,-0.0036417686,0.003576295,88.19894,1.6050212,24576,0.042773437,12,317,68.60803461074829,0.3223397731781006
26624,145.95490674,154.68,-0.005527651,0.0035981373,91.126,1.6226587,26624,0.042382814,13,318,75.05343890190125,0.3128983974456787
28672,159.17816767,168.61,-0.0016917372,0.0029933888,92.181496,1.623045,28672,0.027490234,14,312,81.47864127159119,0.3286566138267517
30720,171.89775569000003,181.83,-0.006176462,0.0048181457,89.50218,1.6358448,30720,0.0597168,15,310,88.03377175331116,0.2922365665435791
32768,187.68530823,198.97,-0.0029756583,0.0018332899,84.00187,1.6662924,32768,0.018115234,16,311,94.63472008705139,0.37130314111709595
34816,197.20139735,209.29,-0.003983008,0.004438741,78.16064,1.6952387,34816,0.05625,17,316,101.20545864105225,0.48032307624816895
36864,207.30960126,220.17,-0.0036593433,0.0034938473,79.995514,1.708408,36864,0.038427733,18,322,107.67376637458801,0.33337199687957764
38912,220.76052370000002,234.62,-0.0021386512,0.0028063129,80.12657,1.7114108,38912,0.025585938,19,310,114.01983165740967,0.41712212562561035
40960,233.0739942,247.7,-0.0029902712,0.0025168809,75.63364,1.7175605,40960,0.02475586,20,308,120.60911440849304,0.4926156997680664
43008,243.04751296000003,258.31,-0.004074416,0.0038064409,79.596405,1.7330106,43008,0.04243164,21,306,127.26012921333313,0.4900898337364197
45056,249.78668295000003,265.84,-0.0033740322,0.002444345,70.07573,1.7421182,45056,0.023144532,22,306,133.9464774131775,0.5028837323188782
47104,262.50710368000006,279.77,-0.0025998247,0.002989036,70.63128,1.7446773,47104,0.029785156,23,313,140.63472938537598,0.576309084892273
49152,270.97354269,289.28,-0.0030182134,0.0035277319,68.06566,1.7407417,49152,0.038867187,24,316,147.16184830665588,0.5318059921264648
51200,276.30531370000006,295.27,-0.007887746,0.004807357,69.12875,1.750274,51200,0.059423827,25,310,153.64034843444824,0.5563695132732391
53248,288.68498651999994,308.39,-0.00054117345,0.0015514243,73.964455,1.7661831,53248,0.0125,26,308,160.2497136592865,0.5802956819534302
55296,305.24991039,325.59,-0.0034457142,0.0028032246,74.20177,1.769064,55296,0.025390625,27,305,166.8893256187439,0.5345408916473389
57344,318.64799696000006,339.9,-0.003957311,0.0036542446,71.05467,1.7784662,57344,0.04638672,28,310,173.60096430778503,0.5684829354286194
59392,331.22878189000005,353.34,-0.0038916818,0.0029519903,67.83986,1.7715728,59392,0.028173828,29,314,180.20141887664795,0.591019332408905
61440,339.14514646000003,361.91,0.00019172416,0.0016226654,68.60536,1.7601916,61440,0.013427734,30,303,186.71692180633545,0.3350728154182434
63488,343.38777703000005,366.56,-0.0020389566,0.0022805633,57.642555,1.7632923,63488,0.023828125,31,310,193.46884274482727,0.4054267406463623
65536,347.01364786,370.79,-0.0053415885,0.0028488752,60.89045,1.7760963,65536,0.030859375,32,308,200.07516932487488,0.47849977016448975
67584,348.47777874,372.5,-0.0033297583,0.0034038215,59.94245,1.7813066,67584,0.039453126,33,309,206.70728063583374,0.5470551252365112
69632,355.22151134000006,379.59,-0.0006096447,0.0018041905,56.29643,1.7770579,69632,0.0125,34,307,213.33684062957764,0.5995975732803345
71680,360.48601729,385.39,-0.002501071,0.0034868028,56.196724,1.7820638,71680,0.03676758,35,310,219.9994649887085,0.5508193671703339
73728,366.55849229,391.8,-0.000535827,0.0022367595,51.111137,1.7891281,73728,0.020166015,36,303,226.58913683891296,0.6822413206100464
75776,376.73314076,402.86,-0.002324956,0.0037520598,47.937965,1.8030866,75776,0.04448242,37,309,233.32869267463684,0.6985760033130646
77824,379.0417845599999,405.19,-0.0016900422,0.003169485,50.70417,1.8206068,77824,0.031689454,38,307,239.9503562450409,0.7197880148887634
79872,383.56027103,409.91,-0.00051530695,0.0028184745,47.481236,1.8343565,79872,0.031298827,39,310,246.60562133789062,0.722695529460907
81920,391.07570831,417.91,-0.0009689521,0.0028892015,46.625946,1.8487927,81920,0.029003907,40,308,253.21373796463013,0.7538786977529526
83968,396.13539127999996,423.86,-0.001274009,0.0028724712,43.067863,1.8497503,83968,0.031542968,41,309,259.86052203178406,0.777567133307457
86016,396.56884145000004,424.51,-0.0019210584,0.002323682,40.60921,1.8418605,86016,0.020458985,42,306,266.4718997478485,0.7979762107133865
88064,407.8637598,436.15,-0.0021820988,0.0032313932,43.281357,1.8337767,88064,0.035107423,43,308,273.16070795059204,0.8299283981323242
90112,409.98430947,437.94,-0.0027522692,0.0033356522,41.437756,1.8287365,90112,0.034570314,44,304,279.79572224617004,0.8254978209733963
92160,414.66067546,442.63,-0.0024150587,0.0026342608,39.342907,1.8295723,92160,0.022998046,45,301,286.5196626186371,0.8160674124956131
94208,419.94289978999996,447.6,-0.0010653086,0.002394372,36.252014,1.8293715,94208,0.021484375,46,301,293.31728982925415,0.8619197309017181
96256,415.49550509999995,442.53,-0.0064553805,0.003934035,33.4449,1.8317921,96256,0.04501953,47,306,300.1051654815674,0.8628146350383759
98304,404.74971798,431.65,-0.0013037169,0.0015497569,32.376534,1.8387085,98304,0.011621093,48,306,306.7959268093109,0.9006356447935104
100352,395.9396098,422.18,-5.63793e-05,0.001377411,31.012897,1.8411099,100352,0.009765625,49,304,313.47195076942444,0.9165521636605263
102400,391.87151265,417.78,-0.0017480564,0.0026905814,34.357826,1.8553528,102400,0.027978515,50,299,320.20138239860535,0.9155222997069359
104448,395.02560984999997,421.23,-0.0018683139,0.002160018,30.320232,1.8674387,104448,0.019384766,51,305,327.03852128982544,0.9012693613767624
106496,398.90775722,424.99,-0.0016944185,0.0020704793,29.653812,1.8748362,106496,0.019384766,52,303,333.7502951622009,0.8881453648209572
108544,400.33648800000003,425.98,0.00031807745,0.0012282168,31.687428,1.8835891,108544,0.007714844,53,304,340.4926722049713,0.9167008176445961
110592,404.76772260000007,430.73,-0.0009820415,0.0015767891,29.080448,1.8911978,110592,0.011914062,54,301,347.22372174263,0.9324752166867256
112640,399.84285243,425.54,-0.0019069419,0.003410533,26.995651,1.911225,112640,0.036376953,55,309,354.0235946178436,0.9038053825497627
114688,409.44830840000003,435.76,-0.0016207669,0.001481659,26.182001,1.9190347,114688,0.010351563,56,309,360.65356945991516,0.9378405027091503
116736,410.5195841,437.1,-0.006558814,0.0039050952,24.611568,1.9359556,116736,0.045458984,57,302,367.2801294326782,0.9289201945066452
118784,419.21028062,446.06,-0.0014814062,0.0018211923,25.487177,1.9548985,118784,0.01826172,58,300,374.04561018943787,0.9393622614443302
120832,427.80884534000006,455.35,-0.0024269163,0.0023348164,24.528204,1.9656864,120832,0.018994141,59,299,380.8550250530243,0.9398107007145882
122880,432.43441025,460.01,-0.0024097546,0.0017116184,24.891071,1.9753062,122880,0.014013672,60,302,387.7033362388611,0.9194106385111809
124928,440.70954285000005,468.62,-0.006434642,0.003219523,32.38467,1.9932299,124928,0.035107423,61,305,394.47201442718506,0.6829222440719604
126976,437.26769388,465.02,-0.003894881,0.0034446064,38.59926,2.0182643,126976,0.042333983,62,301,401.185982465744,0.029158830642700195
129024,444.67787174999995,472.74,-0.0037323001,0.0030298424,23.866476,2.035483,129024,0.035546876,63,306,407.97233486175537,0.876001849770546
131072,449.41552355,477.09,-0.0021166757,0.0017605776,24.399206,2.0422966,131072,0.012451172,64,299,414.64995408058167,0.8598170131444931
133120,455.31221901000004,483.33,-0.0020672178,0.002155256,22.780472,2.0445817,133120,0.019873047,65,306,421.48187923431396,0.8661212921142578
135168,462.76691383,490.88,-0.005178835,0.004094689,23.28805,2.0470254,135168,0.049902342,66,303,428.17640924453735,0.7766493111848831
