serial_timesteps,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean,policy_loss,clipfrac,fps,approxkl,n_updates,explained_variance,value_loss,time_elapsed
2048,1.4241369,2048,57.882100656249996,62.34375,-0.0042959736,0.021777343,338,0.0023001963,1,0.0017636418342590332,74.836464,3.0994415283203125e-06
4096,1.4329019,4096,60.836680571428566,64.88888888888889,-0.0017446869,0.015380859,341,0.0016825577,2,0.03490245342254639,77.95297,6.052235126495361
6144,1.4462688,6144,63.16290209890111,67.45054945054945,-0.0038973405,0.03857422,342,0.0035271805,3,0.04444432258605957,78.71019,12.059312105178833
8192,1.481132,8192,66.25638175,70.78,-0.0062599564,0.047753908,344,0.0042284695,4,0.07592499256134033,75.72188,18.048970460891724
10240,1.4943839,10240,68.59823869,73.4,-0.0014526532,0.012060547,339,0.0017774208,5,0.08130210638046265,77.18021,24.003772974014282
12288,1.501689,12288,74.31937586999999,79.48,-0.0052961186,0.046484374,338,0.0039405944,6,0.11368197202682495,81.89271,30.039652824401855
14336,1.5149021,14336,80.17860676999999,85.77,-0.0009398276,0.0057128905,337,0.0012666782,7,0.15214943885803223,81.0031,36.087162256240845
16384,1.5133204,16384,85.54130164,91.66,-0.0028573447,0.019189453,333,0.0022042145,8,0.18794935941696167,78.29668,42.16278576850891
18432,1.5175571,18432,90.8433096,97.35,-0.004236007,0.029882813,333,0.0029757633,9,0.25135713815689087,77.96807,48.308905601501465
20480,1.5208684,20480,95.47722909,102.36,-0.0043888013,0.04086914,330,0.004015293,10,0.29022496938705444,74.95002,54.46069097518921
22528,1.5117762,22528,100.97011297999998,108.5,-0.007440299,0.066308595,328,0.0051692324,11,0.33706825971603394,75.86757,60.664623737335205
24576,1.5210636,24576,105.94450210999999,113.86,-0.0034531504,0.015673827,327,0.001815555,12,0.364784300327301,77.92623,66.90132737159729
26624,1.5501977,26624,110.53947859,118.8,-0.006976017,0.06313477,327,0.0050257663,13,0.42379826307296753,73.021835,73.15204977989197
28672,1.5678974,28672,122.65173611,131.14,-0.0028603107,0.047753908,322,0.003990588,14,0.3991814851760864,88.5454,79.41676473617554
30720,1.5716908,30720,135.77602697000003,144.96,-0.0031481616,0.040039062,319,0.0037078247,15,0.39921045303344727,86.446075,85.77052617073059
32768,1.5676101,32768,148.51893306,158.43,-0.00534652,0.051123045,317,0.004321212,16,0.4548878073692322,82.65639,92.17629337310791
34816,1.575908,34816,161.26124325,172.47,-0.004651878,0.0340332,323,0.0027295938,17,0.3656446933746338,77.44773,98.62777280807495
36864,1.5906768,36864,175.50766420999997,187.23,-0.001702463,0.01845703,319,0.0019796796,18,0.40466660261154175,81.00144,104.96344447135925
