ep_reward_mean,policy_loss,total_timesteps,policy_entropy,explained_variance,n_updates,approxkl,ep_len_mean,serial_timesteps,time_elapsed,clipfrac,value_loss,fps
10.727272727272727,-0.001813682,2048,1.4155955,0.015126466751098633,1,0.0038190752,61.90909090909091,2048,2.6226043701171875e-06,0.04345703,4.980742,409
12.119402985074627,-0.004782564,4096,1.418721,0.019540786743164062,2,0.005216998,60.76119402985075,4096,4.99946928024292,0.06347656,6.8553786,411
13.25,-0.0034076734,6144,1.4148234,0.024242281913757324,3,0.0030789264,66.54347826086956,6144,9.979140758514404,0.025878906,7.153878,352
13.39,-0.0033852742,8192,1.3979348,0.05770307779312134,4,0.0034770921,72.05,8192,15.793522596359253,0.03305664,5.450719,337
16.2,-0.0046886504,10240,1.3740451,0.056765615940093994,5,0.0038448658,79.93,10240,21.872354745864868,0.038916014,12.734732,332
17.3,-0.0027499828,12288,1.3600279,0.08653450012207031,6,0.003696721,86.78,12288,28.037882566452026,0.0375,8.728539,335
19.31,-0.0024232853,14336,1.3535612,0.10552668571472168,7,0.002483077,94.6,14336,34.1521360874176,0.017773438,14.894229,330
20.16,-0.0017520885,16384,1.3380103,0.13336068391799927,8,0.0036833498,101.15,16384,40.34725022315979,0.03540039,7.3070207,328
23.49,-0.0016277529,18432,1.3210354,0.16385000944137573,9,0.0018016711,107.12,18432,46.583314418792725,0.012646484,19.885386,329
26.08,-0.0024562413,20480,1.3045433,0.19178205728530884,10,0.002655027,113.85,20480,52.79645371437073,0.026367188,18.942696,327
27.74,-0.0018233465,22528,1.2878507,0.23890066146850586,11,0.0024438514,119.41,22528,59.05191683769226,0.020166015,18.093449,327
30.29,-0.0038456724,24576,1.2690332,0.2636207342147827,12,0.0034808454,127.02,24576,65.31014156341553,0.03671875,11.808021,324
31.17,-0.0027593484,26624,1.2603407,0.30179595947265625,13,0.0041704318,131.05,26624,71.62781071662903,0.048193358,12.074445,326
33.23,-0.0020031705,28672,1.2538742,0.33901679515838623,14,0.0023315796,134.23,28672,77.90571355819702,0.018945312,15.599238,326
36.23,-0.0026952324,30720,1.2376945,0.3692880868911743,15,0.003225311,137.47,30720,84.18330240249634,0.029101562,22.702545,327
37.04,-0.0023323332,32768,1.2232507,0.39010536670684814,16,0.00298425,139.61,32768,90.43785524368286,0.028955078,15.995819,328
37.92,-0.0013417528,34816,1.2107254,0.41021090745925903,17,0.0020488475,141.58,34816,96.680903673172,0.017285157,16.1304,324
37.74,-0.0043703774,36864,1.2078618,0.4326905608177185,18,0.004892572,141.66,36864,103.00155997276306,0.05629883,14.67782,325
40.05,-0.0010143776,38912,1.204212,0.4445459842681885,19,0.002424647,147.13,38912,109.2957854270935,0.020361328,13.890488,322
40.54,-0.0013749329,40960,1.1909819,0.45563894510269165,20,0.0021564425,150.56,40960,115.64530396461487,0.0147949215,14.664825,327
42.63,-0.0016949723,43008,1.1775205,0.4819689989089966,21,0.003175075,154.02,43008,121.90695333480835,0.026757812,21.043106,323
44.07,-0.0004966436,45056,1.1695185,0.5209546685218811,22,0.0020685142,156.98,45056,128.24959063529968,0.017626952,21.84161,324
45.89,-0.0034916434,47104,1.1569513,0.5071524083614349,23,0.0043006246,161.21,47104,134.57061553001404,0.044433594,20.797413,319
46.01,-0.0021256655,49152,1.1470938,0.5469796657562256,24,0.002723018,165.13,49152,140.9754238128662,0.02578125,9.60357,326
46.22,-0.001589239,51200,1.1363851,0.5411498248577118,25,0.0023465643,167.08,51200,147.25441694259644,0.019726563,17.472136,323
47.69,-0.0006583047,53248,1.1299462,0.5560621321201324,26,0.0018752394,170.91,53248,153.59328389167786,0.0140625,15.081808,325
47.45,-0.0006041883,55296,1.1308954,0.5773183703422546,27,0.002902481,171.42,55296,159.88676834106445,0.02861328,12.18268,323
48.6,-0.0018393358,57344,1.1272676,0.5821331441402435,28,0.0026308657,172.59,57344,166.2287402153015,0.02470703,16.962093,327
48.8,-0.002543153,59392,1.12927,0.5693332254886627,29,0.0035960167,171.7,59392,172.4845552444458,0.038232423,18.801983,327
48.35,-0.0003710008,61440,1.1314303,0.6146577894687653,30,0.002961418,172.78,61440,178.7360556125641,0.029199218,19.696264,325
48.0,-0.0033446774,63488,1.130632,0.6137315332889557,31,0.0048494837,174.15,63488,185.0382936000824,0.056640625,21.601177,325
49.75,-0.0015918514,65536,1.1213707,0.6340039372444153,32,0.003706216,178.52,65536,191.33556652069092,0.037744142,20.86965,320
