ep_len_mean,policy_loss,explained_variance,n_updates,time_elapsed,policy_entropy,serial_timesteps,fps,total_timesteps,value_loss,ep_reward_mean,approxkl,clipfrac
55.80555555555556,-0.0030758348,-9.143352508544922e-05,1,3.0994415283203125e-06,1.4222162,2048,346,2048,6.015734,11.972222222222221,0.0049304185,0.063964844
57.309859154929576,-0.0010347122,0.027193427085876465,2,5.918751955032349,1.4204609,4096,347,4096,3.2849612,10.605633802816902,0.0027468684,0.022705078
62.255102040816325,-0.0038398728,0.021605193614959717,3,11.816763162612915,1.4103497,6144,342,6144,9.0485325,12.295918367346939,0.0037519045,0.039648436
67.22,-0.0027281835,0.05319070816040039,4,17.800036430358887,1.388614,8192,345,8192,6.751626,13.04,0.0028592304,0.023779297
74.93,-0.004453673,0.04849863052368164,5,23.732880115509033,1.3598444,10240,338,10240,10.009185,15.52,0.003163894,0.03017578
84.87,-0.006351965,0.08065229654312134,6,29.78923988342285,1.322169,12288,331,12288,18.958958,19.17,0.005327179,0.053808592
95.38,-0.0008798482,0.10395282506942749,7,35.96423935890198,1.2916,14336,336,14336,21.367592,23.76,0.0015236615,0.009667968
100.84,-0.0027992025,0.13188260793685913,8,42.062132120132446,1.2753953,16384,337,16384,12.708949,24.85,0.003731406,0.040380858
108.13,-0.00035431926,0.14384275674819946,9,48.1321747303009,1.2708222,18432,333,18432,17.748892,27.04,0.0017777135,0.0145019535
114.61,-0.0018318141,0.19004666805267334,10,54.27142357826233,1.2679913,20480,334,20480,16.040865,29.04,0.0022320172,0.021484375
120.43,-0.0022074424,0.24302059412002563,11,60.40276098251343,1.2601025,22528,330,22528,9.434518,30.43,0.002943298,0.02836914
119.9,-0.0015797013,0.2520838975906372,12,66.6069712638855,1.2555668,24576,331,24576,14.498645,28.32,0.0032083653,0.030566406
119.54,-0.0015218758,0.28093570470809937,13,72.78633952140808,1.2471763,26624,334,26624,17.458984,27.51,0.0024309773,0.016748047
126.6,-0.002631835,0.32037484645843506,14,78.91873908042908,1.2409594,28672,329,28672,9.782042,28.84,0.003045491,0.03046875
131.43,-0.002001883,0.3091694712638855,15,85.13664221763611,1.2355201,30720,329,30720,19.388819,30.3,0.0035958786,0.032714844
135.68,-0.00111263,0.350935697555542,16,91.34653377532959,1.2318527,32768,330,32768,13.306047,30.96,0.001877567,0.014599609
138.89,-0.0032834238,0.35167866945266724,17,97.53895473480225,1.2225645,34816,336,34816,15.481234,31.73,0.0038267628,0.041894533
144.05,-0.001482535,0.3639252185821533,18,103.62471961975098,1.212206,36864,325,36864,16.488214,33.26,0.0028507349,0.029492188
149.84,-0.002826031,0.4077228903770447,19,109.91979575157166,1.2094551,38912,325,38912,32.21769,38.82,0.0043351995,0.052783202
151.88,-0.0012504014,0.4438270926475525,20,116.20984983444214,1.2074368,40960,329,40960,17.483715,40.69,0.0030718634,0.027539063
155.95,-0.0010855177,0.4455547332763672,21,122.43259954452515,1.1940111,43008,328,43008,24.620785,43.0,0.0017854904,0.012304688
157.84,-0.0018832727,0.47484511137008667,22,128.6653962135315,1.174442,45056,327,45056,13.529897,43.72,0.0024839086,0.021289062
158.27,-0.0015841285,0.49590039253234863,23,134.91624927520752,1.1632625,47104,327,47104,26.004765,46.04,0.0032017652,0.031884767
160.53,-0.0016013946,0.5186467468738556,24,141.17200231552124,1.152832,49152,331,49152,18.156393,47.4,0.0026075235,0.023339843
162.18,-0.0027631887,0.5427548587322235,25,147.34999823570251,1.1358597,51200,325,51200,13.31637,48.29,0.0027548694,0.025341798
163.49,-0.0035290166,0.5519219040870667,26,153.6642987728119,1.1290764,53248,333,53248,22.817963,51.2,0.0039351005,0.045410156
164.16,-0.00059954607,0.544448971748352,27,159.80910634994507,1.1318591,55296,337,55296,17.226332,48.48,0.002025928,0.012207031
166.49,-0.00077289215,0.6002940833568573,28,165.88007044792175,1.1282523,57344,331,57344,15.410947,48.68,0.002900437,0.03100586
166.41,-0.0016616328,0.615348219871521,29,172.06131196022034,1.1200457,59392,327,59392,16.185448,49.56,0.0028900725,0.027832031
167.05,-0.00056431454,0.6021699905395508,30,178.32748198509216,1.1082488,61440,329,61440,18.969091,49.55,0.0023401685,0.01875
169.52,-0.0035285442,0.6190336346626282,31,184.54224109649658,1.096268,63488,329,63488,21.903358,50.76,0.0041230684,0.04121094
172.11,-0.0014588351,0.6309619247913361,32,190.75316309928894,1.0923591,65536,330,65536,25.212704,52.8,0.0026147522,0.025488282
173.6,-0.0013760971,0.6687569618225098,33,196.95710253715515,1.091439,67584,333,67584,8.736418,52.4,0.0024348344,0.017529298
177.01,-0.0019416955,0.658180445432663,34,203.10777807235718,1.0819132,69632,331,69632,14.594343,52.85,0.002927409,0.031347655
178.77,-0.0025659995,0.6324194967746735,35,209.27972960472107,1.0735033,71680,329,71680,15.085385,52.31,0.0024506734,0.020654297
180.97,-0.0020618082,0.6754831373691559,36,215.48948907852173,1.0561835,73728,336,73728,19.970705,54.89,0.00388612,0.038964845
181.47,-0.00097074144,0.6903873085975647,37,221.5812532901764,1.0541877,75776,329,75776,13.193326,54.36,0.0023558591,0.019238282
182.64,-0.001896228,0.6764689683914185,38,227.7974886894226,1.0514511,77824,329,77824,12.051754,53.35,0.0021992181,0.017529298
182.81,-0.0036276889,0.6749541461467743,39,234.02001070976257,1.0453846,79872,324,79872,21.510113,53.31,0.004160705,0.04814453
181.72,-0.0015619112,0.7111385762691498,40,240.34132361412048,1.0373638,81920,332,81920,17.255022,52.71,0.002992657,0.031347655
180.11,-0.002095347,0.6882859468460083,41,246.50810027122498,1.0382333,83968,333,83968,16.160427,50.79,0.0032484452,0.028125
