total_timesteps,value_loss,clipfrac,fps,policy_entropy,serial_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed
2048,5.2089167,0.054785155,328,1.4243834,2048,0.0046143197,1,0.00016003847122192383,11.235294117647058,-0.0027818428,58.61764705882353,2.86102294921875e-06
4096,5.6938143,0.06689453,335,1.4288964,4096,0.005176274,2,0.006833970546722412,12.415384615384616,-0.0030894657,62.723076923076924,6.229051351547241
6144,7.5366874,0.06738281,342,1.4244565,6144,0.00525642,3,0.016745448112487793,13.285714285714286,-0.005544073,67.48351648351648,12.343921661376953
8192,10.401314,0.022509765,334,1.4087609,8192,0.0029025064,4,0.0616297721862793,14.61,-0.0018622205,72.69,18.333940267562866
10240,13.366606,0.055761717,328,1.4024098,10240,0.004518266,5,0.04863673448562622,17.16,-0.0037634473,81.61,24.458630800247192
12288,13.803047,0.06845703,326,1.3977822,12288,0.0053025507,6,0.09754270315170288,20.52,-0.0055062776,90.49,30.697065114974976
14336,17.653694,0.018652344,326,1.3832052,14336,0.0023208612,7,0.10935765504837036,24.18,-0.0016805477,100.35,36.97047758102417
16384,12.266316,0.023291016,323,1.3743203,16384,0.002676874,8,0.1370440125465393,25.62,-0.0008068626,107.72,43.236270904541016
18432,18.969433,0.044384766,323,1.3700114,18432,0.0039318786,9,0.17787981033325195,28.65,-0.002311277,114.01,49.57746601104736
20480,22.391577,0.023925781,319,1.3643426,20480,0.0026705423,10,0.20954233407974243,32.94,-0.0035327058,122.65,55.90597176551819
22528,30.7479,0.008837891,317,1.3486452,22528,0.0014622447,11,0.23825830221176147,37.34,-0.0010322223,128.35,62.31270456314087
24576,19.673368,0.012158203,323,1.3391051,24576,0.0017482747,12,0.2782454490661621,39.21,-0.0009793345,131.54,68.77184748649597
26624,17.055714,0.018847656,328,1.3339493,26624,0.0025306717,13,0.31114381551742554,39.03,-0.0019311176,133.1,75.0974473953247
28672,17.478992,0.04501953,327,1.3259066,28672,0.0038323882,14,0.3374384641647339,40.27,-0.002239496,135.58,81.33262276649475
30720,19.453352,0.011474609,320,1.3210963,30720,0.0015772299,15,0.3321252465248108,41.29,-0.0014877606,139.56,87.58066082000732
32768,12.614422,0.008007812,317,1.3114347,32768,0.0013538974,16,0.37923306226730347,41.14,-0.00045230347,142.5,93.96954846382141
34816,12.176383,0.04423828,327,1.3081033,34816,0.0037064957,17,0.3712843656539917,38.95,-0.0016250791,141.24,100.41642880439758
36864,20.026003,0.036328126,319,1.3083043,36864,0.0035867777,18,0.36927539110183716,36.31,-0.0030594934,141.43,106.6813325881958
38912,11.426939,0.023144532,325,1.309324,38912,0.0024010076,19,0.4435216188430786,36.14,-0.0014682742,144.49,113.09102272987366
40960,16.466198,0.047851562,321,1.30999,40960,0.0041402197,20,0.4515742063522339,38.51,-0.003438862,148.63,119.39137673377991
43008,25.215282,0.034960937,317,1.3067179,43008,0.0033964615,21,0.4431319236755371,40.32,-0.0041242056,152.24,125.7594850063324
45056,34.36814,0.03149414,315,1.2960596,45056,0.0034180041,22,0.4709031581878662,45.7,-0.0023733345,158.61,132.21013736724854
47104,19.797197,0.024267578,322,1.2835464,47104,0.002948891,23,0.4917299151420593,46.31,-0.0017283628,158.49,138.70201516151428
49152,21.382418,0.042822264,325,1.2655828,49152,0.004432307,24,0.5061509907245636,48.89,-0.004949347,160.85,145.06030702590942
51200,15.685153,0.028759766,321,1.2509661,51200,0.0028601459,25,0.5275641679763794,50.58,-0.0025797132,163.73,151.34973287582397
53248,28.439693,0.01821289,321,1.2554784,53248,0.0020410793,26,0.521470457315445,53.31,-0.0016672909,165.72,157.73754501342773
55296,18.462933,0.06357422,320,1.2627362,55296,0.005197977,27,0.5597167611122131,55.59,-0.0032795086,167.5,164.10918593406677
57344,28.271002,0.012304688,319,1.270859,57344,0.0015579464,28,0.5470977127552032,58.28,-0.00032138047,172.5,170.49448466300964
