value_loss,policy_entropy,ep_reward_mean,fps,time_elapsed,explained_variance,total_timesteps,serial_timesteps,n_updates,policy_loss,clipfrac,ep_len_mean,approxkl
8.077209,1.4196893,13.485714285714286,376,3.0994415283203125e-06,0.0017914175987243652,2048,2048,1,-0.0036943431,0.04296875,58.457142857142856,0.0036978982
6.271589,1.4233229,13.276923076923078,390,5.445999622344971,0.001180410385131836,4096,4096,2,-0.003415772,0.03671875,62.707692307692305,0.0033386622
7.003846,1.4289676,14.054347826086957,411,10.687316656112671,0.015939295291900635,6144,6144,3,-0.0045934827,0.068603516,66.09782608695652,0.005284921
4.258807,1.432626,13.4,370,15.663451671600342,0.045089781284332275,8192,8192,4,-0.0011134167,0.02475586,72.82,0.00267691
6.8748426,1.437579,14.36,388,21.188574075698853,0.0701988935470581,10240,10240,5,-0.0008801408,0.012597656,77.99,0.0018490258
10.635591,1.4327528,16.22,358,26.468798875808716,0.09992289543151855,12288,12288,6,-0.0038168668,0.041650392,82.71,0.003823956
12.472383,1.4242405,18.72,426,32.18160843849182,0.12219303846359253,14336,14336,7,-0.003486953,0.030859375,88.0,0.0031483863
18.670713,1.4171393,21.23,402,36.988550424575806,0.13205713033676147,16384,16384,8,-0.0032835274,0.035205077,91.84,0.0036081902
16.071583,1.4065787,24.27,408,42.076748847961426,0.16579526662826538,18432,18432,9,-0.005603896,0.06035156,95.57,0.0048710876
15.786055,1.4009349,27.41,359,47.09305000305176,0.20542412996292114,20480,20480,10,-0.001528685,0.018115234,102.65,0.002412666
21.400028,1.3838531,30.33,416,52.78522062301636,0.22005176544189453,22528,22528,11,-0.0021485188,0.015917968,109.55,0.0018731024
12.839533,1.3699979,31.25,378,57.708256006240845,0.25620120763778687,24576,24576,12,-0.003624047,0.026904296,114.01,0.002691421
27.184443,1.3690789,34.86,404,63.12812685966492,0.28141021728515625,26624,26624,13,-0.004543406,0.06923828,119.7,0.0057685035
27.25697,1.3701354,38.3,399,68.19363451004028,0.3051871061325073,28672,28672,14,-0.0031488747,0.035253905,125.46,0.0033784038
20.758839,1.3678125,39.01,410,73.3235228061676,0.32212305068969727,30720,30720,15,-0.0011499864,0.024365235,129.79,0.0027229642
19.49882,1.3642445,41.61,340,78.31382513046265,0.3538358211517334,32768,32768,16,-0.0025353867,0.043164063,135.67,0.0038714323
13.514572,1.3594495,41.69,386,84.33390879631042,0.4102262258529663,34816,34816,17,-0.0007901803,0.022021484,138.79,0.00243608
24.416443,1.3534831,43.73,399,89.62994480133057,0.3975887894630432,36864,36864,18,-0.0021837552,0.024023438,144.08,0.0025611194
14.815132,1.3567754,45.28,348,94.75969219207764,0.449701189994812,38912,38912,19,-0.0021697558,0.024169922,147.82,0.0021454543
22.437374,1.3622682,46.73,375,100.63596367835999,0.43856334686279297,40960,40960,20,-0.003096213,0.032421876,151.32,0.0033084464
17.733377,1.3572447,44.04,390,106.09376215934753,0.4727354049682617,43008,43008,21,-0.0031096973,0.03691406,150.92,0.0037488348
19.276688,1.3456783,46.09,407,111.3360812664032,0.45950281620025635,45056,45056,22,-0.0020191632,0.039404295,153.48,0.0040579466
22.294834,1.3495052,44.88,372,116.36429047584534,0.48892778158187866,47104,47104,23,-0.0021726768,0.036035158,153.65,0.0032200695
20.417278,1.3552829,48.11,411,121.86246132850647,0.5182505249977112,49152,49152,24,-0.0008753451,0.020068359,156.58,0.002344171
21.95019,1.3628004,49.7,383,126.83844208717346,0.5112622380256653,51200,51200,25,-0.001852889,0.027050782,160.7,0.002473168
25.658844,1.3739587,50.61,355,132.18733525276184,0.5275736153125763,53248,53248,26,-0.0014041667,0.01850586,162.37,0.002124617
21.76672,1.3739818,52.89,395,137.95130705833435,0.5627027153968811,55296,55296,27,-0.00090590527,0.020654297,164.3,0.0025699164
25.203226,1.3754188,54.36,388,143.12940669059753,0.5153319239616394,57344,57344,28,-0.001875005,0.024609376,166.53,0.0030116215
12.889216,1.3765962,54.66,381,148.3967456817627,0.5883911848068237,59392,59392,29,-0.0007535391,0.025146484,172.2,0.0025133598
22.924662,1.381838,55.67,370,153.76668405532837,0.5723850727081299,61440,61440,30,-0.0015403721,0.023339843,176.14,0.0026945479
18.219418,1.3861815,58.39,374,159.29364395141602,0.6011864840984344,63488,63488,31,-0.0027822568,0.045410156,182.17,0.0038144167
25.497044,1.393127,60.57,369,164.7567903995514,0.6133021414279938,65536,65536,32,9.26411e-05,0.016259765,186.4,0.0016361487
19.72496,1.3870847,61.1,382,170.30717182159424,0.646582841873169,67584,67584,33,-0.0015880907,0.027197266,188.77,0.0030024867
17.497437,1.3805019,61.78,374,175.657484292984,0.6496803760528564,69632,69632,34,-6.560733e-05,0.0105957035,190.03,0.0017089832
15.213478,1.3852947,61.0,391,181.1309792995453,0.6847443580627441,71680,71680,35,-9.71183e-05,0.029150391,190.4,0.002984158
13.064242,1.3859036,59.31,365,186.3628089427948,0.6725571751594543,73728,73728,36,-0.0024105166,0.02866211,190.03,0.0029805414
20.873768,1.3765101,59.71,380,191.97261905670166,0.6812154352664948,75776,75776,37,-0.0019179704,0.039794922,192.3,0.0037459596
27.111233,1.366433,61.93,389,197.35118961334229,0.6758926212787628,77824,77824,38,-0.003647023,0.056640625,191.01,0.0048038503
12.5007715,1.3556559,61.92,382,202.61204624176025,0.6932640373706818,79872,79872,39,-0.0030871914,0.032470703,191.84,0.003426697
14.381177,1.3532593,60.52,386,207.96271753311157,0.7279233634471893,81920,81920,40,-0.0025800331,0.036132812,190.54,0.003378731
15.632967,1.3544271,57.79,398,213.26508712768555,0.7229184508323669,83968,83968,41,-0.0012895567,0.029199218,187.51,0.002809263
15.217329,1.3523154,59.34,354,218.40200448036194,0.7278738617897034,86016,86016,42,-0.0021500504,0.034277342,190.67,0.0030737626
13.2278805,1.3499916,58.41,399,224.18812894821167,0.7510404139757156,88064,88064,43,-0.0030485305,0.040771484,190.46,0.003791696
15.714726,1.3410515,59.55,356,229.3173303604126,0.7516993433237076,90112,90112,44,-0.0035925847,0.048339844,193.12,0.004467397
15.288748,1.3360637,59.89,398,235.06439399719238,0.7296350598335266,92160,92160,45,-0.0021200008,0.030029297,197.2,0.0031257812
24.312908,1.3382583,65.14,368,240.2077887058258,0.7328034937381744,94208,94208,46,0.00010340164,0.011474609,204.84,0.0014951162
15.614049,1.3266551,63.86,389,245.76798605918884,0.7749797254800797,96256,96256,47,-0.003875656,0.046679687,205.64,0.004562413
7.9325914,1.309814,61.17,361,251.0209789276123,0.7803765088319778,98304,98304,48,-0.0009684035,0.025585938,207.46,0.0027436886
15.020389,1.2967767,61.77,391,256.69285106658936,0.7651264816522598,100352,100352,49,-0.0012430837,0.025488282,210.37,0.0031017135
8.103674,1.2906405,59.53,363,261.9294435977936,0.8061150312423706,102400,102400,50,-0.0006790728,0.026904296,209.31,0.002490557
12.424154,1.2879806,60.15,396,267.56796407699585,0.7937968671321869,104448,104448,51,-0.0021885138,0.037841797,212.09,0.0037620552
10.963877,1.2737312,59.69,391,272.74071884155273,0.8084756284952164,106496,106496,52,-0.0037355765,0.04575195,214.77,0.0041437605
13.322139,1.2596297,59.44,388,277.9766411781311,0.8060061633586884,108544,108544,53,0.00019259412,0.017578125,215.24,0.0021099006
14.895236,1.2645093,60.51,375,283.2441508769989,0.7914240956306458,110592,110592,54,-0.0014120146,0.04736328,219.02,0.004286493
6.4359803,1.2641307,57.28,370,288.6985242366791,0.8354071378707886,112640,112640,55,-0.0010446429,0.013964844,216.04,0.0021047282
12.22773,1.2522957,55.59,400,294.22284865379333,0.8355880677700043,114688,114688,56,-0.0016000267,0.035058595,213.81,0.0035322136
14.796893,1.2527636,55.26,384,299.3369188308716,0.8199932128190994,116736,116736,57,0.000100266574,0.025341798,214.12,0.002698638
9.007158,1.2544479,55.71,385,304.6620123386383,0.8549023866653442,118784,118784,58,-0.0011378484,0.037109375,214.95,0.003450919
7.0052633,1.257664,53.39,392,309.97672033309937,0.8574057072401047,120832,120832,59,-0.00057036086,0.022900391,210.34,0.002438215
13.589197,1.2582015,54.56,362,315.20190477371216,0.8544917106628418,122880,122880,60,-0.0018609511,0.031640626,211.46,0.003244215
5.7048197,1.2519702,54.88,372,320.85910844802856,0.848569467663765,124928,124928,61,-0.0041918396,0.0647461,212.11,0.0054762815
10.73831,1.239752,54.01,382,326.3635175228119,0.8628518134355545,126976,126976,62,-0.0035629075,0.05444336,208.78,0.004963807
9.549376,1.2255013,54.9,383,331.7210819721222,0.8821357414126396,129024,129024,63,-0.0007334893,0.036621094,208.11,0.003603334
12.940555,1.2213132,56.46,395,337.0614082813263,0.8455881178379059,131072,131072,64,-0.0014508136,0.023095703,207.89,0.0026939218
5.229638,1.2145044,54.73,395,342.23983669281006,0.8939864858984947,133120,133120,65,-0.0019868915,0.04511719,206.98,0.0042493716
11.295883,1.2060391,54.6,382,347.4218394756317,0.8771394044160843,135168,135168,66,-0.0021912027,0.043554686,203.43,0.0038659808
7.7032557,1.193321,52.74,382,352.7805678844452,0.8905641585588455,137216,137216,67,-0.0018499624,0.038378906,200.04,0.0035435497
7.121413,1.1902728,53.44,381,358.1425361633301,0.9071520566940308,139264,139264,68,-0.0022510318,0.057373047,198.68,0.004896543
8.194303,1.1822236,54.94,392,363.5128951072693,0.8970230147242546,141312,141312,69,-0.0013004034,0.031640626,200.78,0.003315016
8.62356,1.1724284,53.65,354,368.73468804359436,0.8956860452890396,143360,143360,70,-0.0007860682,0.026611328,200.87,0.003058311
4.4272985,1.176862,55.45,379,374.51398515701294,0.922130897641182,145408,145408,71,-0.0029130024,0.055615235,202.75,0.0045783645
11.1901245,1.1915977,56.59,397,379.9091901779175,0.8950974121689796,147456,147456,72,-0.00079831854,0.040283203,204.98,0.0035614118
8.490402,1.1991723,56.08,383,385.0682225227356,0.9133392423391342,149504,149504,73,-0.00031642974,0.03339844,207.01,0.0032801505
10.83952,1.1928048,55.93,354,390.4107594490051,0.891472652554512,151552,151552,74,-0.0026187627,0.05234375,207.56,0.0046754545
5.7446685,1.1894603,55.7,386,396.18575382232666,0.9000611379742622,153600,153600,75,-0.0018266017,0.052197266,207.7,0.0045036385
2.5228734,1.1778142,55.93,368,401.4892556667328,0.9382869526743889,155648,155648,76,-0.0023721796,0.05029297,209.68,0.004450934
8.371418,1.1620829,55.88,389,407.05443382263184,0.9201070740818977,157696,157696,77,-0.0017411051,0.03652344,211.81,0.0036052628
