ep_reward_mean,time_elapsed,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,value_loss,clipfrac,policy_entropy,approxkl,total_timesteps
12.514285714285714,2.384185791015625e-06,-0.003706693649291992,2048,57.57142857142857,1,390,-0.0047462257,6.162464,0.09238281,1.4235866,0.006712444,2048
12.283582089552239,5.2506263256073,0.007829785346984863,4096,60.53731343283582,2,412,-0.004324089,6.30017,0.06386719,1.4282212,0.0050476436,4096
13.76086956521739,10.220848083496094,0.02632242441177368,6144,66.54347826086956,3,389,-0.002714057,7.6981134,0.043701172,1.4267924,0.0039419406,6144
14.75,15.485195875167847,0.04740971326828003,8192,73.05,4,401,-0.0015854997,7.183497,0.023535157,1.4227083,0.0025959876,8192
15.03,20.591274976730347,0.070945143699646,10240,79.15,5,394,-0.0017835314,6.1864905,0.01508789,1.4037411,0.0018999835,10240
18.06,25.77971076965332,0.07700920104980469,12288,87.66,6,376,-0.000931455,13.688693,0.028857421,1.392317,0.0024617726,12288
20.2,31.2239248752594,0.11740672588348389,14336,93.87,7,373,-0.001673799,12.680276,0.022558594,1.3885343,0.0025300565,14336
20.32,36.71440148353577,0.15798503160476685,16384,97.97,8,400,-0.002380345,8.416139,0.046826173,1.3803948,0.0042507485,16384
21.45,41.83101487159729,0.15609502792358398,18432,103.6,9,388,-0.0019714958,11.894396,0.029199218,1.366641,0.0029226958,18432
25.28,47.10435938835144,0.19847393035888672,20480,110.61,10,381,-0.0012180085,21.300137,0.01796875,1.3488648,0.0023170882,20480
26.53,52.46833944320679,0.2515081763267517,22528,113.46,11,409,-0.0007657466,13.119062,0.015576172,1.3441126,0.001838433,22528
27.81,57.47182512283325,0.26108527183532715,24576,117.19,12,398,-0.0022275369,16.821138,0.02631836,1.336024,0.0031157506,24576
29.48,62.61124610900879,0.2972310185432434,26624,120.99,13,382,-0.00089448737,14.699687,0.018164063,1.326072,0.001974014,26624
32.83,67.97198271751404,0.285214364528656,28672,127.89,14,407,-0.0024071797,23.958405,0.045166016,1.3291132,0.004084707,28672
34.52,73.00184941291809,0.3312363624572754,30720,131.83,15,373,-0.0009686222,14.570653,0.020263672,1.3287709,0.0021706067,30720
35.63,78.48708057403564,0.3740540146827698,32768,134.73,16,375,-0.0015378492,14.027898,0.031982422,1.3411667,0.002671291,32768
36.67,83.94454264640808,0.3700358271598816,34816,141.88,17,370,-0.0021719008,17.270433,0.016601562,1.3536799,0.0024439902,34816
