explained_variance,serial_timesteps,approxkl,value_loss,ep_reward_mean,n_updates,fps,time_elapsed,policy_entropy,total_timesteps,clipfrac,policy_loss,ep_len_mean
-0.0076438188552856445,2048,0.0044827065,4.645241,10.696969696969697,1,394,3.337860107421875e-06,1.4198662,2048,0.05180664,-0.0019550368,60.696969696969695
0.009042680263519287,4096,0.00558506,5.970136,11.830769230769231,2,408,5.189907073974609,1.4254196,4096,0.07036133,-0.003734259,62.215384615384615
0.021281957626342773,6144,0.0032849493,8.281829,13.0,3,391,10.20155382156372,1.428684,6144,0.031445313,-0.002618461,65.78494623655914
0.03645354509353638,8192,0.0024200133,10.638895,15.28,4,414,15.430218696594238,1.4178478,8192,0.019921875,-0.0021890802,73.89
0.06429785490036011,10240,0.0014121197,7.695732,16.85,5,377,20.37915349006653,1.4055605,10240,0.007373047,-0.0005340808,81.9
0.07972151041030884,12288,0.0035075895,10.986155,18.13,6,387,25.805891752243042,1.3879548,12288,0.034716796,-0.002931837,90.27
0.13130462169647217,14336,0.0020214196,10.685982,20.47,7,425,31.086981058120728,1.3680042,14336,0.018603515,-0.0013355067,100.39
0.15242356061935425,16384,0.00239984,12.377103,21.68,8,444,35.90512013435364,1.3593028,16384,0.017041016,-0.0013043851,108.82
0.18896037340164185,18432,0.003301931,12.811918,23.03,9,437,40.51493978500366,1.3485166,18432,0.032666016,-0.0021764552,116.45
0.20798563957214355,20480,0.0022849976,10.056638,23.5,10,440,45.199071645736694,1.3266593,20480,0.01508789,-0.0010554104,120.06
0.22965723276138306,22528,0.0013414903,14.412954,25.0,11,440,49.84565353393555,1.3204294,22528,0.009814453,-0.0005445063,125.81
0.27109062671661377,24576,0.0025920137,18.360254,28.3,12,417,54.50178074836731,1.328285,24576,0.02451172,-0.0018511747,129.62
0.28825104236602783,26624,0.0031774722,22.390537,29.2,13,415,59.41240692138672,1.3355458,26624,0.02734375,-0.0020577093,133.68
0.3025546073913574,28672,0.002292059,20.890554,34.17,14,415,64.34482908248901,1.328623,28672,0.02236328,-0.0013024398,143.02
0.294061541557312,30720,0.0035257053,19.956638,36.98,15,411,69.27939128875732,1.3198531,30720,0.03173828,-0.0040028165,149.64
0.36850231885910034,32768,0.0017498292,17.72823,38.78,16,417,74.26348280906677,1.3044047,32768,0.010302735,-0.0008050181,153.41
0.38469934463500977,34816,0.0034308855,15.164942,39.38,17,406,79.16591429710388,1.293533,34816,0.036474608,-0.0033407633,157.15
0.3879967927932739,36864,0.0029752443,23.99824,43.78,18,397,84.20389080047607,1.2834407,36864,0.029345702,-0.0018279884,162.7
0.42056554555892944,38912,0.0037951295,16.397673,44.36,19,408,89.35268640518188,1.2753605,38912,0.040771484,-0.0022569252,162.8
0.45152711868286133,40960,0.0031472188,17.34682,45.83,20,403,94.36583065986633,1.2601802,40960,0.027636718,-0.0009850294,167.94
0.4580245018005371,43008,0.0039549004,15.934433,45.84,21,393,99.44601392745972,1.2665281,43008,0.043652344,-0.0023100437,170.26
0.45617151260375977,45056,0.0027077075,25.998932,46.08,22,409,104.65315461158752,1.2835176,45056,0.025537109,-0.00088907185,169.8
0.48880648612976074,47104,0.003777257,22.663137,47.41,23,411,109.66169333457947,1.2864969,47104,0.037988283,-0.0022439747,172.72
0.4754095673561096,49152,0.004002256,24.886183,50.03,24,409,114.63981103897095,1.273494,49152,0.03618164,-0.0035427306,174.42
0.5024680495262146,51200,0.0017944619,28.972744,52.52,25,407,119.64872241020203,1.2622635,51200,0.01665039,-0.00081841403,179.24
0.5151936411857605,53248,0.0039373357,31.125195,57.36,26,414,124.68261051177979,1.2544358,53248,0.042285156,-0.003607345,183.74
0.5408264100551605,55296,0.003168951,20.967762,57.59,27,406,129.62554931640625,1.2504064,55296,0.027636718,-0.0020062234,187.12
0.5850216150283813,57344,0.0023920943,16.696177,58.95,28,411,134.66199731826782,1.2439523,57344,0.019677734,-0.0012666184,190.01
0.6150278151035309,59392,0.0039589833,18.353937,61.33,29,412,139.63978171348572,1.2335445,59392,0.043847658,-0.0027305689,192.0
0.6043847501277924,61440,0.0039494154,29.639538,64.26,30,410,144.61008214950562,1.2243665,61440,0.040527344,-0.00464223,194.36
0.6248591244220734,63488,0.004731892,13.404482,64.18,31,411,149.59852504730225,1.2173634,63488,0.05205078,-0.004192099,195.2
0.6618125438690186,65536,0.0028823975,11.797674,63.39,32,409,154.57756161689758,1.208571,65536,0.026367188,-0.0013098224,194.48
0.6414523422718048,67584,0.0028584173,21.364769,63.75,33,410,159.58040738105774,1.2108847,67584,0.026660156,-0.0026041672,195.36
0.6417721807956696,69632,0.0037025432,20.496777,63.15,34,412,164.5679121017456,1.2185923,69632,0.036572266,-0.0011046191,195.09
0.6703999638557434,71680,0.003064699,15.942578,58.6,35,390,169.53410601615906,1.2278022,71680,0.034521483,-0.0011425989,191.6
0.6486639082431793,73728,0.002781835,19.99041,60.57,36,404,174.78361201286316,1.2313482,73728,0.022265624,-0.0014230262,195.5
0.6483636796474457,75776,0.0043998826,18.056051,56.97,37,404,179.84900188446045,1.2291524,75776,0.04736328,-0.0033239003,194.0
0.6750177145004272,77824,0.0034401107,19.48674,59.08,38,408,184.90909266471863,1.2217282,77824,0.03339844,-0.0025414631,196.91
0.6967596411705017,79872,0.0025874777,14.440514,58.17,39,407,189.92386436462402,1.2112904,79872,0.02236328,-0.0013979677,199.43
0.6996675431728363,81920,0.0026507804,17.477444,57.6,40,408,194.95363235473633,1.2085412,81920,0.023242187,-0.0015970366,200.53
0.7085166573524475,83968,0.004354353,16.23157,59.54,41,410,199.9628884792328,1.202947,83968,0.047314454,-0.0035430659,202.84
0.7329082190990448,86016,0.0031963955,14.552953,60.94,42,408,204.95166039466858,1.1795038,86016,0.025732422,-0.0029450082,206.42
0.7442751228809357,88064,0.00330291,13.100082,57.99,43,415,209.96521043777466,1.1659615,88064,0.035986327,-0.0008947312,204.15
0.7309145331382751,90112,0.002743607,11.424289,56.68,44,411,214.89839267730713,1.1733506,90112,0.027783204,-0.0004041139,203.15
0.7804408073425293,92160,0.0034066632,7.3739767,54.62,45,413,219.87811064720154,1.1629395,92160,0.03378906,-0.0017821625,199.95
0.778968408703804,94208,0.004617152,7.640766,52.17,46,395,224.82808780670166,1.1389321,94208,0.053125,-0.0053301565,194.17
0.748588502407074,96256,0.0021270204,17.495335,51.28,47,406,230.00908041000366,1.1343106,96256,0.021582032,-0.0005486995,192.61
0.7864769250154495,98304,0.0036623676,15.55752,52.61,48,409,235.04694819450378,1.1403762,98304,0.038671874,-0.0023015798,193.38
0.7862384617328644,100352,0.0023712358,19.657705,54.81,49,408,240.05286192893982,1.1359099,100352,0.01928711,-0.00040034397,193.64
0.8093132078647614,102400,0.0041301954,15.728902,55.43,50,411,245.07029795646667,1.1357706,102400,0.04560547,-0.0011372966,191.03
0.7943764626979828,104448,0.0023202999,17.707834,55.56,51,409,250.05379796028137,1.1386192,104448,0.01821289,-0.00021371443,188.68
0.7858389019966125,106496,0.0027545854,21.470928,58.38,52,411,255.05216145515442,1.1328857,106496,0.026513672,-0.0020774365,191.18
0.7983474582433701,108544,0.003096576,16.19452,60.18,53,409,260.03179144859314,1.1275451,108544,0.030615235,-0.0011721998,192.07
0.8223652094602585,110592,0.0038024187,12.503593,63.97,54,408,265.03947830200195,1.1262888,110592,0.04067383,-0.0027739839,194.68
0.8507003337144852,112640,0.0041727293,6.100669,63.0,55,404,270.059583902359,1.1316291,112640,0.048828125,-0.0014178136,193.17
0.8350560665130615,114688,0.0031744086,12.18651,64.61,56,367,275.12058782577515,1.1361912,114688,0.025683593,-0.0017747466,194.52
0.8578169643878937,116736,0.0035806838,5.4639254,60.5,57,387,280.698956489563,1.1252594,116736,0.035302736,-0.0017695986,189.6
0.8426912277936935,118784,0.0054458035,7.36605,56.81,58,402,285.98036432266235,1.117789,118784,0.06728516,-0.0015425367,186.54
0.8539287596940994,120832,0.003263468,11.9106,54.41,59,397,291.0660524368286,1.1236764,120832,0.029589843,-0.0017538847,183.88
0.8845986053347588,122880,0.004196434,5.1431804,51.66,60,405,296.21502208709717,1.1031967,122880,0.037890624,-0.00087766873,178.48
0.8115568161010742,124928,0.0021315147,12.947786,46.44,61,408,301.27003598213196,1.083039,124928,0.013183594,-0.00042099963,173.3
0.8600169271230698,126976,0.0023463287,12.05166,45.79,62,404,306.29136061668396,1.084099,126976,0.022509765,-7.1964576e-05,171.86
0.8818641975522041,129024,0.0022852411,10.506298,48.2,63,409,311.35930728912354,1.089443,129024,0.019726563,-0.0009854309,170.95
0.8710702955722809,131072,0.0025938647,10.9001465,48.96,64,411,316.3678545951843,1.0925572,131072,0.027441407,-0.0021595159,168.02
0.8743025958538055,133120,0.00327729,10.274288,49.53,65,411,321.34455966949463,1.0966135,133120,0.034423828,-0.0015583036,167.36
0.8599964827299118,135168,0.001404417,8.329771,50.52,66,407,326.3178412914276,1.0976468,135168,0.0072265626,4.0625477e-05,166.11
0.8765937983989716,137216,0.0033013313,12.957356,52.09,67,411,331.3459241390228,1.0841162,137216,0.030712891,-0.0012181342,166.38
0.8803217560052872,139264,0.0035201584,15.26475,56.02,68,405,336.32483410835266,1.0812718,139264,0.037841797,-0.0012435644,169.62
0.878535769879818,141312,0.003172256,12.755037,59.97,69,410,341.3777985572815,1.0818068,141312,0.028710937,-0.0016062887,171.14
0.8983494490385056,143360,0.001953654,8.150396,57.61,70,413,346.3741683959961,1.074301,143360,0.0145019535,0.00021333,166.62
