time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean,policy_loss,value_loss,clipfrac,n_updates,fps,policy_entropy,approxkl,explained_variance,total_timesteps
3.337860107421875e-06,2048,63.5,13.15625,-0.0029399344,6.544197,0.052441407,1,451,1.4243165,0.0043174373,0.01232212781906128,2048
4.540962219238281,4096,66.73770491803279,14.147540983606557,-0.0038296997,8.855173,0.048583984,2,438,1.4227614,0.004040064,-0.002966165542602539,4096
9.21122932434082,6144,71.38372093023256,15.476744186046512,-0.0031456444,12.633687,0.038867187,3,433,1.4144801,0.0037635905,0.018983006477355957,6144
13.941642761230469,8192,76.78,15.41,-0.0028723718,6.5169334,0.04814453,4,418,1.419567,0.004363495,0.038824260234832764,8192
18.83315896987915,10240,85.25,16.63,-0.003622332,6.2087398,0.029736329,5,421,1.4308813,0.0030330804,0.057358741760253906,10240
23.694556713104248,12288,94.9,19.33,-0.0031091918,13.751523,0.028564453,6,395,1.4191506,0.0031737885,0.08055049180984497,12288
28.875632762908936,14336,102.45,22.17,-0.0020344085,19.603754,0.022070313,7,418,1.4064248,0.0025503074,0.11456578969955444,14336
33.77230954170227,16384,113.42,26.76,-0.0038808961,22.806984,0.030029297,8,413,1.3925505,0.0034721158,0.13360601663589478,16384
38.72307062149048,18432,121.35,28.4,-0.0011544643,11.733846,0.017822266,9,398,1.3817242,0.0021569594,0.202631413936615,18432
43.86151385307312,20480,128.3,31.83,-0.0023256554,22.452623,0.025634766,10,401,1.3761773,0.0030407626,0.20744061470031738,20480
48.963812589645386,22528,137.55,36.46,-0.00093148445,22.754602,0.017822266,11,397,1.3671464,0.0025481272,0.2490297555923462,22528
54.124669313430786,24576,144.48,39.64,-0.0024686833,19.741714,0.028076172,12,390,1.3559926,0.0033093845,0.28168439865112305,24576
59.37658667564392,26624,147.9,40.34,-0.002496468,13.447209,0.017480468,13,414,1.3406782,0.0023938767,0.33308666944503784,26624
64.31619548797607,28672,153.62,41.67,-0.0015131294,16.301826,0.022314453,14,410,1.327053,0.0023825325,0.36102455854415894,28672
69.30774450302124,30720,154.41,41.34,-0.0009285776,17.366135,0.017626952,15,397,1.3175379,0.00213243,0.41061240434646606,30720
74.46348261833191,32768,157.51,42.67,-0.0012973698,18.702316,0.019726563,16,412,1.3142208,0.0021360372,0.40651488304138184,32768
79.42900896072388,34816,160.28,43.51,-0.0023501045,13.225817,0.027685547,17,381,1.3049905,0.0033853617,0.41726285219192505,34816
84.79253625869751,36864,160.01,42.09,-0.00029635237,14.813185,0.01821289,18,407,1.2985917,0.0017379157,0.43572646379470825,36864
89.81595396995544,38912,162.84,41.03,-0.0032132182,15.366919,0.059375,19,401,1.2944663,0.0049924804,0.4546264410018921,38912
94.91946792602539,40960,165.76,40.72,-0.0017215477,13.280844,0.03378906,20,404,1.2855958,0.003270768,0.49095404148101807,40960
99.98454260826111,43008,172.29,41.23,-0.00011291458,12.904112,0.011865234,21,410,1.2838373,0.0017544248,0.49364227056503296,43008
104.97176313400269,45056,175.17,43.11,-0.0037702445,14.938089,0.03354492,22,408,1.2669462,0.0038558268,0.5143998265266418,45056
109.98454785346985,47104,182.77,46.72,-0.0034790237,27.538315,0.032470703,23,406,1.2353876,0.0033410515,0.5113178193569183,47104
115.02308201789856,49152,188.59,48.11,-0.001590788,17.429691,0.024560547,24,410,1.2131873,0.0028338563,0.5464184880256653,49152
120.01942038536072,51200,193.15,49.47,-0.0005398093,17.834185,0.010009766,25,408,1.2037001,0.0015122086,0.5609902143478394,51200
125.03997349739075,53248,198.12,50.85,-0.0012330877,17.731936,0.025830079,26,413,1.1948807,0.0031781122,0.5682922601699829,53248
129.99762892723083,55296,200.35,52.1,-0.0011971878,16.942753,0.025488282,27,410,1.1818577,0.0030008515,0.5673815608024597,55296
134.98392963409424,57344,202.67,54.79,-0.0010206945,23.676083,0.0362793,28,408,1.1744459,0.0037914403,0.6029926538467407,57344
140.00253224372864,59392,208.27,55.15,-0.0009310186,12.5141,0.021972656,29,405,1.1725028,0.0026030347,0.5798174440860748,59392
