fps,explained_variance,policy_loss,n_updates,ep_reward_mean,serial_timesteps,value_loss,policy_entropy,approxkl,total_timesteps,time_elapsed,clipfrac,ep_len_mean
459,0.0005199313163757324,-0.0017260133,1,11.84375,2048,4.9030957,1.4147877,0.003250024,2048,2.384185791015625e-06,0.03310547,63.75
450,0.002021968364715576,-0.0018002592,2,13.288135593220339,4096,7.1567445,1.4006073,0.0019544312,4096,4.459413528442383,0.01171875,68.13559322033899
430,0.036021888256073,-0.004342769,3,13.88888888888889,6144,7.0122323,1.3843393,0.0041535315,6144,9.010621309280396,0.04711914,67.96666666666667
461,0.0472569465637207,-0.0046463227,4,15.71,8192,10.4707,1.3579028,0.003973953,8192,13.770092248916626,0.036230467,73.67
455,0.06753551959991455,-0.0030934324,5,16.62,10240,8.640695,1.3446944,0.0040088096,10240,18.212011098861694,0.041503906,76.47
396,0.08780306577682495,-0.0049833846,6,18.18,12288,14.319506,1.3391473,0.004559016,12288,22.710906982421875,0.04790039,80.54
381,0.10813730955123901,-0.005792681,7,21.72,14336,21.544334,1.3181026,0.004193449,14336,27.883359909057617,0.04868164,89.42
355,0.1191638708114624,-0.005794781,8,26.58,16384,29.744299,1.2979767,0.004278767,16384,33.249709367752075,0.048779298,99.67
436,0.16578149795532227,3.7126574e-05,9,28.98,18432,21.5571,1.2901436,0.0016312901,18432,39.004981994628906,0.012158203,105.04
440,0.20864766836166382,-0.0034769252,10,33.11,20480,20.480928,1.2888966,0.004454648,20480,43.69408702850342,0.047314454,112.88
432,0.22787725925445557,-0.0012537005,11,37.34,22528,27.300028,1.281588,0.0023176153,22528,48.34736728668213,0.01484375,121.9
360,0.2697911262512207,-0.001692174,12,39.7,24576,22.584848,1.276047,0.0022639013,24576,53.0875940322876,0.022509765,128.4
391,0.29427874088287354,-0.0021257831,13,43.46,26624,21.903362,1.2739961,0.0030938094,26624,58.77536225318909,0.030566406,133.18
414,0.3198168873786926,-0.0036940456,14,43.31,28672,23.50461,1.2687354,0.004388245,28672,64.00706553459167,0.046777345,135.03
