#{"t_start": 1567452941.2614968, "env_id": null}
r,l,t
1145.758078,1516,5.944682
894.701217,1171,9.427249
216.379204,402,11.556082
201.022828,380,12.702375
200.971186,388,13.952157
93.442959,197,15.948271
1055.687982,1336,19.791619
208.169352,381,22.064292
199.791983,363,24.675722
270.445563,459,28.054112
122.390485,267,30.54453
112.093568,217,33.668968
1724.104331,2049,41.599796
710.76959,959,44.161375
217.972978,413,45.945741
97.961983,215,48.907145
87.374139,181,49.478216
113.934298,231,50.908196
104.794522,224,53.084235
286.739085,480,57.054726
98.697292,195,60.45066
94.919586,214,63.243447
95.816922,213,67.084037
209.09194,409,69.495549
790.685507,1089,73.474917
205.533708,377,74.626757
118.764436,233,76.408471
115.617728,237,78.761703
109.523008,214,80.738507
371.533356,574,82.867572
466.214719,691,84.601645
206.920963,366,87.97574
94.684692,200,90.027669
90.170648,185,92.642905
1731.456143,2049,100.193662
1735.377134,2049,108.642993
1780.317966,2049,114.88873
399.738548,626,116.485057
206.348428,354,117.66019
398.952963,604,120.206397
1053.231832,1349,124.987445
789.414908,1077,128.093202
1575.606794,1917,133.522123
873.300839,1124,138.923625
632.930986,873,141.8468
111.94195,222,143.955472
305.202463,498,145.792963
208.475195,375,148.441634
212.120525,362,150.772614
320.577633,567,154.874254
123.513298,247,158.506284
95.762992,195,161.232811
98.772597,187,162.855134
93.285304,194,165.984503
107.712965,223,168.022243
100.73814,204,169.89045
283.846422,463,172.254275
90.012822,179,174.566038
104.469153,214,177.792447
96.611274,194,180.825758
102.95822,200,181.806149
119.36838,237,185.089414
91.964378,191,188.197551
101.326713,197,191.202127
82.00549,172,192.506109
104.95903,216,193.913563
99.414243,194,194.46241
85.837259,175,195.700258
88.232261,180,197.275372
82.607664,177,198.646414
102.763095,201,200.112997
87.824675,185,200.939398
90.839065,185,203.652828
81.102223,178,206.252106
98.961266,212,208.688844
72.677061,157,211.043302
79.05041,188,211.85886
88.238437,188,214.520105
96.081629,196,216.415077
100.852446,206,217.173534
350.4418,545,218.631687
77.464612,173,219.656738
87.938249,177,221.098103
87.791319,204,223.483994
94.807628,192,224.473932
88.045521,176,227.213527
81.918032,176,229.210728
84.110302,177,232.076358
88.737413,180,233.157632
77.649191,186,235.262959
91.932631,182,238.361592
91.95885,180,239.257865
90.986416,195,240.145216
86.567616,186,242.38886
