policy_entropy,explained_variance,ep_reward_mean,clipfrac,fps,ep_len_mean,time_elapsed,approxkl,n_updates,serial_timesteps,policy_loss,value_loss,total_timesteps
1.4313624,0.001745462417602539,1145.758078,0.04501953,375,1516.0,1.049041748046875e-05,0.003999359,1,2048,-0.003434426,75.0646,2048
1.438677,0.000592648983001709,458.71257866666673,0.028564453,232,675.6666666666666,5.4487645626068115,0.002757771,2,4096,-0.0029067919,57.650146,4096
1.4212477,-0.037883758544921875,468.43608766666665,0.027929688,200,681.5555555555555,14.248900890350342,0.0030094618,3,6144,-0.0030047065,72.53832,6144
1.4067084,-0.09423995018005371,393.40453375,0.031542968,165,589.75,24.45571517944336,0.00301827,4,8192,-0.0019342859,62.469597,8192
1.3973047,-0.048096299171447754,511.12345185714287,0.022509765,349,720.3571428571429,36.86705827713013,0.0028778003,5,10240,-0.002534389,89.47896,10240
1.3859044,-0.15153157711029053,375.3691913181819,0.026806641,95,556.2727272727273,42.723280906677246,0.002773527,6,12288,-0.002300314,35.004177,12288
1.382991,-0.05958521366119385,367.6634725384616,0.006884766,222,551.0,64.11206388473511,0.0010122528,7,14336,-0.0012620519,54.143227,14336
1.3890674,-0.09649443626403809,346.4807591290322,0.046191406,179,525.0,73.32953310012817,0.0039327494,8,16384,-0.0025931592,47.572514,16384
1.3954471,-0.0020096302032470703,327.43175988235294,0.044677734,180,500.7647058823529,84.76150965690613,0.003935463,9,18432,-0.005708987,68.37489,18432
1.414263,-0.000973820686340332,367.5467422571428,0.018896485,242,545.0,96.1040244102478,0.0017933762,10,20480,-0.002222608,91.59317,20480
1.427779,-0.006467103958129883,405.54203091666665,0.031054687,324,586.7777777777778,104.53940749168396,0.002940356,11,22528,-0.0024429082,91.18883,22528
1.4240698,0.024129927158355713,435.5363603846154,0.015673827,324,619.3076923076923,110.85289812088013,0.0019492833,12,24576,-0.0013309487,64.65181,24576
1.4156941,-0.031511783599853516,449.7098256097561,0.021923829,292,636.7317073170732,117.16298031806946,0.0027147748,13,26624,-0.0028042977,65.4718,26624
1.4193642,0.012438952922821045,457.79804185714283,0.012304688,352,647.2142857142857,124.17681407928467,0.001574097,14,28672,-0.00273799,77.506744,28672
1.4198163,0.004855096340179443,492.6460316136363,0.020410156,249,686.9090909090909,129.98184084892273,0.0024908227,15,30720,-0.002494109,68.00237,30720
1.4193718,-0.08437597751617432,472.38972469387744,0.02216797,154,664.3673469387755,138.1974172592163,0.002744465,16,32768,-0.0023583272,40.576504,32768
1.4215338,-0.14033985137939453,430.13320426785714,0.009667968,112,613.7678571428571,151.42603158950806,0.0013756361,17,34816,-0.0006433512,30.409565,34816
1.4192083,-0.1614001989364624,378.573068119403,0.016601562,88,549.6716417910447,169.58364605903625,0.0025929553,18,36864,-0.002117802,21.677088,36864
1.4054397,-0.17540383338928223,337.46832025641027,0.032177735,98,498.12820512820514,192.8122684955597,0.0029530276,19,38912,-0.0038380574,19.04414,38912
1.3925853,0.054653823375701904,314.80310593103445,0.020263672,130,470.1034482758621,213.50866532325745,0.002646799,20,40960,-0.0017923685,23.851427,40960
1.3921497,0.008084654808044434,289.42729628571425,0.02446289,108,438.51020408163265,229.2255403995514,0.002711864,21,43008,-0.0033323872,17.071217,43008
1.3870785,0.052950263023376465,265.72961547,0.0044433596,108,408.4,248.1666452884674,0.0011297523,22,45056,-5.274507e-05,19.877048,45056
1.3800528,0.2184932827949524,240.7093509,0.017138671,136,377.8,267.0904152393341,0.0021913475,23,47104,-0.0018221637,31.554266,47104
1.3632605,0.3119298219680786,230.64102469999997,0.02709961,93,363.65,282.0635361671448,0.0027288583,24,49152,-0.001318635,16.25102,49152
1.3460467,0.22475862503051758,228.01869635,0.015136719,134,359.06,304.03349137306213,0.0020601677,25,51200,-0.000553892,35.638023,51200
1.3510909,0.14087218046188354,233.58989635,0.021826172,186,365.12,319.2787003517151,0.002486797,26,53248,-0.0022225734,42.361946,53248
1.3573049,0.5023767948150635,161.44099444,0.024316406,102,281.12,330.25208854675293,0.002591794,27,55296,-0.0017255818,14.91902,55296
1.3596464,0.4077816605567932,128.37598182,0.010058594,126,239.33,350.2767188549042,0.0015675074,28,57344,-0.0015217557,17.217234,57344
1.3693696,0.08683276176452637,137.08855605,0.023095703,194,250.36,366.452023267746,0.0024173572,29,59392,-0.0018874637,35.81008,59392
1.3739026,0.5592201352119446,135.80085902,0.012158203,107,248.62,376.96085357666016,0.0015396199,30,61440,-0.0018673638,13.559262,61440
1.370048,0.3647129535675049,141.0761948,0.0064453124,145,255.52,396.0247452259064,0.0011645572,31,63488,-0.0008059636,23.999538,63488
1.3640786,0.59793820977211,140.52283287999998,0.008886719,112,254.84,410.1031105518341,0.0019197806,32,65536,-0.0013071542,12.235153,65536
1.3608301,0.7072345912456512,141.21100697999998,0.017871093,98,255.09,428.2316999435425,0.0022749756,33,67584,-0.0012667318,10.380774,67584
1.3557417,0.5878227949142456,144.85911118999996,0.026513672,107,259.14,449.11505651474,0.0028590865,34,69632,-0.0026206863,18.846596,69632
1.3527606,0.6662785410881042,145.15237023999995,0.05961914,107,258.65,468.2400152683258,0.004701739,35,71680,-0.0027331428,12.9322,71680
1.3574334,0.669546902179718,141.7923486,0.0013671875,98,254.22,487.37415075302124,0.00068434654,36,73728,-0.0006544067,12.174526,73728
1.3567655,0.6323589980602264,138.44577214,0.04082031,121,250.26,508.18088841438293,0.003668724,37,75776,-0.0012449353,14.578985,75776
1.3504691,0.5123617947101593,132.57345063,0.03388672,157,243.84,525.0490703582764,0.0031452898,38,77824,-0.0020768675,22.914698,77824
1.3411748,0.41812294721603394,139.70379232999997,0.026220703,239,253.93,538.0693504810333,0.0027772319,39,79872,-0.0018345695,24.817415,79872
1.3447193,0.44614601135253906,145.37443062999998,0.019580077,136,260.45,546.6052396297455,0.0022716033,40,81920,-0.0007218431,24.932032,81920
1.3514694,0.33822405338287354,154.14506208999998,0.02626953,219,271.46,561.5779752731323,0.002656749,41,83968,-0.0030096106,36.290764,83968
1.3544697,0.2504786252975464,167.97766756999997,0.04057617,170,287.81,570.9004898071289,0.003643186,42,86016,-0.0010583488,45.447304,86016
1.3441203,0.16016370058059692,177.49304701999998,0.062597655,330,298.67,582.8954453468323,0.005251945,43,88064,-0.002094768,58.950752,88064
1.3251503,0.3924863338470459,194.24574014,0.06538086,418,317.17,589.0950679779053,0.0054461504,44,90112,-0.0029089681,58.294502,90112
1.3198639,0.1845024824142456,202.34405358000004,0.009179687,170,324.27,593.9913818836212,0.0014100898,45,92160,-0.0014040383,42.592854,92160
1.3207673,0.2011789083480835,219.19912273000003,0.031396486,194,342.62,606.0090763568878,0.0033453691,46,94208,-0.003616017,51.896503,94208
1.3221602,0.44066792726516724,218.35557794,0.01015625,188,341.08,616.5235707759857,0.0013798705,47,96256,-0.0007379898,35.262688,96256
1.335094,0.009382903575897217,235.30541134000003,0.04916992,268,359.61,627.408251285553,0.0040374296,48,98304,-0.005691996,56.82423,98304
1.3475215,0.40043818950653076,247.00662122000003,0.011669922,156,370.94,635.0398669242859,0.0014404373,49,100352,-0.00043817246,30.10314,100352
1.3394417,0.7028203010559082,245.26589411999998,0.031445313,76,367.6,648.0902247428894,0.0030683975,50,102400,-0.0034276913,8.154476,102400
1.3335001,0.7206379771232605,245.33522854999998,0.031542968,97,368.09,674.8431289196014,0.0033252984,51,104448,-0.0018321129,7.739422,104448
1.3349355,0.8180340975522995,240.48200074999997,0.039404295,98,360.76,695.778167963028,0.0034393142,52,106496,-0.0020369664,6.509079,106496
1.3297802,0.8254823535680771,238.64957316999997,0.029003907,85,358.28,716.4667201042175,0.0028383292,53,108544,-0.0024036407,6.09157,108544
1.3231667,0.5238271057605743,236.81979725999997,0.020703126,190,355.44,740.5200006961823,0.002094753,54,110592,-0.0018615728,38.57823,110592
1.3289384,0.575406551361084,251.48930857,0.02602539,153,369.86,751.2722771167755,0.0026368753,55,112640,-0.0025742408,34.555965,112640
1.3430241,0.44532346725463867,265.00050225,0.05356445,204,383.51,764.6041979789734,0.0045374753,56,114688,-0.003092945,43.33545,114688
1.3495629,0.8977819383144379,245.61925597,0.020166015,86,356.2,774.6314513683319,0.0022932808,57,116736,-0.0019008402,5.0914693,116736
1.3443731,0.9077625945210457,175.07079575,0.044921875,104,274.1,798.3359262943268,0.0038373997,58,118784,-0.0026490656,4.698087,118784
1.3479763,0.9215409085154533,122.41676405,0.021435548,83,215.79,817.9240996837616,0.0024124836,59,120832,-0.00160155,4.213508,120832
1.3529887,0.9247538074851036,122.08169586999999,0.046533205,81,215.05,842.5919990539551,0.003966629,60,122880,-0.0031889498,3.9699683,122880
1.3489876,0.6242604851722717,121.88498243999999,0.025878906,214,214.89,867.6673662662506,0.0029370505,61,124928,-0.0011817918,41.357986,124928
1.3437954,0.7800944149494171,137.93750961,0.030712891,96,231.42,877.2115943431854,0.0030160504,62,126976,-0.0008237845,15.551046,126976
1.3400564,0.9426770135760307,137.0971491,0.022753906,96,229.83,898.391350030899,0.0024037673,63,129024,-0.0006714385,3.228531,129024
1.3476369,0.6065186262130737,137.02561407000002,0.06064453,212,229.77,919.5669407844543,0.0050251614,64,131072,-0.0027074849,46.16083,131072
1.3579895,0.19626498222351074,154.0714518,0.04350586,265,248.5,929.2220385074615,0.003991458,65,133120,-0.0023304648,51.521812,133120
1.3639739,0.06482768058776855,171.22554319000002,0.06279297,263,267.16,936.9359965324402,0.0049731573,66,135168,-0.004826569,50.04568,135168
1.3737638,0.5129202306270599,188.58514436,0.04638672,196,285.68,944.7139811515808,0.004208456,67,137216,-0.0014903676,35.970776,137216
1.3814697,0.7082221806049347,205.37076719,0.043701172,119,303.49,955.1381244659424,0.0038151764,68,139264,-0.0027394888,22.945427,139264
1.3915164,0.6575535535812378,205.26746738000003,0.030810546,218,303.31,972.2897436618805,0.0032578441,69,141312,-0.004376782,42.252537,141312
1.3976014,0.17944389581680298,205.36566738,0.034423828,258,303.31,981.6627900600433,0.0034586838,70,143360,-0.0022318203,47.92562,143360
1.3926178,0.7521191388368607,205.53103872,0.02084961,92,302.88,989.598236322403,0.0022531648,71,145408,-0.0010300014,14.647624,145408
1.4056635,0.5089991390705109,223.10704540000003,0.03046875,215,321.9,1011.6559345722198,0.0027595186,72,147456,-0.0014266087,43.39556,147456
1.4165041,0.9436248317360878,223.0702008,0.02578125,127,321.87,1021.1804444789886,0.0028479085,73,149504,-0.0021383192,2.7730129,149504
1.4399574,0.4916307330131531,223.1221349,0.06796875,262,321.95,1037.280793428421,0.0055157295,74,151552,-0.0068156137,46.61215,151552
1.4701602,0.9348081201314926,240.07964667,0.0640625,84,340.37,1045.0849101543427,0.005117279,75,153600,-0.005164195,3.702952,153600
1.4752591,0.9549191109836102,239.85800715999997,0.06801758,74,340.26,1069.3318529129028,0.0052509503,76,155648,-0.0070915446,2.5082335,155648
1.4727218,0.8552286028862,238.94967758,0.01640625,114,339.11,1096.7619745731354,0.0022961458,77,157696,-0.0027063196,12.306964,157696
1.4734365,0.3507152795791626,238.836477,0.023486327,230,339.31,1114.5838871002197,0.0024104998,78,159744,-0.0013082104,40.336197,159744
1.4802803,0.46645814180374146,255.88894896999997,0.06137695,374,358.28,1123.4736437797546,0.0050629736,79,161792,-0.0032192678,43.055542,161792
1.4738432,0.2595987319946289,273.0168563,0.055517577,276,377.12,1128.9514005184174,0.004686919,80,163840,-0.0034235946,43.93946,163840
1.4680325,0.744190901517868,273.10358226000005,0.020263672,193,377.29,1136.3716351985931,0.002306208,81,165888,-0.0023135887,28.314917,165888
1.475263,0.5496620237827301,290.22114142,0.031982422,219,396.19,1146.9540283679962,0.00306615,82,167936,-0.0017444951,38.27831,167936
1.5045329,-0.10858154296875,307.26063184,0.057275392,278,414.94,1156.3026123046875,0.0048397332,83,169984,-0.004428049,40.715622,169984
1.5224237,0.5334047675132751,324.50263871,0.02602539,387,433.65,1163.6690938472748,0.0026345602,84,172032,-0.0010547121,37.477913,172032
1.5240192,0.585958868265152,341.61656410999996,0.0362793,305,452.46,1168.9603922367096,0.0035827875,85,174080,-0.0023756945,36.294308,174080
1.5187066,0.4827011227607727,358.90932283,0.03046875,218,471.33,1175.656234741211,0.0028984942,86,176128,0.00026439808,36.860268,176128
1.5216683,0.10311448574066162,376.10126831,0.04018555,328,490.08,1185.0371618270874,0.0037569713,87,178176,-0.0013884275,39.947655,178176
1.5283803,0.49474453926086426,393.41539858000004,0.012744141,171,508.96,1191.2738373279572,0.0015456461,88,180224,-0.0015473773,31.284191,180224
1.5250086,0.02899545431137085,410.4965042400001,0.05756836,335,527.55,1203.2315230369568,0.004731965,89,182272,-0.0023552338,38.47062,182272
1.5298432,0.050491392612457275,410.84061322,0.048291016,262,527.55,1209.344656944275,0.004401318,90,184320,-0.003910979,39.05987,184320
1.5431969,-0.008296847343444824,410.82487198,0.03310547,407,527.55,1217.1420848369598,0.0031405608,91,186368,-0.0025908311,37.496887,186368
1.5503986,0.42161834239959717,410.07434716000006,0.024169922,269,527.1,1222.1659853458405,0.0026132832,92,188416,-0.0016232304,36.974865,188416
1.5520995,0.5467252135276794,409.63643627000005,0.029736329,225,526.73,1229.7791380882263,0.0027104667,93,190464,-0.0011020511,31.486431,190464
