serial_timesteps,ep_reward_mean,fps,value_loss,time_elapsed,n_updates,policy_loss,clipfrac,policy_entropy,ep_len_mean,total_timesteps,explained_variance,approxkl
2048,325.565288,345,74.14226,1.0013580322265625e-05,1,-0.0023163983,0.023339843,1.4206702,539.0,2048,-0.02299320697784424,0.0024225153
4096,399.07414966666664,185,49.6123,5.921968221664429,2,-0.00226556,0.020898437,1.4262769,600.0,4096,0.0013405680656433105,0.002704158
6144,222.1828851875,103,31.142252,16.992701292037964,3,-0.0017898895,0.024414062,1.4313648,367.9375,6144,-0.09709811210632324,0.0025856711
8192,271.1615404736842,271,73.78081,36.861315965652466,4,-0.0029844253,0.02421875,1.4524467,430.42105263157896,8192,-0.029730558395385742,0.0024069515
10240,217.80080035714286,143,31.10884,44.39456009864807,5,-0.00087248615,0.009326172,1.47312,361.07142857142856,10240,-0.1566150188446045,0.0014799776
12288,201.9357819722222,118,40.576275,58.65693020820618,6,-0.0032267836,0.016552735,1.4846429,339.94444444444446,12288,0.0008035898208618164,0.001771816
14336,178.66009786956522,104,28.206772,75.8818929195404,7,-0.0027309067,0.021484375,1.4740491,309.30434782608694,14336,-0.13590168952941895,0.002801347
16384,159.67586298245615,76,23.761532,95.48167443275452,8,-0.0031072644,0.023046875,1.4502761,284.2631578947368,16384,-0.18008387088775635,0.0024594646
18432,146.68384379710142,87,24.140799,122.22370052337646,9,0.00013050223,0.007080078,1.4456526,266.94202898550725,18432,-0.27626073360443115,0.0011625281
20480,137.31438975,78,23.120842,145.6542685031891,10,-0.0033871003,0.03793945,1.4524889,254.5875,20480,-0.3107677698135376,0.0032533682
22528,130.00915848913044,83,22.312372,171.822585105896,11,-0.0008467926,0.009326172,1.4587096,244.20652173913044,22528,-0.09815335273742676,0.0016534379
24576,112.87463638999999,82,21.464771,196.24411821365356,12,-6.4991254e-05,0.011621093,1.4533451,221.91,24576,-0.25812089443206787,0.0017079215
26624,105.06418136000002,97,21.765596,220.99626922607422,13,-0.002419528,0.020947266,1.4389536,211.62,26624,-0.21244525909423828,0.0027562762
28672,92.25316552000002,82,24.368864,242.09923553466797,14,-0.002133482,0.014892578,1.4318774,195.23,28672,-0.13841402530670166,0.0023618876
30720,95.82556593000001,158,28.406668,266.95932841300964,15,-0.00044281821,0.012158203,1.4291574,200.69,30720,-0.1703934669494629,0.0016505001
32768,90.91072752000002,89,20.11401,279.8591163158417,16,-0.0019864792,0.015332031,1.4155757,193.92,32768,0.05037814378738403,0.0019469578
34816,91.67189629999999,136,19.13798,302.79466915130615,17,-0.0027660462,0.033691406,1.4007413,195.32,34816,0.011771082878112793,0.0036692321
36864,98.24623915000001,111,36.737507,317.74642634391785,18,-0.0027495702,0.019970704,1.3954642,203.61,36864,-0.09771263599395752,0.0024758908
38912,103.17555162000001,117,34.376114,336.1526322364807,19,-0.0013384757,0.0064941407,1.39289,209.66,38912,-0.06217384338378906,0.0011033878
40960,110.26735615,117,32.855186,353.6428666114807,20,-0.0043753083,0.025634766,1.38614,218.99,40960,0.06094861030578613,0.0028461122
43008,111.13019951999999,108,14.9961195,371.0217409133911,21,-0.0017326435,0.017285157,1.3793874,220.18,43008,0.3219339847564697,0.002053827
45056,111.74924115,115,15.055832,389.8681712150574,22,-0.003970185,0.029589843,1.3771713,221.12,45056,0.3231639862060547,0.0032349168
47104,112.53213086,102,13.567454,407.6708915233612,23,-0.0012077226,0.009667968,1.3676941,222.14,47104,0.38057905435562134,0.0015380734
49152,112.06989296,105,13.548309,427.63263392448425,24,-0.0005643383,0.005029297,1.3689201,220.92,49152,0.41694486141204834,0.0009600237
51200,109.52163934999999,89,13.148315,446.98932361602783,25,-0.00085559336,0.004003906,1.3717586,216.66,51200,0.46592098474502563,0.0008600276
53248,105.41967865000001,93,12.1105995,469.8056004047394,26,-0.0034105894,0.017285157,1.3556786,211.05,53248,0.5384827554225922,0.0023172463
55296,104.4739522,82,12.159937,491.7910737991333,27,-0.0019536268,0.028955078,1.3354168,208.67,55296,0.575115978717804,0.00310876
57344,97.91407921000001,99,11.454506,516.6050429344177,28,-0.00315363,0.039697267,1.320449,199.56,57344,0.6142351627349854,0.00390868
59392,86.92219466000002,121,11.611921,537.1591212749481,29,-0.004456594,0.03745117,1.3041117,184.85,59392,0.6118738651275635,0.0036190734
61440,93.53733015,129,32.36247,554.0703263282776,30,-0.0020271908,0.027246093,1.2978169,192.03,61440,0.2630457878112793,0.0027769767
63488,100.09265289000002,107,28.464962,569.9084403514862,31,-0.0014432438,0.012304688,1.2943435,200.61,63488,0.22042608261108398,0.0017023094
65536,114.64410809000003,242,58.9896,588.9078099727631,32,-0.004008008,0.042138673,1.3001451,217.03,65536,0.19521212577819824,0.003799925
67584,117.38886807,90,16.283976,597.3690090179443,33,-0.002529414,0.017041016,1.306528,220.19,67584,0.49111104011535645,0.0020306974
69632,117.36819890000001,91,9.858161,619.9922783374786,34,-0.0018820844,0.0125488285,1.2905985,219.23,69632,0.6596996486186981,0.0017084025
71680,123.78586156000001,147,29.18449,642.4007017612457,35,-0.0017940213,0.016259765,1.27687,226.07,71680,0.39549922943115234,0.001957883
73728,124.40227659000001,108,9.139688,656.3290071487427,36,-0.003236189,0.028710937,1.2703199,226.76,73728,0.713776558637619,0.0028623114
75776,127.97882828,85,19.824923,675.284063577652,37,-0.0029240362,0.023095703,1.2640408,230.11,75776,0.5042814016342163,0.0026979975
77824,128.4825748,108,8.933031,699.180787563324,38,-0.0017701279,0.012402344,1.2600782,230.69,77824,0.7483548223972321,0.0017256312
79872,136.28923439,126,28.666187,718.101646900177,39,-0.005427218,0.055664062,1.257129,240.48,79872,0.42423486709594727,0.004661589
81920,136.19237002000003,76,7.942425,734.3533935546875,40,-0.0027393298,0.01953125,1.2479603,240.23,81920,0.7726989537477493,0.0023541867
83968,135.48740349,101,7.9981813,760.9636752605438,41,-0.0029465007,0.035009764,1.2334427,239.28,83968,0.7837839275598526,0.0032148499
86016,107.07276223000001,101,7.1392717,781.2062833309174,42,-0.0003355904,0.009033203,1.2321732,205.55,86016,0.8207532316446304,0.0015440013
88064,104.42257685999999,84,7.827643,801.3980822563171,43,-0.0012450829,0.02626953,1.2198124,202.25,88064,0.7892847955226898,0.002925888
90112,97.28715448999998,80,6.808351,825.5142600536346,44,-0.004363087,0.026855469,1.2011172,193.64,90112,0.8335534036159515,0.0026618096
92160,97.39431949999998,88,6.8002815,850.8453662395477,45,-0.0022907946,0.031445313,1.1902721,193.49,92160,0.8360836952924728,0.0033111281
94208,92.8410497,83,6.464164,873.9464950561523,46,-0.0024245025,0.019824218,1.1929318,187.82,94208,0.844833716750145,0.0023333884
96256,92.46242586999999,92,5.988938,898.5838861465454,47,-0.0022429754,0.019726563,1.1871667,187.43,96256,0.8581777960062027,0.0024948637
98304,84.96873698000002,86,5.982135,920.7496955394745,48,-0.0027919975,0.020751953,1.1720731,178.22,98304,0.857858419418335,0.0023972017
100352,85.42899822000003,102,5.684206,944.3604493141174,49,-0.0028450477,0.034521483,1.1766785,179.52,100352,0.8621414750814438,0.0032340619
102400,85.33890758,104,5.7848787,964.2911098003387,50,-0.0020570108,0.03330078,1.1847808,179.17,102400,0.8726497143507004,0.0031377166
104448,85.26129879999999,92,5.519189,983.9531590938568,51,-0.00029779546,0.020898437,1.1882951,178.99,104448,0.8749223351478577,0.0022050482
106496,85.02571784999998,112,7.903833,1006.1042211055756,52,-0.001999331,0.022460938,1.1906811,178.59,106496,0.8195936381816864,0.0025153875
108544,87.64063251999998,82,7.1706305,1024.3331282138824,53,-0.0030381444,0.024853516,1.1761639,182.17,108544,0.8532527685165405,0.0027447748
110592,87.21663764000003,76,4.5397196,1049.0256097316742,54,-0.0025641848,0.029199218,1.1677263,181.71,110592,0.9060751274228096,0.0028060926
112640,89.58595250999998,103,9.440292,1075.8459417819977,55,-0.0035891782,0.035595704,1.1666591,184.86,112640,0.8190414309501648,0.0032536865
114688,89.63211503999999,96,4.81693,1095.5619428157806,56,-0.00064306555,0.02602539,1.1623386,184.58,114688,0.8992355912923813,0.0028020244
116736,91.84460311,101,10.187317,1116.8350961208344,57,-0.002157667,0.032177735,1.161611,186.78,116736,0.802179291844368,0.0030094003
118784,91.25522726000003,74,4.0643454,1136.9439220428467,58,-0.0036712165,0.058447264,1.1656524,184.92,118784,0.9259040206670761,0.0046854434
120832,91.57784536,81,3.4590745,1164.337590456009,59,-0.0022025218,0.08730469,1.1693323,184.89,120832,0.934843547642231,0.00664863
122880,102.25614537999998,205,32.002697,1189.4738409519196,60,-0.0033760797,0.05649414,1.1717066,198.56,122880,0.2961180806159973,0.004609891
