fps,ep_len_mean,serial_timesteps,policy_loss,clipfrac,policy_entropy,total_timesteps,approxkl,value_loss,time_elapsed,explained_variance,n_updates,ep_reward_mean
237,604.3333333333334,2048,-0.004201716,0.026220703,1.4075227,2048,0.002933678,0.010378341,7.3909759521484375e-06,0.21346604824066162,1,0.0
152,473.75,4096,-0.0036029252,0.026708985,1.3979836,4096,0.0026198744,0.0016065106,8.613253593444824,0.44714146852493286,2,0.0
169,432.0,6144,-0.004011231,0.037109375,1.3961626,6144,0.0036307983,0.00074975245,22.06058168411255,0.4780532121658325,3,0.0
188,437.1111111111111,8192,-0.0018199704,0.0147949215,1.3980175,8192,0.0021094116,0.0003899084,34.147343158721924,0.49206405878067017,4,0.0
140,425.5217391304348,10240,-0.0027002364,0.021533202,1.4047514,10240,0.002513554,0.00022900707,45.00585055351257,0.4788193702697754,5,0.0
137,408.4,12288,-0.001664231,0.017724609,1.4082872,12288,0.002362914,0.00015185731,59.580748081207275,0.31021779775619507,6,0.0
127,394.6111111111111,14336,-0.0043866755,0.03540039,1.4007844,14336,0.0033234623,8.119546e-05,74.49665260314941,0.39487624168395996,7,0.0
128,363.95454545454544,16384,-0.0024693154,0.02216797,1.3982857,16384,0.0027018883,5.6427212e-05,90.54247784614563,0.2868764400482178,8,0.0
103,344.9056603773585,18432,-0.002064927,0.017382812,1.4068124,18432,0.0022756408,3.110014e-05,106.46062636375427,0.39959460496902466,9,0.0
133,342.5593220338983,20480,-0.0018899248,0.013818359,1.4018984,20480,0.0020883612,2.871318e-05,126.27014756202698,0.3242220878601074,10,0.0
115,329.2352941176471,22528,-0.0067362846,0.060791016,1.4074042,22528,0.005155888,1.4072693e-05,141.5917546749115,0.4570155143737793,11,0.0
124,322.60526315789474,24576,-0.0024910553,0.0126953125,1.419835,24576,0.0018595522,2.2208336e-05,159.250173330307,-0.13275408744812012,12,0.0
155,319.7469879518072,26624,-0.0044802977,0.04790039,1.4144614,26624,0.0041475156,1.3510487e-05,175.66736817359924,0.06430673599243164,13,0.0
104,307.9032258064516,28672,-0.00359905,0.043408204,1.4085401,28672,0.0039837793,4.1576063e-06,188.8198618888855,0.06112504005432129,14,0.0
