#{"t_start": 1567474911.5658903, "env_id": null}
r,l,t
0,604,3.962569
0,390,7.741108
0,379,10.664826
0,568,12.127702
0,368,14.44598
0,233,17.915845
0,326,19.554499
0,186,20.680186
0,643,22.988926
0,403,25.293043
0,197,28.604628
0,186,31.28126
0,368,33.978282
0,624,35.941363
0,266,39.241001
0,353,41.267892
0,207,44.616684
0,219,46.776125
0,242,47.832466
0,234,51.259158
0,354,55.10539
0,416,57.193845
0,228,58.292921
0,226,61.51794
0,341,64.764915
0,231,67.604117
0,359,69.569623
0,393,72.380943
0,245,75.105599
0,205,77.008502
0,356,78.763043
0,528,82.587405
0,384,84.485201
0,355,85.69674
0,375,88.574656
0,371,90.831524
0,397,93.420703
0,365,95.939733
0,368,99.61534
0,512,103.226993
0,506,104.974999
0,388,107.469028
0,363,109.844006
0,376,112.105721
0,509,114.471416
0,390,116.799325
0,550,120.903015
0,369,121.91649
0,525,124.148792
0,514,126.732559
0,247,130.100657
0,244,131.263321
0,377,134.342003
0,355,136.967232
0,374,139.142189
0,427,142.829429
0,438,144.863274
0,421,146.769099
0,349,147.810127
0,374,150.310781
0,354,153.290026
0,377,156.349844
0,540,160.090317
0,209,161.240448
0,196,164.25093
0,376,167.65821
0,207,168.798571
0,358,170.552448
0,182,171.808572
0,191,174.542779
0,181,177.812336
0,195,181.006213
0,183,182.25294
0,187,183.850247
0,196,186.312664
0,191,189.60952
0,183,191.720247
0,202,192.932766
0,184,194.670673
0,184,197.872527
0,183,200.471711
0,191,203.530544
0,241,205.70477
0,217,207.891091
0,249,208.944523
0,187,211.896881
0,194,214.097981
0,180,215.837782
0,193,216.698828
0,193,218.15281
0,200,219.498088
0,181,222.265871
0,177,223.920717
0,183,227.116101
0,210,229.209201
0,175,231.550456
0,167,232.565068
0,177,235.536191
0,178,238.727541
0,191,239.862527
0,179,241.903416
0,189,244.859312
0,179,246.006243
0,181,248.217887
0,192,249.901098
0,178,253.243149
0,188,253.763504
0,181,255.166718
0,171,256.831939
0,184,258.249072
0,193,259.527998
0,178,261.752352
0,198,263.646274
0,172,264.630749
0,342,266.962647
0,176,270.170325
0,186,272.396436
0,185,274.977514
0,183,278.312845
0,184,279.343539
0,186,280.458994
0,186,281.605797
0,192,283.582024
0,181,286.916273
0,182,287.502024
0,337,289.188278
0,181,290.267725
0,197,291.307303
0,189,292.216929
0,179,293.442802
0,185,296.243928
0,194,298.77602
0,223,301.295837
0,354,303.112225
0,372,304.766862
0,193,307.365379
0,179,309.96921
0,240,312.976997
0,187,315.178723
0,489,318.854256
0,191,320.352917
0,228,321.812311
0,365,323.51609
0,220,326.044617
0,181,328.630568
0,205,329.295992
0,351,331.539827
0,184,334.990895
0,173,335.521408
0,211,336.771849
0,199,337.504214
0,198,338.807244
0,187,341.973304
0,196,345.024884
0,354,346.290123
0,189,347.645399
0,187,349.501375
0,192,352.868763
0,183,353.914539
0,202,356.9934
0,184,360.354998
0,200,363.369839
0,178,364.912968
0,169,366.79646
0,192,369.374509
0,189,371.144053
0,188,371.965471
0,177,375.778228
0,180,378.123757
0,188,379.524135
0,173,382.353039
0,181,384.851384
0,173,385.413265
0,183,388.674475
0,178,391.008077
0,342,394.64798
0,181,397.51496
0,177,398.823262
0,177,401.865137
0,169,404.059176
0,174,405.860792
0,202,406.918827
0,190,407.501064
0,183,408.419633
0,182,409.980043
0,197,412.259861
0,218,413.356326
0,197,416.212348
0,177,417.806406
0,200,418.293576
0,192,418.896501
0,189,420.735859
0,331,421.896486
0,195,424.268058
0,183,425.274982
0,178,427.123354
0,179,429.048865
0,171,431.759684
0,171,432.987936
0,350,434.349806
0,195,435.065375
0,196,436.455621
0,366,439.572944
0,191,441.460489
0,186,444.159763
0,186,445.273819
0,188,446.403426
0,185,449.293573
0,177,452.872494
0,183,453.577295
0,194,455.683723
0,170,458.16889
0,174,459.812455
0,183,462.792674
0,507,466.415517
0,206,468.78288
0,332,471.03836
0,196,473.12926
0,195,474.041639
0,190,476.515991
0,170,478.980801
0,179,480.348069
0,193,483.678385
0,178,486.461164
0,198,487.776217
0,180,489.864219
0,227,491.774808
0,181,493.137632
0,194,496.656793
0,184,498.165267
0,183,500.281355
0,178,502.3684
0,177,503.425308
0,194,506.362844
0,177,508.212427
0,179,510.430207
0,178,511.102173
0,198,514.540387
0,182,517.559264
0,180,519.125227
0,184,522.357054
0,168,522.91498
0,186,526.093405
0,188,527.361249
0,170,527.829078
0,196,530.912094
0,215,531.489362
0,172,532.057742
0,183,535.112272
0,178,537.897225
0,162,540.329807
0,169,541.169113
0,168,542.646254
0,174,544.855131
0,196,547.40382
0,179,548.745856
0,172,550.162009
0,171,552.348633
0,178,553.658216
0,173,556.617206
0,199,558.577972
0,328,561.307267
0,160,564.273906
0,165,565.589919
0,173,568.709044
0,182,571.944242
0,167,572.454706
0,173,575.508159
0,176,577.759846
