ep_len_mean,n_updates,fps,value_loss,total_timesteps,time_elapsed,policy_entropy,approxkl,explained_variance,ep_reward_mean,serial_timesteps,clipfrac,policy_loss
485.25,1,178,0.006693584,2048,1.0728836059570312e-05,1.4168823,0.002058595,-0.19415783882141113,0.0,2048,0.016748047,-0.0023899658
410.77777777777777,2,179,0.0016921824,4096,11.454375982284546,1.4182949,0.0019462466,-0.36751627922058105,0.0,4096,0.011572266,-0.00059408566
380.875,3,108,0.0005210118,6144,22.853883504867554,1.4204378,0.0026797028,-0.2551755905151367,0.0,6144,0.023242187,-0.0037702334
347.5652173913044,4,119,0.00017521024,8192,41.82139277458191,1.4163918,0.0025240472,-0.32120656967163086,0.0,8192,0.022607422,-0.0032955352
333.1333333333333,5,119,8.9018045e-05,10240,59.015066623687744,1.4126009,0.0030331626,0.027250349521636963,0.0,10240,0.027490234,-0.0027213849
342.62857142857143,6,169,4.568708e-05,12288,76.0896155834198,1.4082904,0.0029574642,0.2095581293106079,0.0,12288,0.025292968,-0.002864241
350.125,7,146,3.2855423e-05,14336,88.20865273475647,1.39621,0.0033736709,0.1455363631248474,0.0,14336,0.035595704,-0.0038745813
358.8222222222222,8,172,2.429052e-05,16384,102.15001106262207,1.4025133,0.002285883,0.34173333644866943,0.0,16384,0.01928711,-0.003455051
366.9591836734694,9,202,1.6462527e-05,18432,114.02178049087524,1.4153498,0.002705271,0.057461678981781006,0.0,18432,0.022900391,-0.0026978538
365.3090909090909,10,126,1.3670344e-05,20480,124.14282417297363,1.4290551,0.0046522585,0.3994506001472473,0.0,20480,0.05805664,-0.00439869
368.11475409836066,11,158,1.0774401e-05,22528,140.3081455230713,1.4412236,0.0040508593,0.4392378330230713,0.0,22528,0.04814453,-0.0036686994
363.5820895522388,12,140,1.4136936e-05,24576,153.21755743026733,1.4510345,0.004598214,0.18898344039916992,0.0,24576,0.05102539,-0.0043059485
341.14102564102564,13,85,4.4546952e-05,26624,167.81672263145447,1.4454119,0.0023636564,0.10291516780853271,0.0,26624,0.020214844,-0.002538598
325.21590909090907,14,92,4.914005e-06,28672,191.896160364151,1.4350951,0.0039234795,0.5487769842147827,0.0,28672,0.040966798,-0.0045317924
309.62626262626264,15,88,7.5858784e-06,30720,213.98376441001892,1.436265,0.0039224387,-0.3439685106277466,0.0,30720,0.04243164,-0.00253581
285.66,16,103,4.6534738e-06,32768,237.15821719169617,1.4446731,0.0019456723,0.19008100032806396,0.0,32768,0.015136719,-0.000993192
276.67,17,97,9.178882e-06,34816,256.8796896934509,1.4499296,0.0023783161,-0.0782623291015625,0.0,34816,0.0171875,-0.0027776367
265.08,18,113,6.443948e-06,36864,277.9378139972687,1.4442312,0.0033072091,-0.7162624597549438,0.0,36864,0.03305664,-0.0036859761
253.07,19,104,5.3983667e-06,38912,295.94530630111694,1.4516047,0.0033231298,-0.7073619365692139,0.0,38912,0.035449218,-0.004139564
241.42,20,152,1.1008089e-05,40960,315.48090076446533,1.4555858,0.0032389187,-0.5657413005828857,0.0,40960,0.03149414,-0.0036679935
224.02,21,114,4.1833546e-06,43008,328.931601524353,1.4490235,0.0031478927,-1.3112807273864746,0.0,43008,0.030859375,-0.0029118294
206.25,22,78,9.200767e-06,45056,346.8470358848572,1.4456286,0.0021482944,-6.287426948547363,0.0,45056,0.015380859,-0.0020868732
205.34,23,88,3.8220032e-06,47104,373.090185880661,1.4420238,0.0021530236,-0.9802893400192261,0.0,47104,0.01669922,-0.002352568
203.88,24,108,3.5414942e-06,49152,396.3559236526489,1.4483562,0.002603265,-2.0235273838043213,0.0,49152,0.02319336,-0.0025582253
205.2,25,128,3.7535337e-06,51200,415.29536509513855,1.4431199,0.0026030396,-0.39385175704956055,0.0,51200,0.020410156,-0.0032022162
209.05,26,108,7.891451e-06,53248,431.19754910469055,1.4449357,0.0035124305,-0.6378260850906372,0.0,53248,0.03413086,-0.0029692887
210.85,27,111,1.009444e-05,55296,450.1145269870758,1.4458444,0.002003039,-1.6245684623718262,0.0,55296,0.016552735,-0.0015990695
211.4,28,93,4.7337135e-06,57344,468.49675607681274,1.4418294,0.0027208107,-0.31788933277130127,0.0,57344,0.025634766,-0.004078902
206.58,29,83,5.300616e-06,59392,490.5095829963684,1.4380563,0.0029770723,-3.4201812744140625,0.0,59392,0.029443359,-0.0016343119
199.08,30,100,1.8924568e-06,61440,514.9737455844879,1.4506466,0.0038318827,-1.286395788192749,0.0,61440,0.041503906,-0.0022886235
195.45,31,89,3.6551623e-06,63488,535.3857290744781,1.4573352,0.005721684,-2.6496031284332275,0.0,63488,0.06777344,-0.005505871
195.9,32,89,4.647544e-06,65536,558.3431463241577,1.4541899,0.0031150694,-4.4021220207214355,0.0,65536,0.028125,-0.0028617345
193.37,33,69,2.267931e-06,67584,581.3456745147705,1.4521886,0.003998013,-2.0970215797424316,0.0,67584,0.039013673,-0.0047747223
