#{"t_start": 1566441971.4958262, "env_id": null}
r,l,t
102.722103,540,2.099055
72.541285,412,2.901123
39.308026,232,3.430636
107.334128,596,4.727281
61.172494,353,6.005343
147.440465,762,7.658381
70.436455,404,8.89586
184.364037,891,11.337462
153.862037,797,12.99066
65.146476,329,13.624124
38.234856,214,14.041059
46.197468,252,14.642182
75.802009,379,15.83758
33.901965,198,16.315772
153.132486,780,18.02285
44.357332,253,18.649344
29.985021,168,19.128643
47.436802,259,20.058247
105.938183,567,21.825928
31.452585,173,22.222678
85.88893,405,23.322179
50.303619,265,23.836069
57.91369,319,24.557884
53.535583,269,25.148249
45.156289,234,25.846996
63.258485,336,27.066911
59.270287,314,27.726783
51.783934,272,28.325644
27.616973,143,28.667631
62.990361,324,29.358753
190.872049,982,31.675901
46.490438,227,32.10324
123.400731,643,33.385956
49.767511,239,33.850173
48.541429,253,34.52485
44.845184,264,35.125274
28.375395,145,35.567486
33.032153,169,36.488443
29.753998,152,36.771147
27.769811,148,37.092081
42.579784,217,37.579142
41.322355,223,38.10697
32.004571,162,38.405766
36.406042,198,38.808396
28.74037,151,39.100203
37.766564,209,39.518849
36.874167,204,39.905829
38.597852,204,40.300888
31.362405,163,41.036201
28.118453,144,41.365084
32.965558,177,41.864255
45.259773,228,42.377819
43.177277,215,42.927664
31.291364,172,43.495628
27.63439,148,43.783511
39.951518,206,44.21563
28.364629,137,44.473479
33.596845,164,44.823321
29.125801,157,45.22646
40.707007,235,45.837405
52.391449,293,46.793455
166.410646,792,48.342379
247.978602,1282,51.608259
35.626313,172,51.938323
40.374103,217,52.428352
45.281365,248,52.914885
32.513686,168,53.324306
44.612733,236,53.839236
50.41298,249,54.326625
31.358751,170,54.714974
29.995756,151,55.176167
154.647385,680,57.320246
52.065998,256,57.934469
371.575273,1630,62.456406
157.185534,714,63.918374
61.218589,287,64.506283
170.072752,718,66.635958
154.656968,639,67.922952
547.120002,1995,72.964169
510.699759,1905,78.084809
735.272464,2277,83.729101
707.228219,2271,89.78456
55775.958235,140873,457.784607
876.847994,1745,462.341527
321.644516,775,464.03858
437.513364,981,466.235092
948.190801,1820,470.955059
287.739388,697,473.011911
1003.136719,1924,478.040493
351.990573,882,479.973441
287.446424,737,481.703495
377.523786,919,484.047142
466.237973,1058,486.500192
573.73038,1205,489.508428
486.790984,1109,492.337046
495.592765,1204,495.311955
277.442033,756,497.040218
541.638241,1221,500.146986
432.30349,1036,503.004238
391.423544,937,505.586704
475.498679,1140,508.728295
306.932484,882,510.64396
471.173014,1269,513.844831
318.209256,889,516.253388
486.93505,1162,519.109903
298.36136,804,520.92382
260.655934,727,522.426706
362.992875,909,524.959653
428.382352,981,527.06813
249.710185,709,529.578673
209.824006,577,530.761304
367.645162,871,532.839771
279.24976,695,534.845509
312.789721,776,536.492675
240.486852,650,537.844491
349.118033,814,540.051929
324.41657,788,541.745433
336.960551,846,543.919814
367.442641,870,545.933877
384.605938,946,548.1036
319.454979,778,550.244336
480.368711,1071,552.602013
327.126896,794,554.777155
476.506158,1030,556.870252
341.260598,856,559.268987
445.207281,1042,561.576741
405.596681,887,563.883904
375.785233,887,565.815135
397.332122,900,567.765705
342.436411,810,569.9582
245.833376,611,571.25847
327.95672,725,573.311954
358.479152,826,575.323979
295.105461,677,576.847116
305.50948,714,578.969782
266.313163,630,580.393785
243.937931,569,581.936517
277.259986,649,583.857853
230.912254,547,584.985604
233.041348,562,586.33725
237.708426,562,587.573906
211.850113,541,589.426252
216.549994,543,590.770842
329.844872,681,592.200942
335.058076,747,594.569001
253.527833,587,595.865381
313.658374,701,597.373106
324.746574,741,599.268081
246.326674,571,600.550731
207.102652,496,601.629739
367.951825,737,603.175129
288.396722,655,605.090971
295.212559,664,606.470208
291.775099,661,608.093769
296.341006,665,609.9026
300.655495,674,611.479531
325.920112,710,612.979934
363.929709,785,615.337875
258.924395,583,616.678024
342.938136,720,618.348407
303.116815,672,620.155745
270.222752,601,621.376153
397.145967,763,623.294662
286.32257,620,625.025593
201.865587,488,626.348519
323.003682,706,628.014788
308.001685,676,629.827109
351.501546,710,631.500978
259.015742,590,632.956324
280.063135,608,634.818913
269.907394,600,636.239466
326.325646,702,637.858242
270.797655,605,639.180391
255.215618,581,640.937226
267.006646,595,642.301801
374.569156,788,644.029248
307.829016,682,646.017057
285.570681,615,647.631476
318.787587,691,649.580461
280.853793,609,651.769471
331.292056,681,653.308093
328.127465,708,655.205563
287.707889,610,657.001174
228.284206,511,658.151364
259.250159,553,659.393256
249.824642,540,660.604112
298.886372,604,662.413857
308.827847,636,664.081338
281.255165,581,665.316337
251.075317,542,666.807625
241.306647,527,667.92497
303.899057,639,669.34059
258.877019,547,670.890984
302.262694,638,672.735394
345.284054,698,674.240184
243.24721,529,675.441027
258.121248,541,676.902746
402.514441,778,678.840191
243.182697,531,680.039884
252.977179,539,681.549281
250.489197,506,682.981248
192.826818,430,683.921237
206.788832,452,684.951629
253.840446,538,686.057571
194.628863,434,687.687577
251.335584,505,688.85902
282.936903,574,690.435344
253.98673,513,691.448001
229.756404,478,692.848042
281.700158,545,694.111221
215.63896,461,695.276934
267.313582,500,696.290993
261.826671,538,697.916753
215.799867,442,699.094664
216.10327,458,700.058029
276.125097,539,701.249261
206.82219,442,702.654878
224.235224,464,704.05442
205.629261,438,705.068889
204.53857,445,705.945621
206.590985,446,707.272664
207.628331,450,708.447247
228.165198,472,709.515241
201.286232,441,710.606047
295.73195,569,711.763027
239.521697,517,713.204964
304.588905,582,714.617769
229.225689,475,715.664203
261.296525,523,717.089228
263.025466,541,718.642948
258.496637,543,719.815747
258.656434,543,720.920535
296.367898,583,722.472725
199.763184,440,723.606144
263.789223,550,724.841628
316.624753,648,726.427938
428.76927,754,728.780608
379.262997,734,730.458137
289.848783,584,731.778109
274.411304,563,733.412913
262.118528,553,734.615666
253.657191,544,736.043795
228.180624,479,737.277725
267.699749,562,738.875793
209.0557,454,740.230585
260.267628,552,741.358196
330.899578,665,742.866981
332.381008,645,744.666703
333.158047,615,745.944257
219.919089,461,746.890169
284.500649,580,748.626868
258.322801,544,750.139054
225.627078,470,751.160062
324.114288,654,752.891203
291.951238,586,754.830715
245.965547,497,755.984345
325.219331,596,757.30302
275.676793,567,759.014795
272.796628,563,760.407006
240.671484,487,761.513254
231.220185,477,762.711417
304.545941,590,764.382168
285.241883,550,765.64484
287.950258,569,766.789242
281.988115,549,767.935605
283.037179,571,769.610404
362.696231,680,771.155799
281.671256,548,772.416054
259.011832,510,774.06015
335.065968,674,775.445783
269.988444,561,776.758876
297.723393,599,778.213886
271.21824,557,779.766389
379.318309,758,781.472098
423.915212,802,783.167213
292.661898,577,784.735274
316.363098,619,786.221167
287.792611,557,787.463773
298.413701,597,789.186434
318.382501,624,790.631789
296.283892,592,791.84862
285.280421,550,792.979813
301.465774,585,794.62034
354.451658,680,796.056353
271.751824,557,797.214844
338.011313,641,798.99488
280.360248,542,800.543753
311.659149,618,801.944355
274.10738,560,803.302152
302.449516,589,805.246517
298.98949,584,806.875764
387.51301,672,808.238687
308.36843,615,809.945257
309.684016,586,811.26037
325.737946,632,812.706881
305.176915,580,814.561043
289.406175,582,815.875681
273.477567,565,817.020696
344.301873,658,818.421712
274.814865,541,819.931883
226.217987,471,820.961123
238.414466,482,822.38688
283.743098,571,823.741197
248.148357,500,825.272336
110.179659,277,825.977347
314.619498,597,827.353508
293.61228,557,828.582481
231.76516,475,830.024111
385.74857,732,831.549843
242.338706,488,832.701242
290.780551,557,833.856423
301.37,580,835.430954
285.383371,572,836.686227
303.865693,577,837.995499
315.04112,589,839.576643
311.321609,606,840.966847
288.544295,579,842.191062
289.524051,559,843.460445
267.44806,527,845.076578
285.411134,554,846.369154
314.472778,598,848.044864
289.698826,580,850.080775
327.210851,643,851.638329
270.518843,567,852.818116
321.594844,650,854.195043
374.094873,712,856.171299
430.43332,784,858.145817
327.217574,616,859.975912
323.000152,649,861.396472
372.803324,759,863.149303
383.377074,742,865.118925
321.215636,636,866.673139
348.623312,669,868.214848
367.105778,748,870.289691
322.583651,629,871.79088
302.011493,595,872.972499
339.323978,689,874.977512
352.112316,672,876.357894
363.765938,710,877.917386
263.363845,505,879.221137
365.04462,714,881.440224
344.749636,671,882.791451
356.993218,721,884.293411
481.686822,884,886.791381
384.806511,734,888.616158
359.975431,698,890.490091
434.173852,807,892.379179
358.851066,685,894.034823
398.192516,782,896.35976
394.438167,749,897.87061
572.472684,986,900.483112
398.805768,753,902.35347
528.33249,956,904.630481
441.329165,829,906.973179
484.084809,924,908.922986
400.573393,764,911.038503
328.161594,649,912.749689
419.270752,819,914.550408
412.360212,789,916.741009
367.823775,725,918.21387
427.280852,800,919.912969
381.719908,761,921.864565
566.89895,990,924.354657
