#{"t_start": 1566336001.108901, "env_id": null}
r,l,t
69.932532,393,1.397192
58.912912,402,2.265655
135.353199,796,4.637427
73.117407,442,5.508698
258.028755,1325,8.991372
233.948106,1272,12.509216
629.751573,3111,19.980199
634.216408,2959,28.123918
33.94523,220,28.692127
44.173246,272,29.250111
65.243411,409,30.083329
66.84569,403,31.119972
127.532541,742,33.234844
72.79435,451,34.413473
78.988403,420,35.399817
62.32779,399,36.259692
521.683523,2747,43.210966
2090.248942,9637,65.950427
924.916043,3449,75.091227
2219.850747,6556,92.864226
136.917018,611,94.541144
373.235753,1126,97.280235
31.256733,153,97.613933
3321.964947,8483,120.728074
33.078346,169,121.048329
389.848882,1433,124.936111
1303.963859,3794,134.481899
46169.79837,124424,457.328168
785.97232,2022,462.672338
1300.494867,2965,470.258831
744.81852,1891,475.108553
836.264913,2059,480.26085
750.194061,1854,484.783489
543.086208,1453,488.326108
1347.846843,3091,495.873758
627.734688,1672,500.003468
377.262282,1053,502.820716
1283.262532,2753,509.754209
1075.676525,2311,515.541626
6231.584432,11243,545.026401
2121.212557,3905,554.514595
1253.230132,2500,561.505024
917.830346,1860,566.110146
591.422391,1326,569.011554
1013.114319,2019,574.030837
558.055246,1295,577.493741
609.124396,1345,580.512961
704.328054,1486,584.527098
484.322186,1125,587.894205
512.561336,1143,590.638054
419.400217,1003,593.606947
636.751688,1364,596.747391
546.594414,1190,599.747758
521.415233,1165,602.762147
483.994725,1072,605.427808
442.61363,1029,608.297921
857.825964,1736,612.181926
439.909494,991,614.815671
599.699375,1278,618.230989
441.918085,1019,620.48369
424.585637,1006,623.068913
390.853098,928,625.11282
465.398353,1052,627.635005
414.662531,943,629.747945
389.362904,917,631.96829
374.238561,850,634.339205
363.921751,845,636.201966
447.631132,931,638.619186
346.113694,778,640.190311
269.878341,655,642.295908
343.443965,782,644.451795
296.134897,728,646.275882
314.860111,750,648.434525
316.603461,744,650.395062
315.624927,750,652.170176
340.422982,763,654.224559
360.252081,848,656.217225
310.861315,740,657.785893
307.988552,677,659.552452
296.687558,675,661.282799
291.422723,682,662.736749
273.888806,653,664.61409
307.941298,666,666.190063
277.48748,660,667.865414
327.654114,720,669.724172
301.082874,693,671.450026
298.715867,684,672.81104
291.620187,675,674.795536
258.809671,598,676.057858
289.08856,680,677.671488
327.828624,696,679.517767
302.13344,687,681.197147
313.246262,679,682.713038
351.060449,757,684.872329
342.309615,714,686.553687
334.418442,704,688.178043
296.969491,654,690.052774
304.427366,681,691.52118
328.353697,697,693.138661
249.012993,584,694.891536
249.690264,587,696.444583
327.392876,694,697.883487
328.441522,724,699.816337
347.88987,732,701.551986
391.772759,802,703.236146
264.679078,608,704.958636
311.944987,673,706.448628
343.824965,712,708.013075
280.910199,625,709.623396
349.665728,719,711.407734
249.219292,589,712.899086
290.499122,632,715.197562
278.518034,593,716.518079
246.943758,581,717.933141
354.504073,723,719.959312
225.106863,524,721.089952
229.429361,522,722.168926
283.419947,615,723.52575
279.041894,592,725.154403
237.902269,536,726.771037
271.389811,581,728.321768
314.685561,652,730.051441
237.534018,527,731.360085
241.777668,540,732.631392
237.83982,529,733.907486
241.464252,534,735.564189
256.258473,531,736.881701
288.250093,607,738.117555
279.481429,589,739.369303
236.807863,532,740.90542
272.188968,582,742.128699
270.664059,573,743.497783
258.066649,570,745.205492
292.27472,611,746.817323
284.618112,603,748.707185
327.120297,654,750.138592
277.895413,616,751.98393
280.353718,599,753.333163
244.322889,539,754.485516
308.50622,630,756.173447
355.225383,722,757.999186
337.760022,696,759.532006
318.804432,646,761.259878
264.423313,547,762.525911
251.89346,548,763.710834
286.620697,601,765.0361
282.170967,591,766.71656
290.461601,607,768.193754
333.069412,694,769.87466
288.33979,604,771.675084
267.465817,556,772.822261
300.733265,615,774.171047
305.249257,638,775.902174
254.211642,547,776.997205
249.229663,549,778.157542
288.367393,571,779.440688
254.206367,549,781.373143
303.511967,625,782.946005
244.721039,539,784.188231
251.806511,543,785.348997
249.823177,544,786.991929
251.17223,516,788.282465
261.54545,536,789.596586
248.830953,541,791.300902
251.135755,517,792.596338
277.885819,557,793.984745
259.498325,550,795.252878
288.218364,577,796.981539
239.279916,505,798.187845
243.863897,505,799.491193
213.251357,467,800.580882
266.723789,566,802.556473
240.121113,505,803.538048
257.034437,526,804.683693
283.833175,564,805.996392
330.36701,615,807.72072
329.801752,619,809.110446
244.889266,535,810.123559
242.752298,512,811.274376
262.919949,534,812.907262
247.550573,515,814.023401
244.844961,512,815.282005
250.125689,519,816.560433
252.19731,515,818.044159
251.06616,545,819.138598
259.308297,530,820.334325
246.577741,512,821.766183
234.150065,494,823.028782
247.334026,514,824.073941
251.899748,501,825.485797
258.221144,528,827.059828
252.524351,519,828.190278
257.306227,523,829.250927
231.72543,485,830.357629
272.700341,547,832.233581
258.140546,523,833.397326
254.598044,500,834.750915
231.672234,474,835.723079
239.590583,500,836.813275
254.340495,516,838.570017
229.653001,479,839.541381
241.92677,496,840.643426
242.291425,510,841.803608
234.455822,489,843.203678
247.130405,514,844.374055
262.139136,533,845.67372
267.925599,558,846.884851
203.514793,449,848.267906
238.503984,488,849.43711
246.418635,502,850.490376
258.774011,528,851.766118
232.076562,483,853.157378
282.440068,520,854.290346
257.544045,524,855.600502
222.325756,463,856.650246
237.618618,495,858.24849
211.110841,462,859.295717
210.74555,458,860.31634
245.127439,509,861.461937
268.345964,556,862.955896
259.435928,526,863.992979
242.621387,505,865.237755
258.524527,528,866.524238
226.956193,478,868.192844
244.580376,498,869.24807
245.209184,504,870.637119
259.827332,524,871.971879
209.038449,452,873.388114
236.535854,491,874.575503
255.821113,527,876.084798
220.503383,468,877.132735
235.481509,488,878.476241
222.22049,472,879.863031
267.028096,558,880.980918
279.449239,549,882.127145
253.191068,523,883.876335
261.551688,533,885.002459
291.685844,579,886.21413
259.534237,523,887.594529
254.906114,520,889.076804
210.403414,459,890.191296
224.888015,471,891.42265
229.414149,480,892.38783
271.670737,551,893.962792
254.058882,515,895.458798
269.148375,520,896.602161
271.043943,545,897.877121
222.751417,474,899.405726
237.814957,490,900.405094
269.038283,549,901.50325
287.392183,532,902.615112
266.478597,538,904.110008
217.753635,469,905.151512
227.697647,469,906.269668
260.622553,533,907.362607
226.573688,476,909.019058
283.138291,562,910.584662
264.005668,534,912.143559
205.913018,450,913.250515
268.703061,542,914.94875
320.001876,602,916.206805
274.969786,545,917.420005
263.473043,532,918.921277
278.49945,554,920.429053
270.957898,542,921.490681
270.680303,545,922.635449
268.970056,535,924.142948
278.261103,554,925.695501
298.422561,585,927.091303
284.91403,560,928.236032
313.697542,603,930.098043
273.931499,549,931.357868
272.705234,541,932.364057
293.275789,572,933.53346
301.344252,598,935.386964
283.556712,559,936.591314
294.761348,566,937.93268
278.393255,543,939.578396
225.239604,470,940.742637
252.134213,499,941.86457
271.799868,545,942.987277
266.090491,526,944.667851
278.456154,545,946.04079
235.21312,465,947.006836
230.597332,474,948.013907
269.21567,543,949.548416
238.669229,494,950.625896
234.417032,485,951.909323
246.205798,498,952.892129
249.78502,501,954.069705
276.227862,542,955.759276
266.217885,537,956.886995
269.866081,539,958.136903
301.307872,579,959.793996
292.871492,564,961.237986
289.620041,555,962.995858
286.143406,562,964.442761
301.077323,576,965.987021
242.561633,502,967.051941
111.200665,284,967.662973
100.253564,266,968.18295
255.69897,519,969.426513
276.742987,546,970.966575
349.379568,639,972.411711
274.341718,523,973.563721
272.030224,539,975.131591
262.120355,523,976.20051
279.208236,545,977.565793
302.044913,586,979.044808
308.904668,593,980.681068
351.6477,639,982.094506
108.125561,277,982.717569
283.974642,558,983.892012
280.182453,558,985.651586
376.064384,670,987.058034
312.724645,595,988.325525
333.130519,643,990.072465
91.613481,256,990.667415
255.766996,505,991.638363
252.927643,486,992.535667
89.317847,248,993.061365
115.332963,290,993.76194
108.840821,282,994.730151
72.034627,221,995.308536
326.002802,618,996.653699
80.769574,235,997.146914
100.243131,268,997.685414
307.031801,589,999.30355
285.06399,562,1000.87502
84.178735,241,1001.494001
293.343555,592,1002.732538
292.712977,575,1004.127427
371.867515,700,1006.008653
277.532213,539,1007.292707
283.88644,574,1008.501074
307.3525,591,1010.212476
273.172684,542,1011.265658
100.373297,268,1011.893197
301.116473,591,1013.126674
282.536184,552,1014.773026
279.512463,561,1016.067419
295.100888,588,1017.253772
280.979176,555,1018.60659
117.414845,289,1019.815817
289.848968,563,1021.008819
112.735399,291,1021.649814
90.592565,254,1022.17526
111.236905,284,1022.727623
308.269723,589,1024.463855
303.326812,575,1025.751616
112.848262,286,1026.355393
289.777025,562,1027.504474
279.064161,548,1028.985224
248.97189,502,1030.735729
277.336772,538,1031.768685
287.640796,566,1033.181921
310.355062,592,1035.073927
122.355215,300,1035.827201
310.556261,594,1037.159636
108.605939,280,1037.730712
282.884432,563,1038.963734
313.307817,604,1040.970026
114.907007,291,1041.621166
113.315048,289,1042.303035
279.080485,586,1043.699807
295.683587,583,1045.488608
108.211001,276,1046.058965
117.911716,297,1046.948812
283.469203,582,1048.321479
276.732689,558,1050.090142
329.864644,645,1052.113567
331.974059,651,1053.781709
340.083387,657,1055.290712
335.506726,627,1057.075571
329.080979,614,1058.388784
336.319347,621,1059.591879
111.615863,284,1060.199045
305.937605,592,1062.001475
336.538885,656,1063.370081
277.702151,582,1064.583618
308.079615,621,1066.431715
305.637518,605,1068.433826
305.622511,609,1069.931345
297.022338,605,1071.100435
281.907841,586,1072.648309
343.303029,671,1074.048025
113.50052,300,1074.749336
324.410687,638,1076.718263
327.441189,646,1078.411685
320.571313,644,1080.101508
118.353692,300,1080.926408
330.699883,651,1082.93687
277.841149,585,1084.266292
349.827031,649,1085.71205
317.158658,638,1087.417122
335.246718,655,1088.81618
331.616604,653,1090.337998
117.3076,301,1090.961491
351.723411,675,1092.789132
344.2608,665,1094.200381
276.947883,557,1095.427352
346.920022,668,1097.340709
318.493664,635,1098.573259
364.006179,693,1100.133587
330.012528,663,1101.816236
324.502721,651,1103.194677
325.504216,650,1104.666561
336.068259,664,1106.435338
99.642009,273,1107.03237
330.412734,663,1108.612368
101.417618,277,1109.179461
321.231444,650,1110.727928
515.76653,929,1113.184896
109.409519,289,1114.026016
111.788961,288,1114.668327
121.391113,310,1115.256162
317.699834,641,1117.100251
118.047501,305,1117.874117
94.056382,262,1118.584733
133.193909,315,1119.230262
310.755059,641,1120.645802
325.97614,658,1122.690999
107.858764,280,1123.403677
328.932761,661,1124.895824
404.791494,767,1127.168872
115.400192,297,1127.835211
397.080964,773,1129.826807
416.112461,794,1131.596384
366.941354,732,1133.421559
374.988711,742,1135.336627
117.266016,297,1136.023279
416.092032,747,1137.955156
374.786143,746,1139.509776
329.534073,676,1141.118635
348.509257,718,1143.206244
382.175618,751,1144.865629
117.428094,304,1145.42517
418.260348,787,1147.396477
397.308258,761,1149.014171
358.507582,726,1150.726396
358.144963,681,1152.714801
386.568557,744,1154.45728
115.018083,300,1155.077244
360.387314,689,1157.192768
364.80049,722,1158.880888
329.934727,656,1160.76697
109.520905,296,1161.405694
352.609485,676,1163.377931
410.730057,805,1165.158889
379.813234,749,1166.965286
97.642855,279,1167.946872
376.8788,731,1169.632273
350.156953,681,1171.053882
394.677532,764,1173.166781
370.883086,739,1174.765443
279.331336,572,1175.965012
109.323487,288,1176.497174
424.661026,822,1178.680484
324.180479,671,1180.405235
412.239838,798,1182.639509
176.808373,399,1183.522614
665.648965,1242,1186.285819
485.369903,900,1189.100358
452.060196,894,1191.143426
