n_updates,fps,policy_entropy,ep_len_mean,policy_loss,explained_variance,time_elapsed,serial_timesteps,clipfrac,value_loss,total_timesteps,ep_reward_mean,approxkl
1,376,1.4157296,508.25,-0.0032585352,0.031533777713775635,2.6226043701171875e-06,2048,0.029443359,3.3104222,2048,84.32901249999999,0.0027591283
2,399,1.4249896,671.6,-0.0027539541,0.024165630340576172,5.4398651123046875,4096,0.029882813,4.5240593,4096,119.06896099999999,0.003057622
3,369,1.434512,771.6666666666666,-0.0038789944,-0.12064468860626221,10.561387300491333,6144,0.032666016,3.6705832,6144,138.21548516666667,0.0034304517
4,439,1.418699,1105.857142857143,-0.0053035873,-0.1471567153930664,16.104013681411743,8192,0.039990235,5.354676,8192,208.43492628571428,0.0038725056
5,354,1.3977526,1105.857142857143,-0.0035559796,-0.06168389320373535,20.767724990844727,10240,0.02841797,5.812194,10240,208.43492628571428,0.0030392003
6,415,1.3996096,1000.3333333333334,-0.005056225,0.03216928243637085,26.544329404830933,12288,0.064941406,2.4524467,12288,191.95570574999996,0.005270329
7,377,1.4073331,876.0,-0.0013052857,0.33345192670822144,31.472829580307007,14336,0.018994141,2.4170775,14336,165.3194720625,0.0022696038
8,419,1.4016955,876.0,-0.0031270932,0.046157240867614746,36.898192405700684,16384,0.038671874,3.0443044,16384,165.3194720625,0.003389541
9,405,1.3908556,986.0588235294117,-0.002322056,-0.013476133346557617,41.77678346633911,18432,0.02265625,2.6893363,18432,186.28206329411768,0.0027186763
10,431,1.3918997,986.0588235294117,-0.0071376013,-0.3691631555557251,46.82727861404419,20480,0.076611325,4.3769855,20480,186.28206329411768,0.0058873664
11,429,1.3874505,986.0588235294117,-0.0032854192,-0.015801191329956055,51.579535484313965,22528,0.035351563,4.0395927,22528,186.28206329411768,0.0037110571
12,425,1.382134,986.0588235294117,-0.0041497974,-0.21814775466918945,56.35220217704773,24576,0.05629883,2.6951845,24576,186.28206329411768,0.0048901346
13,410,1.395628,1466.6666666666667,-0.006963047,0.5156043767929077,61.1707398891449,26624,0.054101564,2.2737231,26624,292.05800100000005,0.005271104
14,357,1.3989456,1466.6666666666667,-0.0029715379,-0.2992973327636719,66.15587043762207,28672,0.038085938,3.6180885,28672,292.05800100000005,0.0037839108
15,426,1.4091325,1571.0,-0.0019925977,-0.18960368633270264,71.88309669494629,30720,0.011621093,5.5098524,30720,325.36631900000003,0.0017018497
16,374,1.3937876,1571.0,-0.004910838,0.14237260818481445,76.6863386631012,32768,0.028515626,7.1662216,32768,325.36631900000003,0.0032011438
17,371,1.3753891,1571.0,-0.00070782873,0.30418652296066284,82.15929937362671,34816,0.015136719,9.033527,34816,325.36631900000003,0.0019660606
18,345,1.3678724,1820.25,-0.0020136316,-0.004990339279174805,87.67130184173584,36864,0.027197266,9.657704,36864,420.0905404,0.0029838453
19,378,1.3610364,1665.0,-0.0048383446,0.11149924993515015,93.60150122642517,38912,0.047070313,5.425892,38912,388.8356657391305,0.004469513
20,382,1.3499242,1665.0,-0.0010865856,0.3900828957557678,99.00916814804077,40960,0.01694336,11.456206,40960,388.8356657391305,0.002238932
21,369,1.3341181,1665.0,-0.0047094747,0.4902637004852295,104.36529088020325,43008,0.051416017,10.399373,43008,388.8356657391305,0.004331321
22,354,1.3136396,1665.0,-0.005903776,0.44328683614730835,109.90355920791626,45056,0.06660156,8.218485,45056,388.8356657391305,0.0056816894
23,373,1.2982694,1877.88,-0.0031129874,0.10472649335861206,115.68040013313293,47104,0.02055664,7.1266265,47104,491.9305442,0.0022828872
24,396,1.2875996,1860.7692307692307,-0.0012902643,0.14203059673309326,121.16155171394348,49152,0.016503906,2.2005143,49152,488.0043264230769,0.0021803193
25,381,1.2928351,1860.7692307692307,-0.00056198984,0.48501724004745483,126.33356070518494,51200,0.026513672,5.4918537,51200,488.0043264230769,0.0024894932
26,364,1.3008409,1932.3703703703704,-0.0029811747,0.21311283111572266,131.71270895004272,53248,0.037353516,3.5862136,53248,518.2250498518518,0.0037639576
27,420,1.2862589,1932.3703703703704,-0.003958882,0.5430175960063934,137.3316285610199,55296,0.03671875,1.6096385,55296,518.2250498518518,0.0035188496
28,420,1.2712772,1932.3703703703704,-0.0042173173,0.5572628378868103,142.19886016845703,57344,0.044042967,0.38528404,57344,518.2250498518518,0.00385149
29,401,1.2729495,1932.3703703703704,-0.0017793532,0.6157787144184113,147.07024431228638,59392,0.03339844,0.4247814,59392,518.2250498518518,0.0032474075
30,391,1.267898,1932.3703703703704,-0.0026466404,0.5602444112300873,152.17299127578735,61440,0.03745117,0.46772248,61440,518.2250498518518,0.0034273104
31,386,1.2534349,1932.3703703703704,-0.002911197,0.5999777317047119,157.41040754318237,63488,0.029248048,0.23257475,63488,518.2250498518518,0.0032019303
32,385,1.2448492,1932.3703703703704,-0.0029399311,0.31133103370666504,162.71314668655396,65536,0.03666992,0.93920344,65536,518.2250498518518,0.0033705062
33,391,1.232724,1932.3703703703704,-0.002422846,0.3435865640640259,168.02163529396057,67584,0.034375,0.7163437,67584,518.2250498518518,0.003817267
34,427,1.2228825,1932.3703703703704,-0.001298298,0.6074223220348358,173.2570824623108,69632,0.041552734,0.36949235,69632,518.2250498518518,0.0036881058
35,386,1.2184414,1932.3703703703704,-0.0026368252,0.7146545946598053,178.04542183876038,71680,0.042578124,0.19637564,71680,518.2250498518518,0.0040808585
36,373,1.2134302,1932.3703703703704,-0.0033868705,0.6733563244342804,183.34926295280457,73728,0.04448242,0.5528545,73728,518.2250498518518,0.003940695
37,376,1.2237977,1932.3703703703704,-0.0064248545,0.6242659687995911,188.82898807525635,75776,0.07368164,0.44937593,75776,518.2250498518518,0.005878731
38,378,1.2336147,1932.3703703703704,-0.0032749404,0.6364909410476685,194.26420331001282,77824,0.041894533,0.4403193,77824,518.2250498518518,0.0037743808
39,403,1.2341131,1932.3703703703704,-0.0030546861,0.634215921163559,199.6731116771698,79872,0.044873048,0.5434292,79872,518.2250498518518,0.0039328896
40,367,1.2309102,1932.3703703703704,-0.002007043,0.589380532503128,204.74918055534363,81920,0.033935547,0.24036112,81920,518.2250498518518,0.0031352725
41,393,1.2243842,1932.3703703703704,-0.0016970594,0.48897773027420044,210.3198390007019,83968,0.025634766,0.7359747,83968,518.2250498518518,0.002878531
42,399,1.2286474,1932.3703703703704,-0.0021262933,0.533506453037262,215.52449440956116,86016,0.025439452,0.35771862,86016,518.2250498518518,0.0024783926
43,349,1.232179,1932.3703703703704,-0.0040593296,0.7487367987632751,220.64929175376892,88064,0.045214843,0.049129464,88064,518.2250498518518,0.0038129396
44,403,1.226625,1932.3703703703704,-0.002498945,0.7495571672916412,226.5102858543396,90112,0.043164063,0.02432904,90112,518.2250498518518,0.003863629
45,443,1.2300794,1932.3703703703704,-0.0041053714,0.7915913760662079,231.5826096534729,92160,0.053857423,0.050790645,92160,518.2250498518518,0.0044562453
46,391,1.2350127,1932.3703703703704,-0.0038896557,0.5834039449691772,236.20199966430664,94208,0.039111327,0.0631624,94208,518.2250498518518,0.003524132
47,430,1.2262791,1932.3703703703704,-0.0036343276,0.8471116125583649,241.42903804779053,96256,0.06303711,0.015684783,96256,518.2250498518518,0.0051350594
48,391,1.212775,1932.3703703703704,-0.005096893,0.8590885549783707,246.190908908844,98304,0.054589845,0.019143835,98304,518.2250498518518,0.004677826
49,399,1.1976819,1932.3703703703704,-0.0040867752,0.7993504554033279,251.42187333106995,100352,0.047021486,0.07460337,100352,518.2250498518518,0.0041868766
50,363,1.192229,1932.3703703703704,-0.002348351,0.7070788145065308,256.54713582992554,102400,0.04272461,0.39516443,102400,518.2250498518518,0.0038215753
51,375,1.1948617,1932.3703703703704,-0.0038499176,0.6640619039535522,262.18499207496643,104448,0.06542969,1.2002695,104448,518.2250498518518,0.0051277354
52,404,1.1821672,1932.3703703703704,-0.0015496713,0.5970285832881927,267.6408369541168,106496,0.03701172,2.984057,106496,518.2250498518518,0.0036375304
53,404,1.172433,1932.3703703703704,-0.0026217173,0.48734408617019653,272.7028839588165,108544,0.04433594,1.8159415,108544,518.2250498518518,0.00404878
54,389,1.1776049,1932.3703703703704,-0.0050152256,0.5646941661834717,277.76850724220276,110592,0.057128906,1.1594818,110592,518.2250498518518,0.004617754
55,353,1.175434,1932.3703703703704,-0.00077809405,0.4810444712638855,283.0219089984894,112640,0.025830079,1.6017199,112640,518.2250498518518,0.0027686919
56,408,1.1755579,1932.3703703703704,-0.0028070542,0.5712167322635651,288.8139851093292,114688,0.02607422,2.0371141,114688,518.2250498518518,0.0026703866
57,385,1.1678513,1932.3703703703704,-0.0014372785,0.42558753490448,293.8275134563446,116736,0.040478516,2.1004086,116736,518.2250498518518,0.003873833
58,363,1.1679559,1932.3703703703704,-0.002389778,0.4537739157676697,299.13705825805664,118784,0.034228515,1.9204181,118784,518.2250498518518,0.0032782704
59,393,1.170674,1932.3703703703704,-0.0033066731,0.4766268730163574,304.7722897529602,120832,0.051611327,2.2087865,120832,518.2250498518518,0.0044643963
60,390,1.1684046,1932.3703703703704,-0.00238487,0.45565181970596313,309.9756922721863,122880,0.0359375,2.1777775,122880,518.2250498518518,0.0032693807
61,363,1.1775001,1932.3703703703704,-0.005286841,0.5136546194553375,315.2243432998657,124928,0.05883789,0.8505605,124928,518.2250498518518,0.0044859997
62,413,1.1781161,1932.3703703703704,-0.0019283786,0.6096157729625702,320.8601484298706,126976,0.03251953,0.6798877,126976,518.2250498518518,0.0030763117
63,395,1.1721274,1932.3703703703704,-0.0038831239,0.6113435626029968,325.8140699863434,129024,0.042041015,0.99784327,129024,518.2250498518518,0.003908588
64,377,1.1617106,1932.3703703703704,-0.0016224965,0.5892846286296844,330.9922025203705,131072,0.018603515,1.7321008,131072,518.2250498518518,0.002177501
65,338,1.1612113,1932.3703703703704,-0.0029275327,0.6434912383556366,336.421110868454,133120,0.05834961,1.48183,133120,518.2250498518518,0.004909451
