serial_timesteps,n_updates,policy_entropy,value_loss,ep_reward_mean,fps,explained_variance,ep_len_mean,clipfrac,policy_loss,approxkl,total_timesteps,time_elapsed
2048,1,1.4289205,3.3406932,127.935389,392,-0.14371955394744873,768.5,0.025390625,-0.0022192227,0.002951892,2048,2.6226043701171875e-06
4096,2,1.4472635,2.9501045,125.0235604,371,-0.181288480758667,763.8,0.025585938,-0.004130382,0.0022516348,4096,5.222442626953125
6144,3,1.4515024,3.2066483,147.70878483333334,399,0.11182212829589844,890.1666666666666,0.04345703,-0.0044570197,0.0039309296,6144,10.741252183914185
8192,4,1.438181,4.0599995,172.765585875,422,0.0013691186904907227,1003.625,0.035205077,-0.0047010505,0.0033366072,8192,15.871084690093994
10240,5,1.4323189,4.45276,182.09189809999998,433,0.03671419620513916,1021.3,0.012597656,-0.0015247589,0.0017578762,10240,20.7162344455719
12288,6,1.4217186,8.755063,182.09189809999998,377,-0.03353559970855713,1021.3,0.021728516,-0.0025913513,0.0026610738,12288,25.44655752182007
14336,7,1.4214251,4.825175,207.48848523076924,386,-0.11834514141082764,1053.8461538461538,0.037988283,-0.0025141104,0.0033471622,14336,30.871923446655273
16384,8,1.4372808,4.671381,234.5592157857143,418,0.1426592469215393,1163.357142857143,0.058642577,-0.0033565029,0.004434948,16384,36.17663049697876
18432,9,1.4491527,2.561606,220.228483125,387,0.26500141620635986,1102.9375,0.06669922,-0.0061212773,0.0053659766,18432,41.07212042808533
20480,10,1.4591935,2.8540473,210.2921197368421,407,0.32073384523391724,1048.6842105263158,0.058154296,-0.006598895,0.0048186434,20480,46.36441349983215
22528,11,1.4706712,3.7967076,210.2921197368421,382,0.2501622438430786,1048.6842105263158,0.044873048,-0.0026919895,0.004022384,22528,51.3917932510376
24576,12,1.4847003,2.2614331,210.2921197368421,431,0.5599834322929382,1048.6842105263158,0.02866211,-0.0025780422,0.0029486388,24576,56.74935984611511
26624,13,1.4902886,2.3271472,210.2921197368421,392,0.3117964267730713,1048.6842105263158,0.010498047,-0.0016803804,0.0017180064,26624,61.501044034957886
28672,14,1.4988921,1.965139,210.2921197368421,407,0.2680620551109314,1048.6842105263158,0.024609376,-0.0018462194,0.002464723,28672,66.72044539451599
30720,15,1.5139755,1.2193949,210.2921197368421,398,0.4103260636329651,1048.6842105263158,0.066552736,-0.005027565,0.005346668,30720,71.74905490875244
32768,16,1.5182302,1.4080952,210.2921197368421,428,0.5499575734138489,1048.6842105263158,0.07001953,-0.007287053,0.0059507466,32768,76.89478802680969
34816,17,1.5013324,0.9582235,342.11199125,367,0.43835872411727905,1687.15,0.025244141,-0.0022788607,0.0027301735,34816,81.67268371582031
36864,18,1.4960355,0.7749502,342.11199125,401,0.38485395908355713,1687.15,0.01977539,-0.0015799316,0.002344516,36864,87.24862957000732
38912,19,1.4946561,0.7247497,342.11199125,399,0.40601468086242676,1687.15,0.039208986,-0.0028066006,0.0036352738,38912,92.35370016098022
40960,20,1.5013727,0.7356829,342.11199125,453,0.2952600121498108,1687.15,0.054296874,-0.00442411,0.004359684,40960,97.48057174682617
43008,21,1.511411,0.752041,342.11199125,349,0.46231609582901,1687.15,0.05415039,-0.00405253,0.004493261,43008,102.000084400177
45056,22,1.5204474,0.79968226,342.11199125,418,0.1318446397781372,1687.15,0.047021486,-0.001992917,0.004089984,45056,107.85597920417786
47104,23,1.5292553,0.80091333,342.11199125,414,0.27904176712036133,1687.15,0.036865234,-0.0029505212,0.0032428082,47104,112.7489857673645
49152,24,1.525635,0.79112923,342.11199125,369,0.3029783368110657,1687.15,0.06064453,-0.0038955868,0.004893352,49152,117.68506407737732
51200,25,1.5161282,0.6357094,342.11199125,418,0.4705939292907715,1687.15,0.05625,-0.0042210976,0.0050252415,51200,123.2239203453064
53248,26,1.4982319,0.5570829,342.11199125,380,0.5109473764896393,1687.15,0.02866211,-0.0025480837,0.00318204,53248,128.13027691841125
55296,27,1.495096,0.4888001,342.11199125,428,0.3881077766418457,1687.15,0.011279297,-0.00011394367,0.001550635,55296,133.5111711025238
57344,28,1.4887623,0.33324105,342.11199125,385,0.6030913889408112,1687.15,0.047753908,-0.0053285854,0.0040819063,57344,138.29418468475342
59392,29,1.4880025,0.29230106,342.11199125,406,0.5559833347797394,1687.15,0.057714842,-0.0049132993,0.004673849,59392,143.60168504714966
61440,30,1.4919496,0.28815192,342.11199125,419,0.6092701256275177,1687.15,0.049462892,-0.0036220376,0.0044456003,61440,148.6350872516632
63488,31,1.4797096,0.33601877,342.11199125,418,0.704905778169632,1687.15,0.024121094,-0.0023407105,0.0028121308,63488,153.52327847480774
65536,32,1.4685959,0.26173574,342.11199125,381,0.6809789836406708,1687.15,0.03730469,-0.0026112206,0.0034418902,65536,158.4142656326294
67584,33,1.4678779,0.2005964,342.11199125,407,0.6971828937530518,1687.15,0.039941408,-0.0035170615,0.0038159657,67584,163.79016971588135
69632,34,1.4822048,0.21064088,342.11199125,415,0.7285763919353485,1687.15,0.020703126,-0.0016474262,0.0021555626,69632,168.81622171401978
71680,35,1.4845154,0.16109861,342.11199125,410,0.7755208015441895,1687.15,0.01850586,-0.001052181,0.0021992705,71680,173.7432141304016
73728,36,1.4786417,0.16152826,342.11199125,363,0.7558753192424774,1687.15,0.048828125,-0.0044896263,0.004205085,73728,178.73006892204285
75776,37,1.4681592,0.13010229,342.11199125,387,0.7641718983650208,1687.15,0.031835936,-0.003933414,0.0031697813,75776,184.37004351615906
77824,38,1.452918,0.12976894,342.11199125,421,0.7358094453811646,1687.15,0.048583984,-0.0064315787,0.004392448,77824,189.657808303833
79872,39,1.4395299,0.11503659,342.11199125,437,0.7621497511863708,1687.15,0.014550781,-0.0013705238,0.0020138228,79872,194.51398277282715
81920,40,1.4307996,0.14377159,342.11199125,421,0.7964551001787186,1687.15,0.05859375,-0.0052207243,0.004898568,81920,199.19906640052795
83968,41,1.4271739,0.14118746,342.11199125,427,0.7393111288547516,1687.15,0.066308595,-0.0058555333,0.0054765777,83968,204.05664372444153
86016,42,1.4198092,0.15896285,342.11199125,330,0.7542594373226166,1687.15,0.05605469,-0.004364237,0.004956963,86016,208.8521180152893
88064,43,1.4043552,0.18101063,342.11199125,377,0.7180744111537933,1687.15,0.056396484,-0.005349805,0.005295375,88064,215.0443892478943
90112,44,1.3952311,0.16575478,342.11199125,335,0.765342652797699,1687.15,0.035546876,-0.0027258615,0.0033044755,90112,220.46670818328857
92160,45,1.3879361,0.40160093,342.11199125,391,0.7303237020969391,1687.15,0.031689454,-0.0034820307,0.0031027151,92160,226.56727981567383
94208,46,1.3846767,0.20052731,342.11199125,402,0.7346234619617462,1687.15,0.03178711,-0.0027040006,0.0031765304,94208,231.79347586631775
96256,47,1.3883578,0.40498877,342.11199125,387,0.738093912601471,1687.15,0.033691406,-0.0019788877,0.0031846177,96256,236.87900185585022
98304,48,1.3798689,0.78977466,342.11199125,379,0.6845723986625671,1687.15,0.038720705,-0.0031462125,0.0037319888,98304,242.1657156944275
100352,49,1.3830837,1.2152236,342.11199125,364,0.7117072939872742,1687.15,0.03720703,-0.0019077379,0.0034137587,100352,247.5679895877838
102400,50,1.4000974,0.5344804,342.11199125,372,0.6214954853057861,1687.15,0.04633789,-0.0037803818,0.0040119756,102400,253.1806697845459
104448,51,1.4094093,0.4627665,342.11199125,405,0.6424919068813324,1687.15,0.0362793,-0.0028621515,0.003100262,104448,258.6809022426605
106496,52,1.4164455,0.43295708,342.11199125,403,0.6642853617668152,1687.15,0.043017577,-0.0028968377,0.003961079,106496,263.73231840133667
108544,53,1.4308398,0.8202629,342.11199125,405,0.6657905578613281,1687.15,0.06123047,-0.00448957,0.005325708,108544,268.80638551712036
110592,54,1.4258811,0.6198128,342.11199125,381,0.6268112361431122,1687.15,0.06303711,-0.0053251702,0.0051777055,110592,273.8630998134613
112640,55,1.4105898,1.457742,342.11199125,381,0.5388751029968262,1687.15,0.044921875,-0.005389541,0.003940599,112640,279.22792959213257
