total_timesteps,ep_reward_mean,clipfrac,value_loss,explained_variance,fps,ep_len_mean,time_elapsed,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps
2048,0.0,0.05805664,0.00219086,-0.020060420036315918,410,420.6666666666667,2.6226043701171875e-06,1.4002082,-0.0103528295,0.005357244,1,2048
4096,0.0,0.0652832,0.0008164918,-0.28259336948394775,402,408.2,4.992816209793091,1.3752749,-0.008092199,0.0052893804,2,4096
6144,0.0,0.059179686,0.0001717945,0.17851853370666504,396,353.05882352941177,10.080566883087158,1.364942,-0.007496898,0.004868058,3,6144
8192,0.0,0.036474608,4.0559928e-05,0.6761036813259125,379,299.8888888888889,15.241146802902222,1.3533976,-0.0049847676,0.0035095722,4,8192
10240,0.0,0.1140625,2.3346463e-05,0.8378181010484695,414,266.55263157894734,20.644219636917114,1.3473682,-0.0125429435,0.007653737,5,10240
12288,0.0,0.09882812,3.5139303e-05,0.8027770519256592,434,257.3404255319149,25.582481622695923,1.3620958,-0.007474047,0.007602124,6,12288
14336,0.0,0.03701172,4.7853835e-05,0.6647384166717529,393,269.39622641509436,30.29264497756958,1.3691847,-0.0035448424,0.0036068752,7,14336
16384,0.0,0.03730469,2.0952795e-05,0.7640912383794785,404,275.13793103448273,35.49849796295166,1.3610224,-0.0020607293,0.003821962,8,16384
18432,0.0,0.03339844,1.2547505e-05,0.838098555803299,396,286.6190476190476,40.562090158462524,1.3410404,-0.003046582,0.003504632,9,18432
20480,0.0,0.05307617,7.2884714e-06,0.8421799391508102,403,291.2028985507246,45.73103046417236,1.3357637,-0.002735948,0.0044582384,10,20480
22528,0.0,0.07729492,7.3401143e-06,0.772794097661972,418,295.08,50.812299966812134,1.3348451,-0.007008509,0.0063047707,11,22528
24576,0.0,0.07807617,5.3652893e-06,0.7728655338287354,398,303.875,55.70472955703735,1.3251015,-0.0068282792,0.0062246514,12,24576
26624,0.0,0.03730469,5.4442617e-06,0.7355000376701355,383,312.94117647058823,60.84398365020752,1.3182337,-0.001061754,0.003633951,13,26624
28672,0.0,0.06381836,6.9242647e-06,0.6860061287879944,433,321.13483146067415,66.18350768089294,1.3098414,-0.0041384962,0.005297519,14,28672
30720,0.0,0.04423828,2.0894627e-06,0.6870967149734497,435,329.3478260869565,70.9055323600769,1.2995114,-0.0041674143,0.0040683965,15,30720
32768,0.0,0.056005858,2.6530893e-06,0.6274743378162384,409,336.0208333333333,75.60606598854065,1.2892115,-0.004689541,0.004961061,16,32768
34816,0.0,0.039404295,1.9492477e-06,0.6412390470504761,416,343.12,80.61223649978638,1.2746328,-0.0012029714,0.0037462562,17,34816
36864,0.0,0.044140626,6.190906e-06,0.6274878084659576,434,344.68,85.53664541244507,1.2626191,-0.0031584285,0.004225636,18,36864
38912,0.0,0.035058595,3.9708075e-06,0.5360471606254578,415,352.54,90.2523238658905,1.257108,-0.0015882046,0.003302188,19,38912
40960,0.0,0.062207032,6.339086e-06,-0.10376560688018799,419,361.77,95.18046450614929,1.2432556,-0.0034665656,0.005359352,20,40960
43008,0.0,0.025830079,5.5979904e-06,0.08861184120178223,439,372.62,100.05820536613464,1.2334574,-0.0018766944,0.0028719115,21,43008
