#{"t_start": 1566919188.9020586, "env_id": null}
r,l,t
0,1166,3.156875
0,423,4.053987
0,1377,7.621383
0,809,9.558292
0,247,10.070318
0,282,11.01487
0,289,11.742781
0,431,12.761727
0,207,13.178851
0,369,13.958432
0,313,14.685526
0,244,15.745752
0,170,16.168124
0,222,16.664375
0,186,17.086294
0,186,17.495423
0,227,17.990556
0,192,18.391013
0,160,18.710743
0,312,19.386652
0,175,19.78985
0,140,20.130407
0,259,21.151307
0,173,21.560102
0,152,21.938026
0,132,22.293573
0,191,22.684406
0,180,23.093987
0,164,23.503584
0,136,23.819602
0,147,24.163095
0,125,24.402746
0,133,24.68224
0,139,24.95434
0,169,25.313586
0,188,26.10991
0,129,26.373429
0,134,26.675274
0,128,26.947994
0,128,27.205355
0,140,27.537303
0,142,27.964136
0,147,28.268756
0,133,28.526422
0,151,28.849265
0,125,29.080485
0,140,29.371188
0,151,29.753634
0,157,30.109866
0,170,30.883522
0,126,31.121069
0,131,31.376266
0,140,31.651897
0,134,31.935704
0,152,32.265498
0,137,32.535423
0,146,32.812031
0,151,33.141551
0,136,33.419493
0,125,33.680216
0,146,34.03429
0,145,34.362772
0,124,34.626043
0,129,34.922165
0,139,35.672777
0,149,36.010302
0,147,36.313463
0,121,36.578951
0,145,36.864982
0,153,37.186375
0,145,37.471712
0,154,37.776548
0,149,38.104266
0,148,38.410393
0,145,38.704941
0,163,39.098612
0,167,39.582049
0,143,39.987666
0,169,40.816217
0,145,41.179252
0,157,41.503964
0,141,41.810225
0,150,42.192549
0,144,42.504004
0,159,42.850795
0,139,43.170817
0,132,43.484179
0,135,43.82357
0,146,44.183227
0,184,44.596979
0,156,44.961614
0,153,45.784089
0,166,46.149379
0,177,46.511666
0,167,46.865263
0,148,47.198539
0,162,47.539199
0,156,47.864756
0,159,48.180696
0,162,48.558033
0,165,48.949131
0,163,49.31669
0,217,49.770989
0,157,50.536438
0,168,50.920133
0,197,51.362757
0,172,51.722386
