n_updates,total_timesteps,ep_len_mean,value_loss,fps,policy_entropy,clipfrac,serial_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,ep_reward_mean
1,2048,794.5,0.006084901,404,1.4136147,0.02216797,2048,2.86102294921875e-06,-1.0868918895721436,0.0029645192,-0.003368406,0.0
2,4096,804.4,0.004197104,415,1.4078627,0.024414062,4096,5.067040205001831,-0.8049757480621338,0.0025853573,-0.0023973605,0.0
3,6144,537.5454545454545,0.0006528137,400,1.4111757,0.053857423,6144,9.995548009872437,-0.6234694719314575,0.004750322,-0.0049218265,0.0
4,8192,369.40909090909093,0.00017005611,411,1.396797,0.10615234,8192,15.10460352897644,-0.36340880393981934,0.007910103,-0.011377994,0.0
5,10240,292.2,5.301133e-05,405,1.3646376,0.0828125,10240,20.0802321434021,0.21196049451828003,0.0069436757,-0.009863945,0.0
6,12288,249.3877551020408,1.8782843e-05,415,1.3367954,0.04057617,12288,25.12898564338684,0.6657935082912445,0.0042250543,-0.004197795,0.0
7,14336,223.625,8.957988e-06,434,1.3127009,0.047753908,14336,30.057101726531982,0.8411889225244522,0.0043565114,-0.0046127946,0.0
8,16384,210.0,4.0532695e-06,409,1.3028505,0.02216797,16384,34.779555559158325,0.8324531316757202,0.0024281566,-0.00093350717,0.0
9,18432,201.5054945054945,4.297585e-06,390,1.2895554,0.080566406,18432,39.784810304641724,0.7258051037788391,0.00689911,-0.007493715,0.0
10,20480,173.66,4.298142e-06,421,1.2769234,0.080273435,20480,45.036346673965454,0.6488641500473022,0.0063338513,-0.0067927935,0.0
11,22528,158.24,3.7306268e-06,398,1.266401,0.0515625,22528,49.9007134437561,0.2923627495765686,0.0047082067,-0.0055434518,0.0
12,24576,158.93,3.1658642e-06,386,1.2554355,0.06757812,24576,55.04169726371765,0.26695579290390015,0.0052193804,-0.0041719493,0.0
13,26624,166.37,1.0495346e-05,387,1.2457476,0.058007814,26624,60.344433307647705,-0.6316249370574951,0.004997132,-0.0043206466,0.0
