total_timesteps,serial_timesteps,ep_len_mean,approxkl,n_updates,clipfrac,time_elapsed,fps,ep_reward_mean,policy_loss,explained_variance,value_loss,policy_entropy
2048,2048,659.3333333333334,0.0030054336,1,0.021582032,2.384185791015625e-06,391,0.0,-0.0026322198,-0.8184350728988647,0.096507214,1.4031051
4096,4096,502.375,0.0028873289,2,0.024365235,5.238070011138916,374,0.0,-0.0034319938,-1.2378695011138916,0.037192628,1.3826752
6144,6144,402.1333333333333,0.0057132174,3,0.06386719,10.70736026763916,405,0.0,-0.00630052,-1.1122875213623047,0.0064614057,1.3670453
8192,8192,323.44,0.0042633633,4,0.042529296,15.758654356002808,390,0.0,-0.0062052878,-0.2618739604949951,0.00081493723,1.3445557
10240,10240,288.85714285714283,0.0043180855,5,0.046923827,21.00600004196167,392,0.0,-0.0048722727,0.33923977613449097,0.00010818022,1.3194284
12288,12288,259.51063829787233,0.004661977,6,0.04916992,26.23122239112854,386,0.0,-0.004375564,0.29463136196136475,5.3275413e-05,1.3046895
14336,14336,245.27586206896552,0.0043571983,7,0.04550781,31.52582359313965,374,0.0,-0.0064810575,0.34608542919158936,2.6737232e-05,1.2852633
16384,16384,233.38571428571427,0.0029299767,8,0.027490234,36.99420952796936,364,0.0,-0.003824883,0.39674609899520874,1.2276583e-05,1.279218
18432,18432,232.1139240506329,0.0043089315,9,0.053125,42.61279916763306,332,0.0,-0.0056247744,0.5503829121589661,9.339784e-06,1.291785
20480,20480,234.60919540229884,0.0034510524,10,0.0375,48.768216133117676,359,0.0,-0.004942772,0.7001293301582336,7.279151e-06,1.2868359
22528,22528,238.1595744680851,0.0057411315,11,0.07475586,54.47101092338562,393,0.0,-0.006774977,0.6558642387390137,6.162017e-06,1.2805631
24576,24576,220.14,0.0042580743,12,0.048828125,59.6773624420166,374,0.0,-0.004128674,0.7359055280685425,5.030459e-06,1.2795451
26624,26624,202.35,0.005104423,13,0.054980468,65.14598989486694,373,0.0,-0.007988697,0.13910281658172607,1.7938153e-06,1.2583048
28672,28672,196.15,0.0031217807,14,0.027246093,70.63712573051453,385,0.0,-0.0027773688,0.3132203221321106,2.3835905e-06,1.2343501
30720,30720,190.78,0.0048979027,15,0.055273436,75.95404386520386,397,0.0,-0.0057781273,0.3247777223587036,2.4745632e-06,1.2204659
32768,32768,183.54,0.0050792294,16,0.059570312,81.11046075820923,387,0.0,-0.0046982905,0.11034119129180908,7.819526e-06,1.2155218
34816,34816,173.45,0.0038977596,17,0.041552734,86.39913845062256,375,0.0,-0.0035258252,-1.833488941192627,5.1120055e-06,1.2164371
36864,36864,150.32,0.0021290637,18,0.015917968,91.86101770401001,383,0.0,-0.0009993576,-0.057181596755981445,2.854294e-06,1.2188435
38912,38912,135.98,0.0036986477,19,0.038085938,97.20643186569214,389,0.0,-0.0018045036,-0.3068511486053467,1.0794273e-05,1.222724
40960,40960,127.97,0.0042420984,20,0.04560547,102.46200060844421,385,0.0,-0.004073958,-0.3792283535003662,3.928534e-06,1.2125326
43008,43008,122.57,0.0046622017,21,0.055078126,107.77172017097473,376,0.0,-0.0021996822,-0.39549386501312256,4.3277237e-06,1.2091613
45056,45056,122.09,0.0043032737,22,0.050146483,113.21156167984009,385,0.0,-0.0044178027,-0.6134270429611206,1.8565657e-05,1.1984818
47104,47104,122.42,0.005222976,23,0.061328124,118.5283682346344,394,0.0,-0.006996273,-0.6415579319000244,1.728438e-06,1.1826029
49152,49152,124.92,0.0040366077,24,0.04501953,123.71545839309692,395,0.0,-0.0035144761,0.6996540725231171,1.3108863e-06,1.1774763
51200,51200,128.71,0.007980723,25,0.10849609,128.90047121047974,364,0.0,-0.006555827,0.5355167090892792,1.4664669e-06,1.171346
53248,53248,131.69,0.003126619,26,0.033203125,134.52349615097046,391,0.0,-0.0010906131,0.5641741454601288,2.3344223e-06,1.1677905
55296,55296,135.38,0.0051090615,27,0.059765626,139.7603313922882,364,0.0,-0.006105823,0.34517109394073486,1.0741702e-06,1.1552525
57344,57344,137.44,0.007259184,28,0.097998045,145.3769941329956,395,0.0,-0.009348984,0.15220242738723755,2.2751913e-06,1.1340954
59392,59392,136.69,0.0037902468,29,0.041796874,150.55473399162292,375,0.0,-0.0047275713,-0.05790996551513672,3.5227833e-06,1.1170057
61440,61440,132.9,0.0061075683,30,0.07978515,156.00721526145935,363,0.0,-0.0047994503,-0.42387568950653076,1.7329461e-05,1.1131682
63488,63488,129.53,0.0044639427,31,0.04975586,161.6465241909027,397,0.0,-0.0017519265,-0.5235805511474609,5.7999915e-07,1.1079371
65536,65536,126.05,0.0069761733,32,0.088574216,166.79591417312622,352,0.0,-0.0055538947,-1.384392499923706,2.1547425e-05,1.0899017
67584,67584,122.84,0.0023648853,33,0.019921875,172.5999596118927,384,0.0,-0.00022172378,0.13272660970687866,6.434608e-07,1.0795348
69632,69632,120.79,0.005457476,34,0.06538086,177.92728304862976,421,0.0,-0.004842738,0.16242444515228271,3.117407e-07,1.0648884
71680,71680,120.95,0.00429589,35,0.050878905,182.79002594947815,403,0.0,-0.0035271323,-0.1284085512161255,4.133767e-07,1.0517764
73728,73728,122.67,0.0037036226,36,0.04067383,187.86460185050964,386,0.0,-0.0014708769,-0.22293853759765625,4.069562e-07,1.0419707
75776,75776,122.3,0.0051600626,37,0.057861328,193.16151189804077,370,0.0,-0.0012066618,0.5840381383895874,7.0459582e-06,1.0269091
77824,77824,123.21,0.0028872197,38,0.028759766,198.69635796546936,411,0.0,0.0005147175,-0.2421942949295044,5.737276e-05,1.0274425
79872,79872,123.65,0.005927256,39,0.07680664,203.6751070022583,395,0.0,-0.0023190458,0.5662676095962524,6.665911e-07,1.0373857
81920,81920,125.22,0.005629203,40,0.06962891,208.85230088233948,367,0.0,-0.0034433224,0.7992771416902542,6.030926e-07,1.0494143
83968,83968,126.49,0.0054505193,41,0.06547852,214.42805075645447,405,0.0,-0.003332847,0.8712030202150345,1.3693905e-06,1.0463035
86016,86016,127.47,0.002578069,42,0.024658203,219.477041721344,352,0.0,-0.0005092177,0.8283325582742691,5.559097e-07,1.0488691
88064,88064,128.85,0.003938773,43,0.041308593,225.28702998161316,405,0.0,-0.0011228006,0.026921093463897705,7.127697e-05,1.054806
90112,90112,129.4,0.005157817,44,0.062207032,230.3354630470276,361,0.0,-0.005207957,0.37687480449676514,9.665157e-07,1.0590303
92160,92160,129.49,0.0034873676,45,0.039697267,236.0071485042572,357,0.0,-0.0009106803,0.8388544172048569,2.1719052e-07,1.071931
94208,94208,128.28,0.005016573,46,0.064453125,241.74048018455505,359,0.0,-0.0028208906,0.7457994520664215,2.7506584e-07,1.073846
96256,96256,126.84,0.0051439893,47,0.05356445,247.4374406337738,396,0.0,-0.0037015893,0.6422092318534851,9.1797193e-07,1.0581963
98304,98304,126.11,0.0051202583,48,0.06645508,252.59882307052612,314,0.0,-0.003288867,-2.7417545318603516,1.2792768e-06,1.0469801
100352,100352,125.23,0.004382916,49,0.050195314,259.11808466911316,368,0.0,-0.0031467688,-0.23329555988311768,2.618539e-06,1.0372856
102400,102400,124.96,0.0034570042,50,0.038330078,264.67308592796326,381,0.0,-0.0022156595,0.08452785015106201,6.031832e-06,1.0286317
104448,104448,125.55,0.0036324218,51,0.038720705,270.0411319732666,354,0.0,-0.0033135072,-1.2723424434661865,4.6143555e-07,1.0353957
106496,106496,125.43,0.0055872756,52,0.066503905,275.8220100402832,398,0.0,-0.0050578895,-0.4233996868133545,4.9744845e-06,1.036997
108544,108544,125.63,0.0054043927,53,0.068310544,280.96232748031616,412,0.0,-0.0030388306,-1.9684956073760986,3.0229617e-06,1.0288012
110592,110592,126.34,0.0046899836,54,0.05571289,285.9255244731903,345,0.0,-0.0037039642,-2.504781723022461,3.262835e-05,1.0324446
112640,112640,126.92,0.0035129967,55,0.03642578,291.85736751556396,383,0.0,-0.0023428616,-0.32696962356567383,3.3974877e-07,1.0270275
114688,114688,126.94,0.005707251,56,0.065820314,297.2008717060089,368,0.0,-0.0028103236,-0.03523147106170654,1.8380845e-07,1.023445
116736,116736,127.19,0.0041163303,57,0.047558594,302.76175141334534,373,0.0,-0.0030697493,-0.07294654846191406,1.8795536e-06,1.0243207
118784,118784,128.96,0.005471152,58,0.06113281,308.2447350025177,362,0.0,-0.004385753,-1.0379199981689453,1.630179e-06,1.004261
120832,120832,130.83,0.003531288,59,0.038867187,313.9002568721771,369,0.0,-0.0012376003,-0.8832523822784424,4.763637e-06,0.9816605
122880,122880,132.22,0.0072687613,60,0.093847655,319.4423825740814,338,0.0,-0.008647879,-4.447045803070068,8.56402e-06,0.97384435
124928,124928,133.38,0.0032047057,61,0.029296875,325.49613976478577,396,0.0,-0.0010010032,0.08637416362762451,1.0214887e-05,0.96382415
126976,126976,134.65,0.0036960389,62,0.038476564,330.66724824905396,384,0.0,-0.0004906658,-0.07586610317230225,3.3372285e-06,0.94872
129024,129024,135.48,0.0031802475,63,0.033496093,336.00283789634705,404,0.0,-0.002752944,0.8674346506595612,1.4325766e-06,0.9383605
131072,131072,134.67,0.0045647714,64,0.05620117,341.06389355659485,350,0.0,1.4451856e-06,0.939964771270752,5.4497934e-05,0.9356595
133120,133120,133.53,0.005273246,65,0.065625,346.9038350582123,376,0.0,-0.0011900994,0.9107846915721893,8.427892e-07,0.93274367
135168,135168,133.03,0.004791746,66,0.05522461,352.3434040546417,380,0.0,-0.0017715187,0.8607754409313202,4.7438888e-07,0.9310967
137216,137216,132.99,0.007971818,67,0.10449219,357.72771883010864,396,0.0,-0.00586906,0.7916487157344818,3.8940544e-07,0.94063604
139264,139264,133.83,0.0045409035,68,0.054248046,362.8902394771576,367,0.0,-0.0019042331,0.6938703656196594,3.3022656e-07,0.9406621
141312,141312,136.48,0.005431925,69,0.06645508,368.47162413597107,360,0.0,-0.0040640733,0.4815630316734314,3.077834e-07,0.93273467
143360,143360,140.93,0.0027676397,70,0.026953125,374.15489506721497,366,0.0,-0.0002554058,0.4110940098762512,1.8505555e-06,0.9298291
145408,145408,145.81,0.006624501,71,0.08525391,379.74347400665283,328,0.0,-0.004383351,0.3988437056541443,8.9734965e-07,0.9317994
147456,147456,150.27,0.0044035325,72,0.05053711,385.98277258872986,396,0.0,-0.002063319,-0.004516124725341797,1.608873e-05,0.9262926
149504,149504,155.05,0.0052420846,73,0.062158205,391.1436207294464,390,0.0,-0.0038352464,0.0028390884399414062,2.3307157e-07,0.91498363
151552,151552,160.25,0.0028313715,74,0.027246093,396.3903467655182,362,0.0,-0.00021123809,-0.3841599225997925,5.064601e-07,0.91169965
153600,153600,164.38,0.00340695,75,0.03618164,402.034384727478,399,0.0,-0.0026564174,-0.050005197525024414,1.7541213e-06,0.9060386
155648,155648,167.34,0.0038416479,76,0.041894533,407.16345477104187,379,0.0,0.00082930236,-0.657413125038147,6.181355e-05,0.8909168
157696,157696,168.55,0.0074642687,77,0.10087891,412.5600221157074,362,0.0,-0.004584972,-1.9385316371917725,1.2623951e-05,0.8890995
159744,159744,169.26,0.005207611,78,0.06328125,418.2187671661377,385,0.0,-0.0028875961,0.9001542627811432,3.850916e-07,0.8939253
161792,161792,170.31,0.003305488,79,0.035546876,423.53398084640503,365,0.0,-0.0012882754,0.8869960680603981,3.550355e-07,0.8887857
163840,163840,171.43,0.0043148967,80,0.050439455,429.13278675079346,365,0.0,-0.001722239,0.9041105732321739,3.3902265e-07,0.887025
165888,165888,172.91,0.004460723,81,0.04663086,434.7312378883362,392,0.0,-0.0011441575,0.48580509424209595,1.37427105e-05,0.87547034
167936,167936,174.2,0.005212982,82,0.066503905,439.9572253227234,403,0.0,-0.0021671567,0.5687277615070343,4.1390527e-07,0.8722728
169984,169984,176.49,0.0044264016,83,0.05341797,445.0315773487091,382,0.0,-0.0025854413,0.55557781457901,1.3500141e-06,0.88498336
172032,172032,178.39,0.0039549237,84,0.042822264,450.38082695007324,393,0.0,-0.0013951067,0.4582589864730835,5.3477663e-07,0.8906373
174080,174080,180.19,0.0034384783,85,0.037646484,455.59267807006836,373,0.0,0.00020553176,-0.25846052169799805,2.1284544e-05,0.88758737
176128,176128,182.66,0.0055572926,86,0.061523438,461.07459020614624,360,0.0,-0.0028994964,-1.2073595523834229,8.911915e-08,0.8640874
178176,178176,184.9,0.004430643,87,0.050341796,466.76126432418823,366,0.0,-0.0020184633,-0.4355725049972534,2.7292776e-06,0.8423394
180224,180224,186.72,0.006421489,88,0.08540039,472.35532999038696,388,0.0,-0.0033950421,-1.4504151344299316,1.3898629e-05,0.8399779
182272,182272,188.9,0.0051353415,89,0.063085936,477.62267208099365,367,0.0,-0.0028758442,0.2037581205368042,1.0703885e-05,0.8614968
184320,184320,192.24,0.00491637,90,0.058203124,483.2033700942993,353,0.0,-0.0048078913,0.5761846303939819,3.5742977e-07,0.8693632
186368,186368,194.37,0.0068721706,91,0.09003906,488.99024295806885,336,0.0,-0.0026230242,-2.187896966934204,1.3103978e-06,0.86559546
188416,188416,194.94,0.0040986454,92,0.04711914,495.07309770584106,392,0.0,-0.0016542997,0.19149136543273926,3.7973768e-06,0.85970086
190464,190464,195.35,0.0039326707,93,0.044189453,500.2955479621887,393,0.0,-0.0015550258,-0.04938817024230957,1.1630582e-06,0.85010564
192512,192512,195.01,0.0048747463,94,0.05961914,505.49784111976624,374,0.0,-0.0034208647,-1.4775230884552002,1.8593626e-05,0.8467514
194560,194560,194.88,0.011480951,95,0.059326172,510.9696397781372,382,0.0,-0.0046219584,-1.1364614963531494,2.3683545e-07,0.84097606
196608,196608,193.85,0.005248687,96,0.0647461,516.3226699829102,375,0.0,0.00030925995,0.34760749340057373,3.2495732e-06,0.82998484
198656,198656,191.54,0.004352878,97,0.04897461,521.7832245826721,375,0.0,-0.0013303813,-1.3336155414581299,6.043316e-05,0.8183611
200704,200704,188.67,0.0042134663,98,0.04824219,527.2405560016632,381,0.0,-0.001785388,0.5434474945068359,1.0545098e-07,0.81655806
202752,202752,183.79,0.003975384,99,0.04472656,532.6137707233429,390,0.0,-0.0034129682,0.7760069966316223,9.6391716e-08,0.82354766
204800,204800,177.42,0.0034996774,100,0.037158202,537.8611385822296,328,0.0,-0.002810145,-0.6038851737976074,1.4414722e-07,0.82520187
206848,206848,170.32,0.0059391675,101,0.07524414,544.0941996574402,382,0.0,-0.005755982,-0.6665123701095581,7.737724e-06,0.82477504
208896,208896,163.73,0.0067596724,102,0.08476563,549.4531848430634,383,0.0,-0.002663504,-1.9063985347747803,6.4784064e-05,0.8256626
210944,210944,159.51,0.0047141653,103,0.054833986,554.7920110225677,358,0.0,-0.00013850944,0.10868114233016968,8.083508e-08,0.81827277
212992,212992,156.71,0.0045319777,104,0.055371094,560.5083105564117,374,0.0,-0.0016358262,0.557295173406601,8.167207e-08,0.82728386
215040,215040,153.1,0.00544887,105,0.0640625,565.982447385788,384,0.0,-0.0037122767,0.5821829736232758,1.2853884e-07,0.8300583
217088,217088,147.9,0.006713537,106,0.084375,571.304684638977,371,0.0,-0.0046623973,0.4937744736671448,1.6716572e-07,0.83529454
219136,219136,145.41,0.0055327034,107,0.0671875,576.8164370059967,396,0.0,-0.0025894637,0.6862215101718903,2.6617053e-07,0.83937657
221184,221184,144.77,0.00394663,108,0.043408204,581.9893548488617,373,0.0,-0.001225184,-1.3723139762878418,5.1208445e-07,0.8269106
223232,223232,145.15,0.0054053315,109,0.070458986,587.4707064628601,381,0.0,-0.006090959,0.13610178232192993,1.2814987e-05,0.8118286
225280,225280,144.52,0.0047281585,110,0.05649414,592.8367941379547,352,0.0,-0.0032385904,-3.46695613861084,3.6044537e-06,0.79268235
227328,227328,142.67,0.0044034068,111,0.051464844,598.648099899292,362,0.0,0.0012770279,-3.1152052879333496,7.0068705e-07,0.784675
229376,229376,142.25,0.004797661,112,0.057275392,604.2942457199097,378,0.0,-0.0007790845,-0.8094213008880615,0.00013757226,0.7790085
231424,231424,143.03,0.0042107063,113,0.053271484,609.7088394165039,390,0.0,-0.0024379117,-2.5101542472839355,1.2611655e-07,0.7757007
233472,233472,143.46,0.005884515,114,0.07578125,614.9589500427246,408,0.0,-0.0037165773,-2.9760239124298096,3.27779e-07,0.7781941
235520,235520,142.9,0.005317214,115,0.06533203,619.9755825996399,368,0.0,-0.0011793502,-2.2655296325683594,2.2536491e-07,0.7851092
237568,237568,143.08,0.004962332,116,0.06010742,625.5360758304596,392,0.0,-0.0026176674,-1.3027169704437256,1.6773319e-07,0.78637093
239616,239616,143.12,0.004563926,117,0.054785155,630.7523641586304,406,0.0,-0.0026612706,-0.5135284662246704,9.8954374e-08,0.7887279
241664,241664,143.39,0.0062462282,118,0.07006836,635.7866833209991,367,0.0,-0.0040411525,-0.9438666105270386,1.4621864e-07,0.77166957
243712,243712,144.32,0.00472694,119,0.058789063,641.3680992126465,403,0.0,-0.003364259,-1.4539577960968018,5.783293e-07,0.7668531
245760,245760,147.22,0.0046947924,120,0.054003906,646.4421274662018,408,0.0,7.25186e-05,-2.343630790710449,8.876474e-06,0.76454836
247808,247808,148.75,0.0041302694,121,0.048193358,651.4587445259094,368,0.0,-0.0004761837,-1.5947320461273193,6.0422455e-05,0.7525255
249856,249856,151.35,0.005134222,122,0.06254883,657.0207517147064,340,0.0,-0.0037250593,0.4533694386482239,1.0562583e-07,0.7601824
251904,251904,152.41,0.0047047995,123,0.052099608,663.0317599773407,408,0.0,-0.0016704366,0.6059856712818146,8.852978e-08,0.7682164
253952,253952,153.17,0.003720281,124,0.040771484,668.046336889267,405,0.0,-0.0039625335,-0.6277505159378052,5.4317536e-07,0.7617234
256000,256000,154.29,0.0033478432,125,0.034570314,673.0989751815796,408,0.0,-0.00025876026,-0.16864895820617676,4.7344702e-07,0.7623936
258048,258048,155.57,0.005303049,126,0.0647461,678.1197476387024,380,0.0,-0.0012104915,0.3294105529785156,7.100429e-08,0.7586775
260096,260096,156.02,0.0054412987,127,0.06518555,683.503986120224,401,0.0,-0.0019529996,-0.3106544017791748,5.3882697e-05,0.76081717
262144,262144,156.58,0.005452537,128,0.06523438,688.6098396778107,360,0.0,-0.0008265104,-1.0238182544708252,2.4266408e-06,0.7581766
264192,264192,156.88,0.008208646,129,0.10527344,694.3002259731293,373,0.0,-0.0022236118,0.7535346895456314,5.2847906e-07,0.7478696
266240,266240,156.52,0.008820242,130,0.10942383,699.7795882225037,387,0.0,-0.006290647,0.8521322906017303,3.8919265e-07,0.75478685
268288,268288,159.12,0.0058470913,131,0.06948242,705.059999704361,406,0.0,-0.002371729,0.7085124850273132,6.5599653e-07,0.7570456
