#{"t_start": 1566102508.9649177, "env_id": null}
r,l,t
136.974665,706,3.066815
201.724994,1095,6.254543
292.182446,1483,11.930824
94.575403,498,13.388327
418.51267,2048,20.488564
390.747115,2048,28.274489
105.23497,601,31.433554
45.766773,257,32.236869
129.778018,696,34.22274
122.573061,653,36.037325
97.639245,570,38.752471
104.74409,488,40.15141
106.958714,588,41.836439
49.728064,268,42.598548
65.740697,355,44.745632
130.671921,654,46.613585
372.685605,1660,52.589976
325.422474,1318,56.376404
321.827901,1227,61.037109
235.858032,1189,64.497141
276.533848,1330,69.34761
191.21971,908,73.14634
213.030896,1165,76.468196
359.827115,2048,83.368922
373.003956,2048,90.353926
330.085683,1750,96.64571
366.036479,2048,103.915525
379.260988,2048,111.026082
392.885953,2048,117.920136
393.751339,2048,124.995872
408.82913,2048,132.056088
448.150951,2048,139.026607
433.400671,2048,145.839504
438.533951,2048,153.06438
456.693298,2048,159.670906
460.963046,2048,166.403765
469.362421,2048,173.248257
465.124115,2048,180.350101
456.492521,2048,187.32115
472.683769,2048,194.423113
456.952919,2048,201.613585
462.773594,2048,208.797679
363.360606,1683,214.913435
309.216104,1480,220.43403
283.388754,1432,224.448563
147.187601,739,227.761738
354.946006,1875,234.273727
275.049196,1453,238.417646
316.372327,1626,244.222921
237.576445,1200,248.760532
279.516521,1406,252.557185
419.771979,2048,259.463284
476.180519,2048,266.688612
313.803236,1335,271.907784
496.484441,2048,279.038301
527.759789,2048,286.173892
502.1859,2048,293.227238
487.998894,2048,300.591694
514.086782,2048,307.593833
533.702932,2048,315.057605
566.602083,2048,322.637795
573.091189,2048,329.719
553.801543,2048,336.92631
576.124773,2048,343.937815
549.670922,2048,350.997177
535.556904,2048,358.097529
540.640828,2048,365.111256
538.323675,2048,371.90115
525.96144,2048,378.623385
527.054542,2048,385.456467
532.957248,2048,392.456142
521.197945,2048,399.452366
519.407809,2048,406.12063
503.708275,2048,412.92249
535.34409,2048,419.869588
554.061436,2048,426.87592
577.661262,2048,434.156877
545.827418,2048,441.144547
527.906036,2048,447.86509
574.649059,2048,455.007602
620.407315,2048,462.144776
595.778475,2048,469.33673
664.395154,2048,476.567511
716.866041,2048,483.81655
735.048115,2048,491.049885
757.677548,2048,498.718073
794.162711,2048,506.147426
724.70266,2048,513.549896
766.096068,2048,520.841347
758.569809,2048,528.463361
756.485008,2048,536.002606
814.900079,2048,543.720915
795.068186,2048,551.015626
773.416691,2048,558.12186
665.856776,1898,564.71852
571.159201,1549,570.552177
789.266517,1937,577.469583
410.357649,984,580.431553
486.769034,1197,585.25769
669.681879,1549,589.898791
383.019372,965,594.047054
771.716784,1732,600.372399
339.349164,845,602.870565
163.164165,489,604.325553
845.043589,1839,610.898365
301.14901,787,614.491349
461.814667,1120,617.730644
985.982997,2048,624.900843
948.205349,2048,632.449652
985.267357,2048,639.974768
699.067853,1422,645.598203
399.860656,910,648.437852
275.798533,653,651.597914
416.537325,914,654.32853
336.604532,792,656.695601
741.386615,1467,662.307813
510.365491,1063,666.74993
408.233026,878,669.373338
561.480818,1079,674.02543
499.541447,1042,677.16742
745.585729,1427,682.654297
365.866049,787,685.035167
358.698755,776,688.714826
368.277742,778,691.012394
377.663555,794,693.328548
386.027738,803,696.735951
399.914712,821,699.104692
178.457994,458,700.451258
306.275413,686,703.743638
439.432368,902,706.446453
367.18132,775,709.945143
212.988055,502,711.471826
401.049421,811,713.871417
218.225436,503,715.414036
232.135569,517,718.289675
366.421303,738,720.404311
378.731586,782,722.748767
421.973796,841,726.428374
230.628088,519,727.946841
302.886895,639,729.774098
238.030541,526,732.441122
295.394089,624,734.19602
226.626464,505,735.606549
249.383703,544,738.305399
482.987683,885,740.870959
424.101007,799,743.141426
254.438676,547,745.970729
219.489309,510,747.508148
240.491871,523,749.058521
239.602346,529,750.634557
250.09704,534,753.430631
488.574814,926,756.099123
224.793889,505,757.565538
219.897487,498,760.134427
467.766901,892,762.703619
449.68393,914,765.405238
201.835471,503,768.14563
314.468905,724,770.273452
747.568673,1507,775.711158
196.140495,499,777.209849
195.157403,493,778.718462
746.944848,1488,784.3502
895.319289,1763,790.795505
604.973232,1348,796.364469
183.263823,471,797.811373
179.233579,476,799.227931
591.805799,1188,804.064155
657.524745,1291,807.908577
370.517472,797,811.49673
192.372844,488,812.93531
274.430161,691,814.913038
209.434621,499,816.364873
191.370825,492,818.875801
183.425187,462,820.231059
145.279787,430,821.471725
162.008537,444,822.76174
345.50086,816,826.420419
451.822425,1066,829.641081
395.036135,875,833.78916
316.212846,800,836.329469
356.953307,823,838.854231
338.140396,819,842.612044
291.154972,701,844.714725
179.211531,482,846.13943
78.707094,239,848.011391
344.205716,808,850.425857
156.300273,439,851.753178
165.089515,450,853.112828
170.454657,473,855.838941
368.683497,829,858.294932
233.390699,573,859.949846
161.579128,444,861.256425
226.467476,571,863.918553
244.952606,580,865.641766
234.091458,582,867.352803
256.432726,607,870.295796
390.496422,859,872.842844
257.762655,595,874.499934
234.332406,570,877.19177
283.49047,622,878.946971
279.267899,614,880.720792
244.778601,581,883.602041
236.075488,585,885.32284
264.670063,588,887.057945
259.219475,586,888.768063
252.295234,589,891.84206
265.904906,602,893.61315
334.710874,727,895.762574
230.313922,553,898.578342
84.300349,244,899.271701
253.85345,588,901.019605
271.083774,603,902.789271
348.126392,716,905.823694
249.259498,581,907.461856
497.202845,933,910.137921
313.382633,622,913.148052
376.736747,737,915.2697
147.833261,360,916.311852
349.223804,717,919.495255
302.3219,679,921.429612
322.125645,690,923.391031
384.346386,750,926.694612
504.717911,963,929.507878
322.265586,695,931.518399
313.083861,688,934.807898
310.376509,694,936.851974
445.380456,859,939.340703
354.129988,733,942.746673
333.609826,695,944.826618
284.81005,615,946.658199
374.009423,801,950.450948
607.37003,1112,953.711445
376.496466,760,957.136092
499.203987,1029,960.091868
820.972144,1468,965.291624
390.927728,764,967.400915
341.09897,700,970.620958
331.305997,716,972.701284
384.091549,812,975.011391
508.17032,928,978.930163
767.029304,1321,983.688884
384.385443,804,986.040145
1203.856565,2048,993.315158
415.777694,856,995.759473
348.988406,734,998.928337
375.073776,765,1001.13859
480.263772,943,1004.891275
371.785689,746,1007.02626
1172.995315,2031,1014.458596
757.69059,1358,1019.57311
357.808302,794,1021.91553
710.787707,1278,1026.824726
423.944143,900,1029.496781
993.750359,1676,1035.665418
415.800395,839,1038.090322
338.044951,716,1041.29018
460.291346,833,1043.635431
337.563052,673,1045.641707
314.595365,650,1048.826854
302.608743,594,1050.523349
355.629302,695,1052.514897
1195.233626,2048,1059.934038
389.716999,775,1063.439795
391.090843,777,1065.70558
306.686758,644,1067.615838
664.713102,1202,1072.242612
531.849949,996,1075.307343
1212.69696,2048,1082.808245
308.989804,640,1085.793777
329.202563,668,1087.791093
326.485729,671,1089.723153
832.502211,1474,1095.354242
730.182749,1311,1100.249632
1001.53576,1698,1106.566846
1185.472135,2048,1113.838963
283.260354,582,1115.490336
295.050369,589,1117.160339
219.361522,469,1118.529232
755.100017,1351,1123.871165
343.730067,684,1125.948942
848.430437,1510,1131.942592
688.59437,1208,1136.954
271.918994,566,1138.565274
261.980251,527,1140.115268
224.980671,466,1141.508808
209.300854,453,1144.093135
281.285791,577,1145.742594
210.361753,456,1147.070566
444.354216,832,1150.661265
220.436995,478,1152.038338
231.797284,474,1153.423113
230.45685,467,1154.772316
270.51542,561,1157.553
226.569142,462,1158.890797
212.888566,466,1160.204628
413.348238,755,1162.369905
227.243159,477,1164.852376
390.013652,728,1166.933327
218.835338,458,1168.257984
210.846971,457,1169.546544
401.660505,751,1172.880575
215.627055,458,1174.166193
137.640497,341,1175.155873
228.177809,462,1176.508891
148.72955,348,1178.818809
396.931412,738,1181.063526
680.301892,1196,1186.043241
216.90755,476,1187.414372
144.930178,349,1188.417704
143.080517,360,1189.415275
393.681917,747,1191.709269
152.62418,349,1194.028084
212.976448,438,1195.372277
368.46507,704,1197.500265
477.263586,878,1201.520866
307.75492,591,1203.292546
215.717816,456,1204.553965
163.016913,361,1205.593481
152.535986,356,1206.601248
209.574766,461,1209.015952
264.302929,514,1210.494342
395.017407,743,1212.74837
157.044234,358,1214.935368
215.787883,470,1216.268594
243.961392,480,1217.62485
308.891278,592,1219.345976
413.630668,763,1222.720623
215.057345,477,1224.026124
149.467373,352,1225.023163
224.904599,469,1226.335251
211.504765,466,1227.636063
260.855087,502,1230.166232
210.874276,444,1231.511154
130.947666,326,1232.439871
247.874027,486,1233.842635
141.665237,336,1235.847697
145.401007,356,1236.842714
206.564458,457,1238.120246
133.835513,325,1239.036238
250.275504,527,1240.496311
163.64682,366,1242.633713
211.632516,455,1243.927804
304.901267,633,1245.7191
132.274741,334,1246.651853
399.384599,810,1249.969323
306.518747,622,1251.752122
135.691165,323,1252.804776
128.554703,326,1253.73804
139.298213,356,1254.743456
139.431975,331,1256.856183
137.898939,339,1257.857337
201.31089,442,1259.158486
283.942024,544,1260.754059
204.181299,437,1261.999573
214.433347,460,1264.368448
145.494941,356,1265.389192
137.220253,348,1266.36951
206.729632,444,1267.655253
199.568126,448,1268.952704
215.663024,459,1271.375798
212.238095,453,1272.693034
319.368276,641,1274.507419
211.501133,460,1275.817516
129.62248,321,1278.023156
424.970777,715,1280.165934
212.238734,460,1281.530033
