#{"t_start": 1566080588.828406, "env_id": null}
r,l,t
66.608523,71,1.374378
60.302086,64,1.566026
66.254258,70,1.773777
58.158421,62,1.98582
66.185692,70,2.316828
54.289993,58,2.573161
64.187183,68,2.870395
110.851997,115,3.382918
62.246465,66,3.587736
58.223532,62,3.7716
66.849968,71,4.003202
71.977497,76,4.247948
92.515667,97,4.56179
53.272826,57,4.732089
99.971036,104,5.122257
55.205994,59,5.273306
70.22491,74,5.523184
78.802771,83,5.831403
87.415601,91,6.124414
75.090804,79,6.363351
65.215313,69,6.60764
43.832333,47,6.784951
72.204232,76,7.063003
64.907589,69,7.269428
46.462174,50,7.448982
56.487249,60,7.626851
64.168294,68,7.821964
85.077989,89,8.139885
76.057322,80,10.218732
70.216991,74,10.444817
64.06502,68,10.7024
92.019083,96,11.086787
64.246732,68,11.498981
82.686185,87,11.862083
93.904144,98,12.227933
60.860377,65,12.403708
109.77487,115,12.769538
82.020492,86,13.038658
83.889617,88,13.302784
65.97308,70,13.544993
79.296258,83,13.77411
70.885907,75,13.982514
62.026097,66,14.162919
95.237982,99,14.445365
84.920641,89,14.685706
50.362641,54,14.827324
65.956342,70,15.035998
111.154486,115,15.406202
68.17588,72,15.613083
78.84628,83,15.881837
62.749059,67,16.094725
142.870214,147,16.6369
84.708961,89,17.906515
104.03528,108,18.529102
70.272489,74,18.876547
119.784792,124,19.292955
148.85699,153,19.795123
66.140183,70,19.995626
57.961702,62,20.184659
70.970697,75,20.406566
67.020306,71,20.605983
86.831183,91,20.864823
58.417511,62,21.03168
189.215434,197,21.611799
117.180364,122,21.962999
53.098163,57,22.113404
72.862353,77,22.327099
118.697418,123,22.691246
65.060412,69,22.880056
78.507436,83,23.134286
96.668421,101,23.462744
89.08488,93,23.738751
70.782987,75,23.946521
66.082969,70,24.140623
56.070908,60,25.114289
71.807276,76,25.339316
71.070791,75,25.548117
219.502605,225,26.234689
109.365961,114,26.578915
64.960663,69,26.769618
106.668825,111,27.094314
80.675773,85,27.337873
79.778781,84,27.575076
95.001338,99,27.863232
83.301248,88,28.115337
79.040398,84,28.356817
78.312196,83,28.597205
131.599169,136,28.996774
80.524316,85,29.243286
74.529057,79,29.47048
56.782224,61,29.648282
78.335263,82,29.889845
71.756126,76,30.113391
91.662376,96,30.428189
82.739003,87,30.679603
54.230445,58,30.836227
99.417144,104,31.938355
72.547716,77,32.166527
92.25035,97,32.442129
79.622314,84,32.678944
85.851455,90,32.944406
72.543852,77,33.15631
90.888602,95,33.430798
95.908893,100,33.725553
129.896884,135,34.136652
54.696675,59,34.302493
117.861913,123,34.664954
66.572635,71,34.85663
102.523224,107,35.167132
223.597949,231,35.897647
109.925409,115,36.253159
66.058259,70,36.46149
118.843143,124,36.829227
123.966345,129,37.20339
107.434626,112,37.5275
101.245815,106,37.836473
193.009963,200,39.411493
112.539414,117,39.811573
76.905112,81,40.065565
103.596041,108,40.471212
121.546091,126,40.975033
76.649726,81,41.235134
82.37086,87,41.503148
165.698246,171,42.111961
100.754943,105,42.42535
94.517539,99,42.691729
193.855183,199,43.354192
89.661097,94,43.608768
293.744297,300,44.481889
86.751298,91,44.713669
84.354209,89,44.941164
87.455565,92,45.192801
81.976758,86,46.167376
100.476409,105,46.449875
122.06852,127,46.886673
121.4784,126,47.216564
130.470733,135,47.602154
75.542772,80,47.861276
144.359055,150,48.473282
180.084063,186,49.094668
106.175087,112,49.376466
140.673035,145,49.752029
130.319945,136,50.113558
145.529934,150,50.519989
87.824569,92,50.75271
127.742922,133,51.106608
99.351012,104,51.367302
90.455862,95,51.606792
106.31468,111,51.981328
148.341523,154,53.376229
167.714495,174,53.852524
106.268306,111,54.166236
104.280005,109,54.452341
146.806447,152,54.863576
93.435445,99,55.130697
98.247558,103,55.434044
150.669698,156,55.85667
104.629099,109,56.152562
101.517924,106,56.435414
120.157627,125,56.76715
116.582488,122,57.118506
126.577694,132,57.475205
98.267277,103,57.768111
101.09532,106,58.080453
120.378587,125,58.425529
96.721764,101,59.613305
104.401488,109,59.901281
133.928577,139,60.259462
178.079444,184,60.795446
113.073184,119,61.120658
78.121109,83,61.324647
98.534845,103,61.600512
120.030472,125,61.923048
107.644358,112,62.211025
104.027421,109,62.496323
150.536253,156,62.901948
210.834008,219,63.494564
94.458076,99,63.822372
77.331022,82,64.070834
153.852695,159,64.535368
130.754345,136,65.000591
117.654369,123,66.872304
124.421349,129,67.392726
155.882907,161,67.868797
80.351567,85,68.158322
129.986516,135,68.586047
93.662805,98,68.925125
116.771202,122,69.389881
107.034568,112,69.808641
98.926414,104,70.097416
119.323504,125,70.591536
131.471481,137,71.311601
90.345177,95,71.978179
111.031123,116,72.39273
150.830298,157,73.02025
108.225746,113,73.434017
111.844863,117,73.838348
90.285696,95,74.128406
96.638089,101,74.427579
168.693629,175,76.298238
113.136803,118,76.707254
177.04776,183,77.449854
105.871919,111,77.9108
158.489803,165,78.630921
96.132593,101,79.460025
75.48835,80,79.97184
186.185758,191,81.227591
74.019388,79,81.509838
91.422111,96,81.828965
84.635345,89,82.228014
75.600708,80,82.587863
139.04617,145,83.077979
87.249796,92,83.333547
92.509185,97,83.5905
100.304456,105,83.868979
84.501903,89,84.158317
72.779399,77,85.652449
102.144778,107,86.124746
139.07941,145,86.57902
95.744049,101,86.842202
99.708009,105,87.147228
154.293746,160,87.658018
183.145295,189,88.224295
92.374802,97,88.497538
107.24528,112,88.843303
160.820046,166,89.3093
91.328496,96,89.563266
100.451216,106,89.846051
146.906697,153,90.359619
118.220146,123,90.701278
143.622448,149,91.134384
94.421594,99,91.441504
86.851626,92,91.728493
109.836697,115,93.051984
88.418536,93,93.589393
82.961885,88,93.891063
98.733604,104,94.192172
96.12774,102,94.489592
123.652752,129,94.872653
120.049209,125,95.271457
133.343987,139,95.706558
103.322611,109,96.337754
95.371851,100,96.790478
96.244677,101,97.092087
101.84949,107,97.426421
240.725335,253,98.38954
127.101302,133,98.755741
121.479786,127,99.096202
134.183597,140,99.477567
86.992022,92,99.715666
100.661898,106,100.698526
126.597691,132,101.056668
94.92007,100,101.317026
88.324267,93,101.622806
77.393828,82,101.863211
102.059117,107,102.18389
110.277779,115,102.516799
102.322768,107,102.838817
97.096955,102,103.16275
90.395121,95,103.444316
96.689573,102,103.755229
108.812435,114,104.096639
121.847618,127,104.54961
117.886709,124,104.874648
101.574958,106,105.166574
76.139058,81,105.391589
145.13894,150,105.864595
161.081514,167,106.32025
106.518031,112,107.310294
81.01478,86,107.536257
114.840013,120,107.846933
122.520522,128,108.20067
102.534819,108,108.481421
103.532875,109,108.779218
105.927361,111,109.078945
146.813523,152,109.497418
94.162009,99,109.753229
126.347986,132,110.09588
134.98194,140,110.477774
89.335828,94,110.740253
126.215229,132,111.088251
86.938421,92,111.319484
96.908071,102,111.578026
135.125283,141,111.951046
89.198398,94,112.203063
115.144778,121,112.518319
99.98266,105,113.498872
100.094261,107,113.761641
133.216676,139,114.148957
125.438698,132,114.500124
106.43982,112,114.783742
111.990534,119,115.09051
87.636324,93,115.323374
115.673426,122,115.637514
136.753335,143,116.028957
