n_updates,fps,ep_len_mean,explained_variance,time_elapsed,serial_timesteps,policy_loss,ep_reward_mean,clipfrac,total_timesteps,value_loss,policy_entropy,approxkl
1,321,67.83333333333333,0.0044515132904052734,2.86102294921875e-06,2048,-0.002035079,64.084824,0.030078124,2048,79.80027,1.4363914,0.0028141344
2,329,73.58181818181818,0.025008320808410645,6.367174863815308,4096,-0.0020780216,69.73630472727272,0.015625,4096,85.8694,1.45948,0.001455673
3,327,74.17073170731707,0.0528409481048584,12.576992988586426,6144,-0.0017661735,70.33453048780488,0.03618164,6144,81.55299,1.4800904,0.003291787
4,322,77.99,0.07470518350601196,18.83415174484253,8192,-0.0038139026,74.07052178999999,0.029150391,8192,85.2845,1.5093566,0.0025643138
5,325,81.99,0.10599088668823242,25.192847967147827,10240,-0.0028914488,77.97754743,0.022314453,10240,83.78114,1.5204201,0.0025629834
6,322,84.14,0.15058809518814087,31.487791061401367,12288,-0.0033283215,80.09340063,0.04902344,12288,83.48862,1.5251609,0.0040692245
7,322,90.76,0.19585222005844116,37.8379008769989,14336,-0.0023570354,86.62901623000002,0.025439452,14336,86.24925,1.5294428,0.0027088844
8,319,94.57,0.23740655183792114,44.18659973144531,16384,-0.0007164688,90.35280155000001,0.012011719,16384,84.350395,1.5285989,0.001444062
9,317,100.89,0.2930724024772644,50.603606939315796,18432,-0.0025426936,96.61183809,0.026855469,18432,86.95514,1.543547,0.0027031607
10,311,106.9,0.3471584916114807,57.05382800102234,20480,-0.0011854849,102.53683312999999,0.009863282,20480,83.419235,1.5483999,0.0015194839
11,272,117.01,0.38561320304870605,63.62074589729309,22528,-0.0010791011,112.49109870999999,0.027734375,22528,89.4435,1.5443575,0.0026234086
12,306,126.21,0.44422250986099243,71.14341688156128,24576,-0.0013924863,121.52715043999999,0.029199218,24576,86.40204,1.5550319,0.0027604152
13,309,135.37,0.4594091773033142,77.83749794960022,26624,-0.0023289216,130.40959674,0.017724609,26624,82.96883,1.5664563,0.0019051781
