fps,value_loss,explained_variance,total_timesteps,policy_loss,serial_timesteps,time_elapsed,n_updates,ep_len_mean,ep_reward_mean,approxkl,policy_entropy,clipfrac
228,82.427,-0.04027831554412842,2048,-0.0073653893,2048,3.814697265625e-06,1,72.32142857142857,68.46394275,0.006175495,1.4525452,0.07724609
268,87.36226,0.01609635353088379,4096,-0.001426189,4096,8.96033787727356,2,77.6923076923077,73.75357878846154,0.0026747347,1.4760253,0.025976563
276,89.09889,0.048344433307647705,6144,-0.0022193682,6144,16.60369110107422,3,82.24324324324324,78.20847335135134,0.0032070514,1.4697728,0.03564453
301,88.231445,0.09670794010162354,8192,-0.0020867714,8192,24.011358976364136,4,84.36458333333333,80.2618934375,0.0017364168,1.4507993,0.011230469
297,89.03856,0.10861086845397949,10240,-0.0018660275,10240,30.8069429397583,5,90.35,86.09693835,0.001333845,1.4432889,0.011425781
282,93.43999,0.16439396142959595,12288,-0.0030848947,12288,37.704752922058105,6,99.02,94.60855743999998,0.003924161,1.4523185,0.045996092
294,89.72975,0.1892063021659851,14336,-0.0055642184,14336,44.957581758499146,7,105.75,101.20327769,0.0040320056,1.4634497,0.047265626
312,87.94429,0.2335745096206665,16384,-0.0014476966,16384,51.905879735946655,8,109.66,104.99435817,0.0025538013,1.4749957,0.023876954
284,85.65074,0.30730974674224854,18432,-0.0028365627,18432,58.462448835372925,9,115.23,110.41472809999999,0.0026230337,1.4795424,0.021679688
231,79.17723,0.34559524059295654,20480,-0.0023360765,20480,65.67582082748413,10,120.87,115.93677561,0.002736233,1.4952669,0.029785156
204,76.07137,0.4047546982765198,22528,-0.0023793275,22528,74.50765585899353,11,122.55,117.56575245000002,0.0020703594,1.5136256,0.020019531
287,74.95004,0.45445799827575684,24576,-0.0007270464,24576,84.51642489433289,12,122.06,117.0032594,0.002455321,1.5217639,0.021240234
263,69.34335,0.49639689922332764,26624,-0.0031371308,26624,91.64549589157104,13,121.22,116.035125,0.0028080835,1.5371324,0.028027344
305,64.22008,0.5343780219554901,28672,-0.004409902,28672,99.41643810272217,14,119.51,114.31053,0.004325207,1.5556248,0.055273436
334,61.780876,0.5650762617588043,30720,-0.000590586,30720,106.11678194999695,15,117.05,111.83538927,0.0024248392,1.5746034,0.022802735
337,59.695087,0.6095629632472992,32768,-0.0013626886,32768,112.2475757598877,16,116.4,111.04619996,0.0025693339,1.5979111,0.025976563
338,61.771748,0.6258819699287415,34816,-0.0027041675,34816,118.31696271896362,17,120.32,114.67342852000002,0.0025749148,1.6217533,0.030810546
